source	target	sign
N0 N1 +
N2 N0 -
N0 N3 +
N4 N0 -
N0 N5 +
N6 N0 -
N0 N7 +
N8 N0 -
N0 N9 +
N10 N0 -
N0 N11 +
N12 N0 -
N0 N13 +
N14 N0 -
N0 N15 +
N16 N0 -
N0 N17 +
N18 N0 -
N0 N19 +
N20 N0 -
N0 N21 +
N22 N0 -
N0 N23 +
N24 N0 -
N0 N25 +
N26 N0 -
N0 N27 +
N28 N0 -
N0 N29 +
N30 N0 -
N0 N31 +
N32 N0 -
N0 N33 +
N34 N0 -
N0 N35 +
N36 N0 -
N0 N37 +
N38 N0 -
N0 N39 +
N40 N0 -
N0 N41 +
N42 N0 -
N0 N43 +
N44 N0 -
N0 N45 +
N46 N0 -
N0 N47 +
N48 N0 -
N0 N49 +
N50 N0 -
N0 N51 +
N52 N0 -
N0 N53 +
N54 N0 -
N0 N55 +
N56 N0 -
N0 N57 +
N58 N0 -
N0 N59 +
N60 N0 -
N0 N61 +
N62 N0 -
N0 N63 +
N64 N0 -
N0 N65 +
N66 N0 -
N0 N67 +
N68 N0 -
N0 N69 +
N70 N0 -
N0 N71 +
N72 N0 -
N0 N73 +
N74 N0 -
N0 N75 +
N76 N0 -
N0 N77 +
N78 N0 -
N0 N79 +
N80 N0 -
N0 N81 +
N82 N0 -
N0 N83 +
N84 N0 -
N0 N85 +
N86 N0 -
N0 N87 +
N88 N0 -
N0 N89 +
N90 N0 -
N0 N91 +
N92 N0 -
N0 N93 +
N94 N0 -
N0 N95 +
N96 N0 -
N0 N97 +
N98 N0 -
N0 N99 +
N2 N1 -
N1 N3 +
N4 N1 -
N1 N5 +
N6 N1 -
N1 N7 +
N8 N1 -
N1 N9 +
N10 N1 -
N1 N11 +
N12 N1 -
N1 N13 +
N14 N1 -
N1 N15 +
N16 N1 -
N1 N17 +
N18 N1 -
N1 N19 +
N20 N1 -
N1 N21 +
N22 N1 -
N1 N23 +
N24 N1 -
N1 N25 +
N26 N1 -
N1 N27 +
N28 N1 -
N1 N29 +
N30 N1 -
N1 N31 +
N32 N1 -
N1 N33 +
N34 N1 -
N1 N35 +
N36 N1 -
N1 N37 +
N38 N1 -
N1 N39 +
N40 N1 -
N1 N41 +
N42 N1 -
N1 N43 +
N44 N1 -
N1 N45 +
N46 N1 -
N1 N47 +
N48 N1 -
N1 N49 +
N50 N1 -
N1 N51 +
N52 N1 -
N1 N53 +
N54 N1 -
N1 N55 +
N56 N1 -
N1 N57 +
N58 N1 -
N1 N59 +
N60 N1 -
N1 N61 +
N62 N1 -
N1 N63 +
N64 N1 -
N1 N65 +
N66 N1 -
N1 N67 +
N68 N1 -
N1 N69 +
N70 N1 -
N1 N71 +
N72 N1 -
N1 N73 +
N74 N1 -
N1 N75 +
N76 N1 -
N1 N77 +
N78 N1 -
N1 N79 +
N80 N1 -
N1 N81 +
N82 N1 -
N1 N83 +
N84 N1 -
N1 N85 +
N86 N1 -
N1 N87 +
N88 N1 -
N1 N89 +
N90 N1 -
N1 N91 +
N92 N1 -
N1 N93 +
N94 N1 -
N1 N95 +
N96 N1 -
N1 N97 +
N98 N1 -
N1 N99 +
N3 N2 -
N2 N4 +
N5 N2 -
N2 N6 +
N7 N2 -
N2 N8 +
N9 N2 -
N2 N10 +
N11 N2 -
N2 N12 +
N13 N2 -
N2 N14 +
N15 N2 -
N2 N16 +
N17 N2 -
N2 N18 +
N19 N2 -
N2 N20 +
N21 N2 -
N2 N22 +
N23 N2 -
N2 N24 +
N25 N2 -
N2 N26 +
N27 N2 -
N2 N28 +
N29 N2 -
N2 N30 +
N31 N2 -
N2 N32 +
N33 N2 -
N2 N34 +
N35 N2 -
N2 N36 +
N37 N2 -
N2 N38 +
N39 N2 -
N2 N40 +
N41 N2 -
N2 N42 +
N43 N2 -
N2 N44 +
N45 N2 -
N2 N46 +
N47 N2 -
N2 N48 +
N49 N2 -
N2 N50 +
N51 N2 -
N2 N52 +
N53 N2 -
N2 N54 +
N55 N2 -
N2 N56 +
N57 N2 -
N2 N58 +
N59 N2 -
N2 N60 +
N61 N2 -
N2 N62 +
N63 N2 -
N2 N64 +
N65 N2 -
N2 N66 +
N67 N2 -
N2 N68 +
N69 N2 -
N2 N70 +
N71 N2 -
N2 N72 +
N73 N2 -
N2 N74 +
N75 N2 -
N2 N76 +
N77 N2 -
N2 N78 +
N79 N2 -
N2 N80 +
N81 N2 -
N2 N82 +
N83 N2 -
N2 N84 +
N85 N2 -
N2 N86 +
N87 N2 -
N2 N88 +
N89 N2 -
N2 N90 +
N91 N2 -
N2 N92 +
N93 N2 -
N2 N94 +
N95 N2 -
N2 N96 +
N97 N2 -
N2 N98 +
N99 N2 -
N3 N4 +
N5 N3 -
N3 N6 +
N7 N3 -
N3 N8 +
N9 N3 -
N3 N10 +
N11 N3 -
N3 N12 +
N13 N3 -
N3 N14 +
N15 N3 -
N3 N16 +
N17 N3 -
N3 N18 +
N19 N3 -
N3 N20 +
N21 N3 -
N3 N22 +
N23 N3 -
N3 N24 +
N25 N3 -
N3 N26 +
N27 N3 -
N3 N28 +
N29 N3 -
N3 N30 +
N31 N3 -
N3 N32 +
N33 N3 -
N3 N34 +
N35 N3 -
N3 N36 +
N37 N3 -
N3 N38 +
N39 N3 -
N3 N40 +
N41 N3 -
N3 N42 +
N43 N3 -
N3 N44 +
N45 N3 -
N3 N46 +
N47 N3 -
N3 N48 +
N49 N3 -
N3 N50 +
N51 N3 -
N3 N52 +
N53 N3 -
N3 N54 +
N55 N3 -
N3 N56 +
N57 N3 -
N3 N58 +
N59 N3 -
N3 N60 +
N61 N3 -
N3 N62 +
N63 N3 -
N3 N64 +
N65 N3 -
N3 N66 +
N67 N3 -
N3 N68 +
N69 N3 -
N3 N70 +
N71 N3 -
N3 N72 +
N73 N3 -
N3 N74 +
N75 N3 -
N3 N76 +
N77 N3 -
N3 N78 +
N79 N3 -
N3 N80 +
N81 N3 -
N3 N82 +
N83 N3 -
N3 N84 +
N85 N3 -
N3 N86 +
N87 N3 -
N3 N88 +
N89 N3 -
N3 N90 +
N91 N3 -
N3 N92 +
N93 N3 -
N3 N94 +
N95 N3 -
N3 N96 +
N97 N3 -
N3 N98 +
N99 N3 -
N4 N5 +
N6 N4 -
N4 N7 +
N8 N4 -
N4 N9 +
N10 N4 -
N4 N11 +
N12 N4 -
N4 N13 +
N14 N4 -
N4 N15 +
N16 N4 -
N4 N17 +
N18 N4 -
N4 N19 +
N20 N4 -
N4 N21 +
N22 N4 -
N4 N23 +
N24 N4 -
N4 N25 +
N26 N4 -
N4 N27 +
N28 N4 -
N4 N29 +
N30 N4 -
N4 N31 +
N32 N4 -
N4 N33 +
N34 N4 -
N4 N35 +
N36 N4 -
N4 N37 +
N38 N4 -
N4 N39 +
N40 N4 -
N4 N41 +
N42 N4 -
N4 N43 +
N44 N4 -
N4 N45 +
N46 N4 -
N4 N47 +
N48 N4 -
N4 N49 +
N50 N4 -
N4 N51 +
N52 N4 -
N4 N53 +
N54 N4 -
N4 N55 +
N56 N4 -
N4 N57 +
N58 N4 -
N4 N59 +
N60 N4 -
N4 N61 +
N62 N4 -
N4 N63 +
N64 N4 -
N4 N65 +
N66 N4 -
N4 N67 +
N68 N4 -
N4 N69 +
N70 N4 -
N4 N71 +
N72 N4 -
N4 N73 +
N74 N4 -
N4 N75 +
N76 N4 -
N4 N77 +
N78 N4 -
N4 N79 +
N80 N4 -
N4 N81 +
N82 N4 -
N4 N83 +
N84 N4 -
N4 N85 +
N86 N4 -
N4 N87 +
N88 N4 -
N4 N89 +
N90 N4 -
N4 N91 +
N92 N4 -
N4 N93 +
N94 N4 -
N4 N95 +
N96 N4 -
N4 N97 +
N98 N4 -
N4 N99 +
N6 N5 -
N5 N7 +
N8 N5 -
N5 N9 +
N10 N5 -
N5 N11 +
N12 N5 -
N5 N13 +
N14 N5 -
N5 N15 +
N16 N5 -
N5 N17 +
N18 N5 -
N5 N19 +
N20 N5 -
N5 N21 +
N22 N5 -
N5 N23 +
N24 N5 -
N5 N25 +
N26 N5 -
N5 N27 +
N28 N5 -
N5 N29 +
N30 N5 -
N5 N31 +
N32 N5 -
N5 N33 +
N34 N5 -
N5 N35 +
N36 N5 -
N5 N37 +
N38 N5 -
N5 N39 +
N40 N5 -
N5 N41 +
N42 N5 -
N5 N43 +
N44 N5 -
N5 N45 +
N46 N5 -
N5 N47 +
N48 N5 -
N5 N49 +
N50 N5 -
N5 N51 +
N52 N5 -
N5 N53 +
N54 N5 -
N5 N55 +
N56 N5 -
N5 N57 +
N58 N5 -
N5 N59 +
N60 N5 -
N5 N61 +
N62 N5 -
N5 N63 +
N64 N5 -
N5 N65 +
N66 N5 -
N5 N67 +
N68 N5 -
N5 N69 +
N70 N5 -
N5 N71 +
N72 N5 -
N5 N73 +
N74 N5 -
N5 N75 +
N76 N5 -
N5 N77 +
N78 N5 -
N5 N79 +
N80 N5 -
N5 N81 +
N82 N5 -
N5 N83 +
N84 N5 -
N5 N85 +
N86 N5 -
N5 N87 +
N88 N5 -
N5 N89 +
N90 N5 -
N5 N91 +
N92 N5 -
N5 N93 +
N94 N5 -
N5 N95 +
N96 N5 -
N5 N97 +
N98 N5 -
N5 N99 +
N7 N6 -
N6 N8 +
N9 N6 -
N6 N10 +
N11 N6 -
N6 N12 +
N13 N6 -
N6 N14 +
N15 N6 -
N6 N16 +
N17 N6 -
N6 N18 +
N19 N6 -
N6 N20 +
N21 N6 -
N6 N22 +
N23 N6 -
N6 N24 +
N25 N6 -
N6 N26 +
N27 N6 -
N6 N28 +
N29 N6 -
N6 N30 +
N31 N6 -
N6 N32 +
N33 N6 -
N6 N34 +
N35 N6 -
N6 N36 +
N37 N6 -
N6 N38 +
N39 N6 -
N6 N40 +
N41 N6 -
N6 N42 +
N43 N6 -
N6 N44 +
N45 N6 -
N6 N46 +
N47 N6 -
N6 N48 +
N49 N6 -
N6 N50 +
N51 N6 -
N6 N52 +
N53 N6 -
N6 N54 +
N55 N6 -
N6 N56 +
N57 N6 -
N6 N58 +
N59 N6 -
N6 N60 +
N61 N6 -
N6 N62 +
N63 N6 -
N6 N64 +
N65 N6 -
N6 N66 +
N67 N6 -
N6 N68 +
N69 N6 -
N6 N70 +
N71 N6 -
N6 N72 +
N73 N6 -
N6 N74 +
N75 N6 -
N6 N76 +
N77 N6 -
N6 N78 +
N79 N6 -
N6 N80 +
N81 N6 -
N6 N82 +
N83 N6 -
N6 N84 +
N85 N6 -
N6 N86 +
N87 N6 -
N6 N88 +
N89 N6 -
N6 N90 +
N91 N6 -
N6 N92 +
N93 N6 -
N6 N94 +
N95 N6 -
N6 N96 +
N97 N6 -
N6 N98 +
N99 N6 -
N7 N8 +
N9 N7 -
N7 N10 +
N11 N7 -
N7 N12 +
N13 N7 -
N7 N14 +
N15 N7 -
N7 N16 +
N17 N7 -
N7 N18 +
N19 N7 -
N7 N20 +
N21 N7 -
N7 N22 +
N23 N7 -
N7 N24 +
N25 N7 -
N7 N26 +
N27 N7 -
N7 N28 +
N29 N7 -
N7 N30 +
N31 N7 -
N7 N32 +
N33 N7 -
N7 N34 +
N35 N7 -
N7 N36 +
N37 N7 -
N7 N38 +
N39 N7 -
N7 N40 +
N41 N7 -
N7 N42 +
N43 N7 -
N7 N44 +
N45 N7 -
N7 N46 +
N47 N7 -
N7 N48 +
N49 N7 -
N7 N50 +
N51 N7 -
N7 N52 +
N53 N7 -
N7 N54 +
N55 N7 -
N7 N56 +
N57 N7 -
N7 N58 +
N59 N7 -
N7 N60 +
N61 N7 -
N7 N62 +
N63 N7 -
N7 N64 +
N65 N7 -
N7 N66 +
N67 N7 -
N7 N68 +
N69 N7 -
N7 N70 +
N71 N7 -
N7 N72 +
N73 N7 -
N7 N74 +
N75 N7 -
N7 N76 +
N77 N7 -
N7 N78 +
N79 N7 -
N7 N80 +
N81 N7 -
N7 N82 +
N83 N7 -
N7 N84 +
N85 N7 -
N7 N86 +
N87 N7 -
N7 N88 +
N89 N7 -
N7 N90 +
N91 N7 -
N7 N92 +
N93 N7 -
N7 N94 +
N95 N7 -
N7 N96 +
N97 N7 -
N7 N98 +
N99 N7 -
N8 N9 +
N10 N8 -
N8 N11 +
N12 N8 -
N8 N13 +
N14 N8 -
N8 N15 +
N16 N8 -
N8 N17 +
N18 N8 -
N8 N19 +
N20 N8 -
N8 N21 +
N22 N8 -
N8 N23 +
N24 N8 -
N8 N25 +
N26 N8 -
N8 N27 +
N28 N8 -
N8 N29 +
N30 N8 -
N8 N31 +
N32 N8 -
N8 N33 +
N34 N8 -
N8 N35 +
N36 N8 -
N8 N37 +
N38 N8 -
N8 N39 +
N40 N8 -
N8 N41 +
N42 N8 -
N8 N43 +
N44 N8 -
N8 N45 +
N46 N8 -
N8 N47 +
N48 N8 -
N8 N49 +
N50 N8 -
N8 N51 +
N52 N8 -
N8 N53 +
N54 N8 -
N8 N55 +
N56 N8 -
N8 N57 +
N58 N8 -
N8 N59 +
N60 N8 -
N8 N61 +
N62 N8 -
N8 N63 +
N64 N8 -
N8 N65 +
N66 N8 -
N8 N67 +
N68 N8 -
N8 N69 +
N70 N8 -
N8 N71 +
N72 N8 -
N8 N73 +
N74 N8 -
N8 N75 +
N76 N8 -
N8 N77 +
N78 N8 -
N8 N79 +
N80 N8 -
N8 N81 +
N82 N8 -
N8 N83 +
N84 N8 -
N8 N85 +
N86 N8 -
N8 N87 +
N88 N8 -
N8 N89 +
N90 N8 -
N8 N91 +
N92 N8 -
N8 N93 +
N94 N8 -
N8 N95 +
N96 N8 -
N8 N97 +
N98 N8 -
N8 N99 +
N10 N9 -
N9 N11 +
N12 N9 -
N9 N13 +
N14 N9 -
N9 N15 +
N16 N9 -
N9 N17 +
N18 N9 -
N9 N19 +
N20 N9 -
N9 N21 +
N22 N9 -
N9 N23 +
N24 N9 -
N9 N25 +
N26 N9 -
N9 N27 +
N28 N9 -
N9 N29 +
N30 N9 -
N9 N31 +
N32 N9 -
N9 N33 +
N34 N9 -
N9 N35 +
N36 N9 -
N9 N37 +
N38 N9 -
N9 N39 +
N40 N9 -
N9 N41 +
N42 N9 -
N9 N43 +
N44 N9 -
N9 N45 +
N46 N9 -
N9 N47 +
N48 N9 -
N9 N49 +
N50 N9 -
N9 N51 +
N52 N9 -
N9 N53 +
N54 N9 -
N9 N55 +
N56 N9 -
N9 N57 +
N58 N9 -
N9 N59 +
N60 N9 -
N9 N61 +
N62 N9 -
N9 N63 +
N64 N9 -
N9 N65 +
N66 N9 -
N9 N67 +
N68 N9 -
N9 N69 +
N70 N9 -
N9 N71 +
N72 N9 -
N9 N73 +
N74 N9 -
N9 N75 +
N76 N9 -
N9 N77 +
N78 N9 -
N9 N79 +
N80 N9 -
N9 N81 +
N82 N9 -
N9 N83 +
N84 N9 -
N9 N85 +
N86 N9 -
N9 N87 +
N88 N9 -
N9 N89 +
N90 N9 -
N9 N91 +
N92 N9 -
N9 N93 +
N94 N9 -
N9 N95 +
N96 N9 -
N9 N97 +
N98 N9 -
