source	target	sign
N0 N89 +
N0 N38 +
N1 N0 -
N1 N71 -
N1 N44 -
N1 N54 +
N1 N7 -
N2 N41 +
N2 N74 +
N2 N99 +
N2 N84 -
N2 N90 -
N3 N32 +
N4 N24 +
N4 N35 -
N4 N78 +
N4 N54 -
N4 N87 -
N5 N16 -
N5 N80 +
N5 N63 -
N5 N36 -
N5 N55 -
N6 N83 +
N6 N35 -
N7 N37 -
N8 N11 -
N8 N30 +
N9 N3 +
N9 N5 +
N9 N15 +
N10 N81 +
N10 N86 +
N11 N12 -
N11 N23 -
N12 N17 -
N13 N52 -
N14 N82 +
N14 N75 +
N14 N86 +
N14 N22 -
N15 N16 +
N16 N92 +
N17 N81 +
N18 N17 +
N18 N60 +
N19 N57 -
N20 N86 -
N21 N88 +
N21 N9 -
N21 N59 -
N21 N13 -
N21 N17 -
N23 N8 +
N23 N21 -
N23 N63 +
N24 N17 +
N24 N99 +
N24 N97 +
N25 N7 +
N26 N75 -
N27 N74 -
N27 N30 -
N28 N88 -
N28 N5 +
N29 N21 +
N30 N80 -
N30 N43 -
N31 N63 +
N31 N12 -
N31 N55 -
N32 N48 +
N33 N0 -
N33 N34 -
N33 N86 -
N33 N63 -
N34 N20 -
N35 N78 -
N36 N37 -
N37 N11 +
N37 N95 -
N38 N26 -
N38 N95 -
N39 N88 -
N39 N99 +
N39 N4 -
N40 N12 -
N41 N5 +
N41 N53 -
N42 N96 +
N42 N81 +
N42 N92 +
N43 N76 +
N43 N14 -
N44 N52 +
N44 N86 +
N44 N87 +
N45 N18 +
N45 N14 -
N46 N66 +
N47 N83 -
N49 N96 +
N49 N94 +
N50 N96 -
N50 N34 +
N50 N51 -
N50 N92 -
N51 N49 +
N51 N98 -
N52 N59 -
N53 N80 +
N53 N82 +
N53 N35 +
N55 N88 -
N55 N18 +
N55 N61 +
N56 N0 -
N56 N90 -
N56 N85 -
N56 N86 -
N57 N86 -
N58 N74 +
N58 N43 +
N59 N1 +
N59 N34 +
N59 N17 -
N60 N69 +
N60 N23 -
N61 N32 -
N61 N17 -
N61 N34 +
N61 N75 -
N61 N69 +
N62 N0 +
N62 N97 +
N62 N34 +
N63 N13 +
N63 N14 +
N64 N11 -
N64 N23 +
N65 N39 -
N66 N76 -
N66 N14 -
N67 N28 +
N67 N46 +
N67 N71 +
N68 N50 +
N68 N15 -
N69 N58 -
N69 N54 +
N69 N71 +
N70 N88 +
N70 N74 +
N71 N60 -
N72 N7 +
N73 N88 +
N73 N33 -
N73 N31 -
N74 N33 -
N75 N73 +
N76 N60 +
N76 N94 -
N77 N9 -
N78 N84 +
N78 N54 -
N79 N43 +
N79 N21 -
N80 N37 -
N80 N95 +
N81 N46 -
N81 N14 -
N82 N78 -
N83 N24 -
N83 N5 -
N83 N71 +
N84 N5 -
N85 N1 +
N85 N92 +
N85 N14 +
N86 N27 +
N87 N15 +
N88 N49 +
N88 N31 +
N89 N25 -
N89 N68 -
N89 N46 -
N90 N17 -
N90 N89 -
N91 N39 -
N92 N14 +
N93 N41 -
N95 N28 +
N96 N16 -
N96 N64 +
N96 N17 -
N97 N36 -
N97 N87 +
N98 N94 -
N99 N49 -
N99 N51 -
