source target sign
l(2)37Cc geminin +
l(2)37Cc CG14005 -
l(2)37Cc CG6905 -
l(2)37Cc CG5846 +
CG34417 sca +
CG34417 CG33229 +
Acp29AB CG10915 -
Acp29AB kz +
wge CG17985 +
CG7368 CG13502 +
CG7368 CG17776 -
Nak CG11802 +
Nak CG7231 -
Nak CG10320 +
raw pix +
CG5674 Fps85D +
CG5674 pbl +
CG5674 Vti1 -
Gale Sply -
Gale Gie -
Gale CG3894 -
CG13032 blw +
CG13032 CG15443 +
CG13032 Doc1 -
Ddr RpL27 -
Ddr CG6905 +
Neos Rcd1 +
Neos nop5 -
Neos CG3835 +
mtrm Patronin +
mtrm CG3621 -
Pu resilin -
Prp19 CG16941 +
Prp19 HDAC6 -
Prp19 Cpr62Bc -
Eig71Ei Ssl2 -
Eig71Ei Aldh-III +
Erk7 CG3353 -
Erk7 CG17760 +
Atg7 Aut1 +
CG9796 CG13599 +
CG10353 nito +
CG3321 CG8646 +
CG3321 CG4286 +
CG3321 porin -
Prosbeta2 Or22a +
Klp64D CG1024 +
Klp64D CG10089 +
Klp64D Ilp5 +
NaCP60E Nop56 -
Lis-1 CG11188 +
Lis-1 Arp2 +
CG3788 CG9588 +
CG3788 CG8620 +
CG3091 S-Lap8 +
CG3091 CG4332 +
Arp2 Arp3 +
CG5787 Nurf-38 +
Tsp42Eg Bap170 +
Tsp42Eg CG9941 +
Tsp42Eg CG13659 -
Tsp42Eg CG4287 -
CG18004 CG9775 -
CG18004 ana2 -
CG18004 CG31111 -
Aac11 Ote -
Aac11 Kat60 +
Aac11 CG31820 +
Aac11 Idh +
Mcm7 Ntf-2 -
Mcm7 MrgBP +
Mcm7 Usp7 -
Cdc42 tum -
Cdc42 Pak +
CG4364 HLH54F -
CG31729 PMCA +
CG31729 sala +
dm Ets97D +
dm thoc7 -
dm msd1 -
CG6576 CG2915 -
CG6576 mirr +
Pcd CG7768 +
Pcd CG8417 +
Pcd Hmgs -
CG18600 CG4300 +
CG18600 mnb -
CG5027 CG9107 +
CG5027 Gapdh1 -
26-29-p RpS13 -
CG31694 CG4364 -
CG8247 CG9173 -
l(2)dtl deltaTry +
l(2)dtl Invadolysin +
l(2)dtl pic -
l(2)dtl mbo +
ial Tab2 -
ial CG34411 -
CG6796 Mad1 -
CG16817 CG12207 -
CG31029 CG8786 -
CG31029 danr +
CG31029 slpr +
Pax rtGEF +
Pax CG10479 +
CG15717 CG42565 +
CG15717 CG31813 -
CG13510 Chd3 +
CG13510 CG17470 -
CG13510 Nelf-E +
CG1024 CG42322 -
CG1024 bol -
BtbVII CG10092 +
CG9173 esg +
ash2 U4-U6-60K -
ash2 FK506-bp2 +
GEFmeso MED28 -
GEFmeso wah +
CG2862 Dbp73D -
CG2862 CG7906 +
insv Cdc6 -
insv Nopp140 -
insv CG6415 +
tobi Tbp -
tobi yellow-g +
tobi esn -
tobi mRpL40 -
CG3925 CG11723 +
CG3925 CG1314 -
CG3925 Glycogenin -
CG3925 Rab23 +
Nurf-38 EcR +
CG6805 CG15124 -
CG15545 CG14313 +
CG3353 CG6412 +
Hrb27C CG9008 +
CG5808 CG5111 +
CG5808 MED16 -
CG1707 hb +
CG1707 CG6443 -
CG1707 CG10344 +
CG1707 p130CAS -
Kat60 svp -
CG32687 CG1246 -
CG32687 cindr -
CG32687 CG11700 +
Aplip1 Efhc1.2 +
Nc Dp1 +
CG12811 CG7065 +
CG12811 CG7920 +
Gp93 car +
Gp93 CG11878 +
Br140 dUTPase +
Br140 CG15666 +
Rpt4R Pk34A +
Rpt4R Pepck +
Rpt4R Pp2C1 +
by G9a +
by Marf -
by Abi +
CG42319 djl -
CG42319 Mbs +
RN-tre spheroide -
CG8728 CG3731 +
CG8728 Neb-cGP -
gsb Sucb +
CG1246 CG2107 -
CG1246 Gcn2 -
CG5746 CG9609 +
CG5746 CG9836 -
HLH54F CG17108 +
HLH54F akirin -
cos CG17739 -
Tango7 PSR -
Tango7 NT1 +
ecd CG4709 -
ecd CG1965 +
ecd CG6674 -
ecd CG8974 -
Lip3 RpII18 -
scrib SH3PX1 -
scrib gukh -
Ssdp MED30 +
Ssdp Drep-2 +
CG2678 slam +
robl CG31029 -
robl CG3894 +
CG13405 CG8851 -
CG13405 gt -
bbc sel -
bbc SCAR -
lgs pygo +
lgs ATPsyn-gamma -
lgs CG31140 +
fzr2 CG7275 -
cact CG8925 -
cact tub -
dap EcR +
CG14220 CG13868 -
jub CG18011 +
Rpn11 CG4465 +
Rpn11 CG9836 +
CG3493 Atpalpha -
CG3493 CG3645 -
Sip1 CG12362 -
Sip1 nonA -
Sip1 CG11674 -
T-cp1 CG10395 -
CG7967 CG9527 +
CG7967 Xbp1 -
Mec2 CG7737 -
Mec2 aur +
CG11275 CG5906 +
RpL7 CG2061 +
mRpL39 cenG1A +
mRpL39 CG1561 -
mRpL39 Syt1 +
mRpL39 CG13813 -
CG5860 Vha68-1 +
CG5860 yip3 +
CG5860 chn -
Act79B CG13605 -
Act79B kdn -
Act79B CG17360 +
Hsc70-5 RpL35A +
Hsc70-5 Mtr3 +
Kap3 Gprk1 +
qsm kl-3 -
RpS25 CG4554 +
CG9172 CG6020 +
CG9172 CG32369 +
CG34120 Drep-4 -
CG34120 Atac1 -
CG11570 CG14414 +
CG11570 CG6543 -
CG11570 CG9522 +
CG8636 CG9769 +
CG8636 CG6674 +
CG3815 psidin -
CG3815 CG1129 +
Vhl hyd +
CG7211 az2 +
CG7211 UbcD2 +
kin17 sec15 -
CG9727 CG32176 +
CG9727 CG4949 +
CG9727 RagA +
trpgamma CG8745 -
CG10725 CanA-14F -
CG10725 CG34227 +
Alas slam -
Rm62 Tsc1 -
Rm62 Cpr72Ea -
Rm62 usnp +
alphaCop SC35 -
alphaCop CG7878 -
CG15472 CG5376 +
CG15472 pho -
CG15472 Art4 -
CG17470 CG3788 -
CG17470 Fuca -
sca CG10681 -
sca Vps28 +
Fer1HCH Kap3 -
Fer1HCH Nxt1 -
Mat89Ba Mio +
Mat89Ba CG31357 +
Mat89Ba fkh -
Mat89Ba CG33523 -
Arp8 Rcd2 +
emb slbo +
emb Karybeta3 +
emb Scamp -
Rbm13 CG33051 -
vig RpS11 -
vig SmE -
vig CG13472 +
vig trp +
CG15356 Scr +
CG8116 CG3436 -
CG8116 CG7714 -
CG7766 CG8646 -
CG7766 coro +
CG14232 KLHL18 -
CG14232 CG33144 +
Psf3 cenG1A +
Psf3 Psf1 +
CG4502 Past1 +
CG4502 Sac1 +
CG4502 Rox8 +
spen nonA -
spen nkd -
spen cv-c +
spen Cdk12 -
sw Wwox +
sw robl +
sw Acsl -
RpL36 spz +
RpL36 CG5728 +
RpL36 CG7324 -
ato Bet5 -
ato insv -
Snr1 bru -
Snr1 sol +
Snr1 CG1826 +
CG1674 CG1942 -
CG1674 CG6455 -
und Tango6 +
und vri -
CG31224 CG13192 +
lz Oatp26F +
CG13297 alphaTry -
Spc25 CG5359 -
WRNexo GEFmeso +
WRNexo Strn-Mlck -
CAP Tom -
CAP Ets97D -
Syx5 Ykt6 +
Syx5 Syx18 +
Syx5 Syx1A +
CG6171 BI-1 -
Ubc-E2H pnr +
Ubc-E2H stck -
CG30089 janA +
CG30089 CG6617 +
prtp Ras64B +
prtp CG18476 +
prtp Cyt-b5 +
LSm1 CG4681 +
CG4973 CG7338 +
CG4973 ball +
CG4973 Rtf1 +
eIF4G2 26-29-p +
eIF4G2 CG14563 +
eIF4G2 Sld5 +
pyd CG8064 -
pyd rols +
pyd dgt5 +
cdc23 CG11727 +
cdc23 CG42235 +
mrn CG7236 +
Cpsf160 sog -
Cpsf160 Slob -
VhaSFD Akap200 +
VhaSFD scw +
SelD CG5111 +
SelD Nop56 +
SelD by -
CG12259 CG13364 +
CG12259 Sas10 +
CG12259 Rcp +
cert CG6337 -
cert CG1603 +
CG9323 CG12581 -
CG9323 alc +
CG9323 CG43691 +
CG17912 Ras85D -
CG1635 mip120 -
CG1635 aPKC +
CG1635 dah +
SA AttB +
dah CG8247 +
dah CG1671 -
CG8630 CG11905 -
cactin CG3213 +
cactin Srp68 +
cactin trbl -
cactin bic +
CG10641 beta-Spec +
CG10641 Cbp80 +
CG13349 GNBP2 -
CG12404 CG43896 +
CG12404 CG33144 +
SKIP mRpL55 -
CG3532 hyd +
CG3532 caup +
CG3532 CG3703 +
CG3532 sec13 +
bol CG34354 -
bol trp -
nct Psn +
nct CG14406 +
rogdi CG7768 +
CG11322 CG3919 +
CG11322 CG4933 -
CG14104 CG3353 +
CG14104 ERp60 -
CG14104 Hop -
CG14104 CG7714 -
exo84 SPoCk -
exo84 CG6276 -
exo84 CycG -
exo84 CG8620 +
RpL36A CG5665 +
PP2A-B' Atg18 -
PP2A-B' Sym +
PP2A-B' eap +
PP2A-B' Bre1 -
MED22 CG7741 +
MED22 Gint3 -
BicC CG6020 +
BicC svr +
BicC CG8368 -
wac dgt2 +
wac Eig71Ei -
svr scny -
svr CG11200 +
svr AP-1gamma -
Invadolysin CG18812 +
Invadolysin CG2652 +
CG10189 mip40 -
CG10189 cno +
CG10189 Hr39 -
CG7196 eIF-4a +
CG16826 pen +
CG1041 sna -
CG1041 Tango10 -
CG1041 Brf -
CG1041 gsb -
me31B Sec61alpha +
me31B CG42788 -
CSN6 CG17360 -
nerfin-1 CG15745 +
nerfin-1 Cdep +
E5 cup -
E5 RhoGAP18B -
E5 Rcp -
boi CG13605 -
boi sl -
boi cathD +
run Cyt-c-p +
run betaTry +
stg term +
stg CG7172 +
CG1789 dsh -
CG1789 Sas10 +
CG1789 CG31619 -
CG1789 Max +
RpS5a Top3beta +
RpS5a Aats-glupro +
RpS5a skap +
mei-S332 CG5882 -
Nipped-B scaf6 +
Nipped-B CG1461 +
Nipped-B CG14073 +
Nipped-B wac -
Slc45-1 CG9911 -
Slc45-1 bon -
topi CG8508 +
topi Pcl +
CG8740 CG32694 +
CG8740 Pka-C3 -
AnnIX CG33109 +
AnnIX AnnX +
AnnIX Unr -
Cf2 CG34112 -
bowl CG32039 +
CG8239 Pu -
Gpo-1 CG13779 -
Taf6 Taf5 +
Taf6 CG6357 -
CG31663 CG8298 +
CG31663 MICAL-like -
CG31663 Taf6 -
CG31663 CG5568 +
Mtk Adf1 -
Mtk Or33a +
Rab1 Sucb +
Rab1 Gie -
Rab1 KdelR +
Rab1 Gale +
Rab26 Ady43A -
CG14044 gce -
CG5111 prod -
CG12868 AttB +
CG12868 CG13295 +
CG12868 to -
Glut1 Nurf-38 +
Glut1 Sirt4 +
CG7949 BM-40-SPARC +
CG7949 p +
Taz capu +
Taz CG6950 +
CG3430 dUTPase -
CG3430 CG9294 +
CG3430 nopo +
shf aralar1 +
Brf por +
pen-2 Psn +
pen-2 Spc105R -
CG14879 VhaAC45 +
gish arr +
gish lin19 +
gish pav +
rept Rm62 -
fzy Aats-tyr -
Trxr-1 Smyd4 -
thetaTry cathD -
thetaTry CG9920 -
thetaTry FBX011 -
thetaTry CG11658 -
CG14151 Parp +
CG14151 CG15209 +
CG14151 2-Sep -
dalao Ef1alpha48D -
dalao z -
dalao Nat1 -
CG8209 Fas3 -
p47 CG14451 +
DIP1 Eip55E -
DIP1 CG9715 +
CG5525 CG5854 -
Cdk12 Tif-IA -
Cdk12 WASp -
Cdk12 CG1129 +
tsu CG17167 -
tsu mago +
tsu CG9416 -
tsu CG11638 -
CG10916 Sas +
CG10916 Ilp7 +
z thoc7 -
z zetaCOP -
z CG7357 +
Ubpy RpL18 -
Ubpy CG7049 +
RpS7 dimm -
RpS7 CG8368 +
RpS7 Tango6 +
RpS7 sav -
CG6660 Fas1 -
aralar1 CG42594 -
CG1637 ct -
CG1637 CG7236 -
VhaPPA1-1 comm +
VhaPPA1-1 trpgamma +
VhaPPA1-1 CG11350 +
CG8004 Rrp46 -
ap fne -
ap bru +
