source target sign
l(2)37Cc geminin +
l(2)37Cc Ost48 +
l(2)37Cc CoIV +
l(2)37Cc l(2)03709 +
H Bet1 -
H CtBP +
H trbl -
H Pros26.4 -
H N -
H Prosalpha5 -
raw pix +
raw ple -
raw Hsc70-4 +
raw Pk17E -
Gale Bap60 -
Gale bsk -
Gale Gie -
Gale e(r) -
Gale CG4169 +
Ddr Stam +
Ddr RpL27 -
Ddr regucalcin -
Ddr RpS27A -
Ddr Pka-C1 +
Ddr Egfr +
Ddr ran +
RpL3 sip3 -
RpL3 CG4998 -
RpL3 RpS7 -
RpL3 BM-40-SPARC -
Vps20 Kr-h1 +
Vps20 CG31729 +
Vps20 CG10425 -
Vps20 ATPsyn-b +
Atg7 wupA -
Atg7 eIF-4E -
Atg7 CG14818 -
Atg7 heph +
wdb eIF-4a -
CG3321 l(1)G0020 -
CG3321 U2af38 +
CG3321 Aldh-III -
CG3321 CG8368 +
Prosbeta2 Rpn1 +
Prosbeta2 Tbp-1 +
Prosbeta2 Oscp -
Prosbeta2 CG13319 -
Prosbeta2 Rpt4 +
Prosbeta2 Rpn3 +
Prosbeta2 Rpn6 +
Prosbeta2 Pomp +
Prosbeta2 Rpt1 +
Prosbeta2 Prosalpha7 +
Prosbeta2 ns1 +
Prosbeta2 CG17331 +
Prosbeta2 Pros29 +
Prosbeta2 Pros25 +
Prosbeta2 Mlc1 -
Prosbeta2 Prosalpha1 +
Prosbeta2 Prosbeta3 +
Prosbeta2 Pros35 +
Prosbeta2 Rpn2 +
Prosbeta2 Prosbeta5 +
Prosbeta2 Rpt3 +
Prosbeta2 Rpn7 +
Prosbeta2 Prosbeta7 +
Prosbeta2 Tango6 -
Prosbeta2 Rpn11 +
Prosbeta2 Rpn9 +
Prosbeta2 CG15717 -
NaCP60E Tektin-C -
NaCP60E Sec61alpha +
NaCP60E TH1 +
NaCP60E MED4 +
sun Oscp +
sun GEFmeso -
sun HLH4C -
sun CG4692 +
sun CG3321 +
sun ATPsyn-d +
sun ATPsyn-Cf6 +
sun Ost48 +
sun Cnx99A -
sun Ntf-2 +
sun ATPsyn-gamma +
sun ATPsyn-b +
sun l(1)G0230 +
Arp2 CG10641 +
Arp2 Vti1 +
Arp2 MED8 +
Arp2 Cam -
Arp2 Uba2 -
glo RpL10 +
CG4364 star1 -
CG4364 tws +
CG4364 CG9986 +
CG4364 Fer1HCH -
CG4364 Eaf +
CG31729 CG4849 -
CG31729 Tango4 +
CG31729 CG5506 -
CG31729 Sec61alpha +
CG31729 shf +
CG31729 PMCA +
Hsc70-4 Pros25 +
Hsc70-4 Glycogenin +
Hsc70-4 Prosalpha1 +
Hsc70-4 Chd64 +
Hsc70-4 skd -
Hsc70-4 desat1 +
Hsc70-4 CG9331 -
26-29-p p38b +
26-29-p awd +
CG31694 per +
CG31694 polo -
CG31694 CG3226 +
CG31694 Hsc70Cb +
CG8247 ZnT63C +
CG8247 Kr-h1 -
CG8247 CG11505 +
CG8247 Cul-4 -
l(2)dtl star1 +
l(2)dtl RpL10Aa +
l(2)dtl Nup50 +
l(2)dtl Cct5 +
l(2)dtl CG7033 +
l(2)dtl Cctgamma -
CG16817 RfC4 +
CG16817 GstE6 -
CG16817 bor -
CG16817 ppan +
CG16817 CG5376 +
CG16817 Hsc70-1 +
CG16817 spi -
CG16817 TER94 +
RpL35A Gale -
RpL35A Cpn +
RpL35A CG3847 +
RpL35A snRNP-U1-70K +
RpL35A RecQ4 -
RpL35A star1 -
RpL35A CG10425 +
RpL35A snRNP-U1-C +
Act5C CG1129 -
Act5C Taf1 +
Act5C Rpt4R +
Act5C mnb +
Act5C CG7518 +
Act5C Zn72D +
CG15717 Pros25 -
CG15717 Mi-2 +
CG15717 Prosbeta7 -
CG15717 msi -
CG15717 Rbp6 -
CG15717 Pros35 -
CG15717 14-3-3zeta -
CG13510 Dll -
CG13510 CG9797 +
CG13510 CG5854 -
CG13510 CycG +
CG13510 Rpn2 +
GEFmeso kay -
GEFmeso eIF-2alpha -
GEFmeso ctp +
GEFmeso Caf1 +
GEFmeso MED7 -
Rpt1 CG13349 -
Rpt1 CG5568 +
Rpt1 Rpn1 +
Rpt1 Pros25 +
Rpt1 Prosbeta7 +
Rpt1 Rpn3 +
Rpt1 Rpn6 +
Rpt1 Pomp +
Rpt1 Rpn11 +
Rpt1 CG7033 +
Rpt1 CG5525 +
Rpt1 CG17331 +
Rpt1 Tcp-1eta +
Rpt1 Gale +
Rpt1 CG2064 +
Rpt1 Arpc2 -
Rpt1 Gie -
Rpt1 Pros35 +
Rpt1 MRP -
Rpt1 Prosbeta5 +
Rpt1 CG33303 +
Rpt1 Gfat2 +
Rpt1 CG10306 -
Rpt1 skap +
Rpt1 Pros29 +
Rpt1 Rpn9 +
Rpt1 Rpn2 +
Nurf-38 dup -
Nurf-38 CG9426 +
Nurf-38 dom +
Nurf-38 CG6843 -
Nurf-38 EcR +
Hrb27C C15 +
Hrb27C Mlc1 +
Hrb27C CtBP +
Hrb27C zf30C +
Hrb27C CG5500 +
Doa lwr -
Doa blw +
Doa mnb +
Doa CG2852 +
Doa toy +
Doa Scp2 +
Doa CG11266 -
Doa Pk17E -
Axn Pdi -
Axn Taf4 -
Axn arm -
Axn CG2852 -
Fkbp13 Hsp83 -
Fkbp13 CG8036 -
Fkbp13 CG2070 +
Fkbp13 RpS3A -
Fkbp13 regucalcin +
Fkbp13 Pdi +
Fkbp13 CG10638 +
Fkbp13 Nurf-38 +
Fkbp13 GstE6 +
Nc th -
Nc CG6767 -
Nc Dp1 +
Nc mre11 +
Nc Cdk8 +
Rpt4R CG14126 -
Rpt4R row -
Rpt4R alien +
Rpt4R Tbp-1 +
Rpt4R Int6 -
Rpt4R Pros26.4 +
RecQ4 Rbp6 -
RecQ4 CG42674 +
RecQ4 Mes2 +
RecQ4 Np +
RecQ4 CG15676 +
RecQ4 Tbp +
RecQ4 ple +
RecQ4 PHDP -
RecQ4 Rca1 +
cos ci -
cos H +
cos sgg +
cos spi -
cos CkIalpha +
Tango7 Dp1 +
Tango7 CG9769 +
Tango7 CG5642 +
Tango7 CG10306 +
Tango7 eIF3-S8 +
Tango7 pit +
Tango7 eIF3-S9 +
Tango7 CG2678 -
Tango7 eIF3-S10 +
ecd Prp8 +
ecd atms -
ecd CG1965 +
ecd flw +
Ssdp MED30 +
Ssdp Cdk8 +
Ssdp Skp2 +
Ssdp CG14881 -
Ssdp D19A -
Ssdp l(2)03709 -
Ssdp ptip +
Ssdp N -
Ssdp MED15 +
CG2678 Rap2l -
Tsc1 CG3731 +
Tsc1 CG3224 +
Tsc1 Syp +
Tsc1 RnrS +
fzr2 Rpt1 -
fzr2 SAK -
fzr2 Tcp-1eta -
cact CG7787 -
cact RpS21 +
cact RpL10 -
Rpn11 Rpn1 +
Rpn11 Prosbeta5 +
Rpn11 Rpn3 +
Rpn11 Prosbeta7 +
Rpn11 Pros29 +
Rpn11 Pros54 +
Rpn11 Pros35 +
Rpn11 Ef2b +
Rpn11 Pros25 +
Rpn11 CG3731 +
Rpn11 Mov34 +
Rpn11 CtBP -
Rpn11 Rpn12 +
Rpn11 CG17331 +
Rpn11 Spindly +
T-cp1 Cdk8 +
T-cp1 CoIV -
T-cp1 Neto -
T-cp1 stc -
T-cp1 Cct5 +
T-cp1 CG4169 +
T-cp1 Tcp-1eta +
CG7967 igl +
CG7967 l(2)NC136 +
CG7967 CG7518 +
CG7967 Taf2 -
RpL7 vig -
RpL7 Tsc1 +
RpL7 RpL35A +
RpL7 CG15631 +
RpL7 RpL15 +
RpL7 CG9986 -
RpL7 MED4 +
RpL7 Arp2 +
Mical CG3436 +
Mical CG7427 +
Mical l(2)NC136 +
Mical Rpt3 +
Mical CG8155 -
Hsc70-5 Plc21C -
Hsc70-5 RpL35A +
Hsc70-5 snRNP-U1-70K +
Hsc70-5 CG13806 -
Hsc70-5 Droj2 -
Hsc70-5 Pms2 +
Hsc70-5 qkr58E-2 -
SmB Tm2 -
SmB SH3PX1 +
SmB betaCop +
SmB RpA-70 -
CG8636 Tango7 +
CG8636 Rpn3 -
CG8636 CG9769 +
CG8636 CG3862 -
CG8636 msi -
CG8636 eIF3-S8 +
CG8636 BubR1 -
CG8636 eIF3-S9 +
CG8636 Ccn +
CG8636 CG13319 -
CG8636 eIF3-S10 +
HLH4C CG6972 -
HLH4C trx -
HLH4C rap -
HLH4C Argk +
HLH4C Zasp66 -
HLH4C CG31036 +
HLH4C CG32473 -
HLH4C zormin +
HLH4C CG8745 +
HLH4C Lmpt +
Tor ple -
Tor Vti1 -
Tor drk +
pzg l(2)06225 +
pzg Tsc1 -
pzg Gdh -
pzg Droj2 -
Rm62 Tsc1 -
Rm62 row +
Rm62 numb -
Rm62 phl -
Rm62 CG7879 +
Rm62 flr +
Rm62 C15 -
Fer1HCH CG7203 -
Fer1HCH SmD2 -
Fer1HCH RpS26 +
Fer1HCH Fs(2)Ket +
emb Pp2A-29B -
emb Mi-2 -
emb Scamp -
emb CG4328 +
emb Sec61alpha -
emb Karybeta3 +
emb MRP -
Rbm13 mol -
Rbm13 CG6937 +
Rbm13 CG6724 +
Rbm13 betaTub56D +
Rbm13 Cyt-c-p +
Rbm13 gus -
Rbm13 ran +
Rbm13 sol -
vig RpS11 -
vig tws -
vig CG11107 +
vig CG4570 -
vig Prosalpha5 +
