
WARNING from init.py: found 154 self-loops, here is one of them: ('JW3352', 'JW3352')

================================================== NH_Bacteria.txt ==================================================
alive 1014      dead 0         maxd 63        mind 1         Hub deg 63        no. Leafs 377       swapped 63 (in) 0 (out)
alive 1011      dead 3         maxd 56        mind 1         Hub deg 56        no. Leafs 254       swapped 56 (in) 0 (out)
alive 1009      dead 5         maxd 52        mind 1         Hub deg 52        no. Leafs 153       swapped 51 (in) 0 (out)
alive 1007      dead 7         maxd 48        mind 1         Hub deg 48        no. Leafs 58        swapped 29 (in) 0 (out)
alive 1007      dead 7         maxd 43        mind 1         Hub deg 43        no. Leafs 7         swapped 3 (in) 1 (out)
alive 1007      dead 7         maxd 43        mind 1         Hub deg 43        no. Leafs 2         swapped 1 (in) 0 (out)
alive 1007      dead 7         maxd 42        mind 2         Hub deg 42        no. Leafs 555       swapped 42 (in) 0 (out)
alive 1006      dead 8         maxd 40        mind 1         Hub deg 40        no. Leafs 9         swapped 4 (in) 1 (out)
alive 1006      dead 8         maxd 39        mind 1         Hub deg 39        no. Leafs 1         swapped 0 (in) 1 (out)
alive 1006      dead 8         maxd 38        mind 2         Hub deg 38        no. Leafs 479       swapped 38 (in) 0 (out)
alive 1005      dead 9         maxd 35        mind 1         Hub deg 35        no. Leafs 9         swapped 4 (in) 1 (out)
alive 1005      dead 9         maxd 33        mind 1         Hub deg 33        no. Leafs 2         swapped 1 (in) 0 (out)
alive 1005      dead 9         maxd 32        mind 2         Hub deg 32        no. Leafs 411       swapped 31 (in) 0 (out)
alive 1004      dead 10        maxd 31        mind 1         Hub deg 31        no. Leafs 6         swapped 3 (in) 0 (out)
alive 1004      dead 10        maxd 31        mind 2         Hub deg 31        no. Leafs 360       swapped 31 (in) 0 (out)
alive 1003      dead 11        maxd 30        mind 1         Hub deg 30        no. Leafs 6         swapped 3 (in) 0 (out)
alive 1003      dead 11        maxd 28        mind 2         Hub deg 28        no. Leafs 304       swapped 27 (in) 0 (out)
alive 1002      dead 12        maxd 28        mind 1         Hub deg 28        no. Leafs 2         swapped 1 (in) 0 (out)
alive 1002      dead 12        maxd 27        mind 2         Hub deg 27        no. Leafs 255       swapped 27 (in) 0 (out)
alive 1001      dead 13        maxd 27        mind 1         Hub deg 27        no. Leafs 6         swapped 3 (in) 0 (out)
alive 1001      dead 13        maxd 25        mind 2         Hub deg 25        no. Leafs 213       swapped 25 (in) 0 (out)
alive 1000      dead 14        maxd 25        mind 2         Hub deg 25        no. Leafs 175       swapped 25 (in) 0 (out)
alive 999       dead 15        maxd 24        mind 1         Hub deg 24        no. Leafs 1         swapped 0 (in) 1 (out)
alive 999       dead 15        maxd 24        mind 2         Hub deg 24        no. Leafs 134       swapped 24 (in) 0 (out)
alive 998       dead 16        maxd 23        mind 1         Hub deg 23        no. Leafs 1         swapped 0 (in) 1 (out)
alive 998       dead 16        maxd 23        mind 2         Hub deg 23        no. Leafs 99        swapped 23 (in) 0 (out)
alive 997       dead 17        maxd 22        mind 1         Hub deg 22        no. Leafs 2         swapped 1 (in) 0 (out)
alive 997       dead 17        maxd 22        mind 2         Hub deg 22        no. Leafs 66        swapped 22 (in) 0 (out)
alive 996       dead 18        maxd 21        mind 2         Hub deg 21        no. Leafs 29        swapped 14 (in) 1 (out)
alive 996       dead 18        maxd 21        mind 2         Hub deg 21        no. Leafs 10        swapped 5 (in) 0 (out)
alive 996       dead 18        maxd 20        mind 2         Hub deg 20        no. Leafs 2         swapped 1 (in) 0 (out)
alive 996       dead 18        maxd 20        mind 3         Hub deg 20        no. Leafs 725       swapped 19 (in) 0 (out)
alive 995       dead 19        maxd 19        mind 2         Hub deg 19        no. Leafs 5         swapped 2 (in) 1 (out)
