
WARNING from init.py: found (and ignored) 31 duplicate edges, here is some of them: 

Egfr                     drk                      
Sos                      drk                      
CkIalpha                 arm                      
CkIalpha                 ci                       
tim                      sgg                      
================================================== NH_Vinayagam.txt ==================================================
alive 3352      dead 0         maxd 55        mind 1         Hub deg 55        no. Leafs 1438      swapped 55 (in) 0 (out)
alive 3350      dead 2         maxd 42        mind 1         Hub deg 42        no. Leafs 1330      swapped 42 (in) 0 (out)
alive 3348      dead 4         maxd 41        mind 1         Hub deg 41        no. Leafs 1245      swapped 41 (in) 0 (out)
alive 3341      dead 11        maxd 37        mind 1         Hub deg 37        no. Leafs 1163      swapped 37 (in) 0 (out)
alive 3340      dead 12        maxd 36        mind 1         Hub deg 36        no. Leafs 1090      swapped 36 (in) 0 (out)
alive 3335      dead 17        maxd 35        mind 1         Hub deg 35        no. Leafs 1017      swapped 35 (in) 0 (out)
alive 3331      dead 21        maxd 34        mind 1         Hub deg 34        no. Leafs 946       swapped 34 (in) 0 (out)
alive 3330      dead 22        maxd 33        mind 1         Hub deg 33        no. Leafs 879       swapped 33 (in) 0 (out)
alive 3329      dead 23        maxd 31        mind 1         Hub deg 31        no. Leafs 814       swapped 31 (in) 0 (out)
alive 3328      dead 24        maxd 30        mind 1         Hub deg 30        no. Leafs 759       swapped 30 (in) 0 (out)
alive 3325      dead 27        maxd 30        mind 1         Hub deg 30        no. Leafs 703       swapped 30 (in) 0 (out)
alive 3324      dead 28        maxd 30        mind 1         Hub deg 30        no. Leafs 645       swapped 30 (in) 0 (out)
alive 3321      dead 31        maxd 29        mind 1         Hub deg 29        no. Leafs 588       swapped 29 (in) 0 (out)
alive 3317      dead 35        maxd 29        mind 1         Hub deg 29        no. Leafs 535       swapped 29 (in) 0 (out)
alive 3315      dead 37        maxd 29        mind 1         Hub deg 29        no. Leafs 483       swapped 29 (in) 0 (out)
alive 3314      dead 38        maxd 28        mind 1         Hub deg 28        no. Leafs 432       swapped 28 (in) 0 (out)
alive 3313      dead 39        maxd 28        mind 1         Hub deg 28        no. Leafs 384       swapped 28 (in) 0 (out)
alive 3312      dead 40        maxd 27        mind 1         Hub deg 27        no. Leafs 331       swapped 27 (in) 0 (out)
alive 3310      dead 42        maxd 27        mind 1         Hub deg 27        no. Leafs 285       swapped 27 (in) 0 (out)
alive 3308      dead 44        maxd 26        mind 1         Hub deg 26        no. Leafs 235       swapped 26 (in) 0 (out)
alive 3307      dead 45        maxd 26        mind 1         Hub deg 26        no. Leafs 185       swapped 26 (in) 0 (out)
