source target
731 1
6672 357
660 3
3413 33
6274 1
1314 0
764 207
1206 18
1918 1898
2411 1
2658 2
399 78
437 263
4128 2
3858 1
5 195
4476 466
9 0
392 152
191 232
506 282
2856 33
6675 1188
4181 3
848 1
1862 1044
1111 0
179 353
469 7
645 4
1470 225
1694 1
460 334
9 994
1427 46
5390 97
75 97
4237 2343
4806 280
4915 3
368 5624
49 910
377 265
6259 1
14 508
236 52
364 1
6595 3
3046 33
3720 1866
175 43
6325 4735
2106 4
259 4
577 1
2719 234
5896 4
192 33
1555 8
1115 513
1868 65
3153 614
4431 3
1503 2906
512 2987
192 80
2763 3387
2015 3
3025 4
3103 1
278 2
1645 2
525 3
1867 8
710 1
3376 33
1676 626
4270 353
3325 2
676 0
337 1684
68 336
2356 0
234 120
2603 1
642 3
5040 122
5691 261
6 922
25 3
116 68
210 1
1164 188
13 1570
4912 4
314 35
556 1656
7 4
4847 188
5582 1
176 0
5829 0
4965 1
54 33
6484 18
812 117
2151 1295
722 5122
158 3
5548 0
2288 3
82 4014
13 4572
2818 5654
794 523
217 630
0 28
188 1201
744 353
3902 8
124 3
275 3
226 623
522 0
2226 43
35 2939
6148 2314
1358 1829
5338 97
4623 3
497 0
1608 0
602 101
1792 2795
1671 433
56 1
3119 4
3135 6517
1343 0
3288 0
2629 264
2724 28
4029 125
3023 0
702 107
3270 3
3824 33
4811 1
2555 1988
216 246
14 41
2582 1
296 334
333 1121
1861 869
11 1253
4345 0
1250 1334
1090 3
436 2182
1497 3
2462 18
123 758
14 331
1673 0
3781 447
37 42
809 1
2499 43
5695 2156
624 0
3596 68
2489 1
6025 5924
1911 1
1118 239
2233 4
329 117
1877 2
5869 2106
5739 2554
3150 0
1189 0
912 52
304 2713
325 1
931 784
5962 3
1735 1737
2989 598
281 107
2028 1
908 0
3761 1546
1155 1
3002 675
6176 18
1340 3
6463 752
153 33
723 3
888 450
1994 0
106 3
1658 117
5 1701
2403 3
689 0
1150 265
3921 1
12 307
1914 1662
1714 18
2369 0
408 0
120 266
840 3
1006 752
27 5006
2788 261
1325 4
4489 2742
134 117
172 184
390 3
4756 0
30 42
584 8
2013 183
2036 200
555 505
77 117
1153 44
5225 2
849 117
1632 68
2769 5626
2468 1
2786 4
6285 2082
4441 4
5543 1
4791 828
835 183
4688 3
15 33
2434 0
3435 270
3160 2764
4238 3
6199 1
288 1
1034 42
649 8
2832 2
119 2
156 8
1205 3
531 44
2231 0
4636 1
881 23
130 623
517 1
1664 28
3070 1
1470 8
1470 1916
5717 266
51 0
3871 384
1416 68
2902 953
2281 33
5616 5182
17 1
4559 1
5670 3
1659 135
6474 2703
316 27
4822 2909
687 4
306 33
785 4
5389 1
477 8
3400 1
838 3
1426 263
2836 125
2964 42
153 227
2902 266
582 4
1264 107
197 42
2584 125
2765 2
2 8
435 2417
1236 1
5577 3
1492 107
4833 1583
1889 489
955 3
885 334
5999 4194
5991 1
2768 8
3746 1
921 0
1841 1411
4439 0
4826 1323
3438 117
2762 762
6384 0
756 76
6366 3
68 78
2602 18
471 3
533 4
809 1200
2679 0
24 44
258 994
1510 44
515 4634
1989 1
6078 1069
30 6
5150 172
1799 768
437 0
4793 25
6377 5052
252 1
403 1
5413 983
1367 499
191 102
1921 3
1015 1456
4067 3
4701 6258
6587 33
147 4
205 1798
581 6574
2515 2
100 44
3068 1390
731 450
237 117
1761 3930
1009 117
4470 4
4878 47
351 2
598 1
2463 0
70 686
1617 47
3706 18
4251 1
4436 3
5954 1
1831 68
3478 4
5090 0
4274 117
5124 97
833 33
1650 0
710 489
1579 4
2064 2122
1507 33
3269 18
23 450
98 1
444 117
27 7
1369 0
2210 3
5902 3
4621 42
1380 384
6257 869
64 0
524 756
1351 1
583 155
360 1451
5138 871
1595 776
4118 3659
1731 1240
1157 489
2 125
4202 4
3490 18
2997 2
767 44
2859 33
1303 64
1786 4
851 1
1458 43
4097 1
780 3
3918 125
2124 1
163 3
2731 107
3210 4
1400 294
2778 2
817 2
2707 2
5185 4051
31 24
5689 783
2090 0
5599 4547
2721 1630
153 394
6494 33
968 1
1231 0
2003 91
3105 4
367 1
3749 723
5832 5289
153 315
2834 18
105 18
950 0
6157 0
6663 890
5072 125
2035 347
3741 0
916 7
5359 18
1595 3
2395 1302
811 232
1129 117
189 564
14 5010
1002 5702
7 999
2044 394
4958 1576
123 3888
4816 1
988 512
1035 217
9 7
6496 1
1543 1
436 194
6109 768
247 0
4517 0
3223 1
5385 68
2732 540
2966 42
645 3
223 43
830 1
2221 33
2791 3
213 1
142 7
4416 44
3307 33
796 0
4227 4
532 634
1488 336
175 42
4834 33
3428 1078
330 1
4115 4195
4307 4087
577 0
3491 4
249 183
4246 2
4431 2
74 10
5517 3
2257 0
296 0
4678 1
2775 194
559 1
5085 1
1725 2156
1631 4013
4539 101
127 3
6087 374
6358 1
3103 0
4644 0
278 3
525 2
5530 33
231 33
957 5427
1146 6048
3942 1
5518 1522
6153 47
93 0
439 52
22 4
189 1345
1309 1142
1587 184
1967 92
4610 3
676 1
1199 183
7 353
1515 2
2356 1
106 44
140 838
1762 1
6032 1
3578 990
919 3328
1145 1
6343 10
5863 2
1728 0
3001 4581
494 1426
1091 1268
137 553
0 511
4894 4
846 2
1643 44
1093 3
158 0
3333 80
5866 4
146 568
6267 626
5071 4124
2751 2235
4932 2074
1525 4709
2669 2526
72 336
0 29
2625 52
3788 1
3100 3
1400 2713
4715 1376
6 1602
593 3
522 1
15 1840
929 1
878 92
3263 582
242 194
575 4
3473 0
744 0
5030 0
2031 1
162 1335
5277 1
480 3594
402 18
1343 3
57 2051
2687 1
109 3
2406 3
2875 8
1070 3543
368 18
4 0
6491 0
1531 1
5735 1248
2103 2762
5650 334
2804 1
843 3
1569 101
615 543
2155 1275
1497 2
101 1345
122 80
1873 1531
6003 4513
809 0
6182 925
1493 1794
1057 4911
624 1
1911 0
4061 207
1496 117
5528 1044
2048 1
359 3
1445 4
6405 3
4624 41
663 75
