Official Symbol Interactor A	Official Symbol Interactor B
RtGEF	Git
CG10103	Vps4
phyl	ttk
phyl	sina
tra2	Doa
CG10158	CG17494
CG10164	msps
Mfap1	Prp38
Ercc1	mei-9
Rpn9	Rpn5
Mocs2	CG13090
aPKC	par-6
Hakai	vir
CG10306	CG5642
TfIIEalpha	TfIIEbeta
CG10418	CG2021
Gem2	Smn
cpa	cpb
I-2	Pp1-87B
Nedd8	Den1
dm	Max
ntc	PI31
Vha26	VhaSFD
CG10949	CG6683
CG1104	CG5862
Vps37B	TSG101
Snap29	Syx4
Snap29	Syx1A
Snap29	alphaSnap
hpo	sav
CG11486	PAN2
CycG	wdb
arm	pan
Rlip	Rala
CG11652	CG7265
CG45263	Vps45
trsn	Trax
dgt6	dgt4
CG11882	Clc
CG11882	Chc
CG11885	CG13319
Rpn2	Rpn13
skpC	CG4221
skpC	CG9316
neur	Tom
CG12007	betaggt-II
mri	CG4854
CG12171	CG31549
Nat1	CG9922
Fadd	imd
CG12304	Aats-asp
polo	by
CG12333	KrT95D
CG12393	Ocrl
Mad	CG8993
CG12620	Pp1-87B
Ciao1	CG7949
CG13085	skpA
Uba3	APP-BP1
Vrp1	WASp
CG14232	CG9356
Vps2	Vps24
CG14544	CG9596
Syx16	alphaSnap
Syx16	Vps45
MED18	MED20
Pex5	Pex14
Ack	SH3PX1
RfC4	RfC3
CG1513	Vap-33A
CG1513	CG9205
Prosalpha7	Prosalpha6
RPA3	RPA2
CG15435	CG7139
hdc	unk
CG15717	CG8525
Atg5	Atg16
Smn	Gem3
CG16941	noi
skpA	Fsn
skpA	CG9316
skpA	Skp2
skpA	ppa
ssp	l(3)j2D3
HP5	Su(var)205
dap	PCNA
cnc	maf-S
Rpn11	Rpn8
CG18292	Mi-2
Rab40	EloC
ci	Su(fu)
Nup50	Pen
Socs44A	EloC
Galphao	raps
CG2246	CG6767
Syx4	Snap24
Snx1	Snx6
Hrs	Stam
gus	EloC
egg	CG14464
MAPk-Ak2	p38b
Syx1A	alphaSnap
geminin	dup
insv	ctp
CG43078	Amph
inc	inc
CG33156	CG6145
spn-B	RecQ5
Kr	CtBP
CG3430	Mcm5
CG3501	CG3678
CG3689	CG7185
dock	Ptp61F
sna	CtBP
pont	rept
EloB	EloC
Fsn	skpB
Npl4	Ufd1-like
kni	CtBP
l(2)k01209	CG5537
BCAS2	Cdc5
CG5043	sip2
Cdk4	CycD
Cdk9	CycT
Zn72D	CG5641
RfC3	CG8142
Klc	Khc
dnk	fal
ken	lolal
Ote	Lam
ari-2	UbcD10
lolal	rib
cact	dl
Arpc4	Arpc5
Vha13	fu
Csl4	Mtr3
Nup62	mbo
ball	baf
CG6610	CG9344
CG6617	CG7611
CTPsyn	CtBP
CG7048	CG7770
dik	Ada2b
CG7148	skpB
CG7911	Nlp
Mtr3	Rrp42
shrb	Vps24
tsu	mago
PGRP-LE	PGRP-LE
Skp2	Cks85A
ko	polo
DnaJ-1	Mlf
Snr1	RpS3A
Snr1	Bap60
Snr1	fax
hk	CG14556
E2f2	CG11138
Sap130	CG7379
Rcd5	dgt1
Rcd5	rau
CG11486	CycK
arm	Apc2
skpC	CG14937
CG13001	CG4813
ix	MED10
Rpn13	Uch-L5
CG13731	sty
wac	dgt2
01-Sep	02-Sep
Mer	mod
CG14317	skpA
Fer2LCH	Fer1HCH
krz	dx
CG14937	skpA
ago	skpA
CkIIbeta	CkIIalpha
morgue	skpA
CG15440	CG1646
RpS20	imd
skpA	slmb
skpA	CG4911
skpA	CG7148
ssp	Mhcl
Tak1	Tab2
flw	RpS8
EF2	imd
mxt	eIF4E-5
cindr	bsk
crn	Bx42
CG32486	UbcD4
Mob4	rau
Su(H)	H
CG3731	Tab2
Chi	Ssdp
CycE	mi
yki	Tab2
Nipped-B	CG4203
CG4557	Rab6
CG4709	Prp3
Klc	CG8569
imd	Rack1
MRG15	mts
CSN6	CSN4
Vps45	Rbsn-5
CG8301	rau
Tango7	CG9769
Ibf1	Ibf2
cdc2	Cks85A
Cks85A	cdc2
cdc2c	Cks85A
Mad	CG8993
CkIIalpha	CkIIbeta2
skpB	Fsn
skpA	Fsn
cdc2c	CycG
Cdk4	CycG
skpA	CG14937
skpA	CG14317
skpA	CG4911
skpB	CG7148
skpA	CG7148
skpA	Skp2
Cks85A	Skp2
skpA	slmb
skpA	ppa
skpA	CG9316
skpC	CG9316
skpC	CG4221
skpA	ago
p53	lwr
CycK	CG11486
p53	MEP-1
p53	CG6923
RPA2	RPA3
E2f2	CG11138
skpA	CG13085
Klc	CG8569
Doa	tra2
CycG	wdb
bsk	cindr
skpC	CG14937
Pp2A-29B	wdb
kay	Jra
CSN7	alien
CSN7	CSN4
acj6	vvl
vvl	acj6
vvl	acj6
inaD	trp
N	dx
N	dx
inaD	trp
Fmr1	AGO2
AGO2	Fmr1
smg	cup
smg	cup
smg	cup
cup	eIF-4E
cup	eIF-4E
eIF-4E	cup
Sce	ord
ord	Sce
mbo	emb
Nup214	mbo
mbo	emb
emb	mbo
Taf4	Taf1
Taf4	Taf1
smo	cos
EcR	trr
trr	EcR
trr	EcR
trr	usp
usp	trr
Map60	Cp190
EcR	trr
Cp190	Map60
smo	cos
Gclm	Gclc
Gclc	Gclm
Ptp61F	dock
dock	Ptp61F
dock	Ptp61F
Ssrp	Trl
Mer	Moe
Ssrp	Trl
dre4	Trl
Cdk8	CycC
Cdk8	CycC
dre4	Trl
Trl	Ssrp
Trl	Ssrp
Trl	dre4
CycC	Cdk8
ptc	l(2)tid
l(2)tid	ptc
ptc	l(2)tid
l(2)tid	ptc
Pi3K92E	Pi3K21B
inaD	trp
InR	dock
dock	InR
Pi3K92E	Pi3K21B
dock	InR
Pp1-87B	neb
Pp1-87B	neb
esc	Pcl
esc	Su(z)12
esc	E(z)
esc	Rpd3
inaD	norpA
inaD	trp
esc	Su(z)12
esc	Rpd3
esc	Rpd3
cos	ci
E(z)	Pcl
E(z)	Su(z)12
E(z)	E(z)
E(z)	Rpd3
E(z)	esc
E(z)	Su(z)12
E(z)	Rpd3
cos	ci
E(z)	Pcl
E(z)	Rpd3
ci	cos
Pcl	Su(z)12
Pcl	E(z)
Pcl	Rpd3
Pcl	esc
Pcl	E(z)
Pcl	esc
Pcl	Su(z)12
Pcl	Rpd3
Pcl	Rpd3
Rpd3	Pcl
Rpd3	E(z)
Rpd3	Pcl
Su(z)12	E(z)
Su(z)12	Rpd3
Su(z)12	Pcl
Su(z)12	Rpd3
Spt3	Ada2b
Spt3	dik
Spt3	Ada2b
dik	Spt3
dik	Ada2b
dik	Ada2a
sina	phyl
sina	ttk
phyl	sina
phyl	ttk
sim	tgo
sima	tgo
trh	tgo
tgo	sim
tgo	sima
tgo	trh
sim	tgo
trh	tgo
mys	scb
scb	mys
Nak	numb
numb	Nak
numb	Nak
Caf1	Iswi
Caf1	Iswi
Iswi	Caf1
Slip1	slo
slo	Slip1
slo	Slip1
CycT	Cdk9
Dab	drk
Dab	sev
drk	Dab
sev	Dab
drk	Dab
sev	Dab
per	dco
dco	per
norpA	inaD
cnk	phl
phl	cnk
cdc2	CycB3
CycB3	cdc2
h	CtBP
h	gro
14-3-3zeta	Slob
14-3-3zeta	Slob
Acf1	Iswi
Acf1	Iswi
Iswi	Acf1
dock	Pak
dock	Pak
ECSIT	Traf6
Traf6	ECSIT
Pka-R2	Akap200
Pka-R2	Akap200
arm	Apc2
arm	Apc2
arm	Apc2
CSN5	CSN7
CSN7	CSN5
car	dor
dor	car
