Official Symbol Interactor A	Official Symbol Interactor B
MIS12	SPC24
MIS12	SPC25
MIS12	CASC5
MIS12	ZWINT
MIS12	DSN1
MIS12	NDC80
MIS12	NUF2
MIS12	PMF1
EGFR	SHC1
EGFR	STAT5A
EGFR	PTPN11
EGFR	CRK
EGFR	CSK
EGFR	CBLB
EGFR	GRB2
ERBB2	SHC1
ERBB2	PTPN11
ERBB2	GRB2
ERBB3	GRB2
ERBB3	PIK3R2
ERBB3	SHC1
ERBB4	SHC1
ERBB4	STAT5A
ERBB4	GRB2
MIS12	NDC80
MIS12	CASC5
MIS12	DSN1
MIS12	NSL1
MIS12	CBX5
MIS12	ZWINT
MIS12	PMF1
DSN1	NSL1
DSN1	CASC5
DSN1	MIS12
DSN1	PMF1
TCERG1	SF3A1
TCERG1	SF3A3
TCERG1	SF3B2
TCERG1	SF3B1
TCERG1	HNRNPM
TCERG1	U2AF2
CD2BP2	SNRNP200
GIPC1	MYO6
EIF4A2	EIF4G1
CD2BP2	PRPF8
YWHAG	KIF5B
CNOT8	CNOT1
ASF1B	IPO4
DBNL	HERC2
SNRNP40	PRPF8
ASF1B	CDAN1
CD2BP2	EFTUD2
YWHAG	SRRM2
SNRNP40	SNRNP200
PSMD13	PSMD2
ASF1B	TLK2
YWHAB	KIF5B
TCEAL1	USP11
PSMD13	PSMD12
FBXO4	CUL1
YWHAB	MPRIP
PSMD13	PSMD1
YWHAG	MPRIP
UBE2I	RANGAP1
PSMD6	PSMD1
PNKP	LIG4
YWHAG	PI4KB
PSMD10	PSMD1
MLF2	MMS19
PSMD6	PSMD2
PSMD10	PSMD2
PSMD13	PSMD11
YWHAQ	KIF5B
YWHAB	SRRM2
PAAF1	PSMC5
PNKP	LIG3
ASB3	CUL5
CDKN2C	CDK4
UBE2I	SAE1
PAAF1	PSMC1
PSMD10	PSMD11
EEF1A2	VARS
PUF60	TROVE2
YWHAG	LARP1
YWHAB	IRS2
YWHAG	MLLT4
ASF1B	TLK1
RUVBL1	RUVBL2
SAE1	UBA2
VHL	CUL2
PSMD10	PSMC5
STK24	STRN
CD2BP2	DDX23
YWHAZ	KIF5B
NEK6	NEK9
PSMD6	PSMD12
YWHAB	RAI14
PLRG1	PRPF19
PSMC4	PSMD2
YWHAB	SAMD4B
EIF3A	EIF3L
PAAF1	PSMC4
PSMD10	PSMC4
PPP4C	SMEK1
PSMD13	PSMC3
SNRPB	SNRNP200
YWHAB	BRAF
PSMD13	PSMD3
PSMD6	PSMD13
EEF1A2	EEF1D
CD2BP2	PRPF6
PSMD13	PSMC1
RNPS1	PRPF8
STK24	STRN3
EIF6	BCCIP
EIF4A2	PDCD4
RNPS1	EFTUD2
ACTR3B	ARPC2
RNPS1	LUC7L2
RUVBL1	C2orf44
CTNNBIP1	CTNNB1
PPP1CB	PPP1R7
AES	TLE1
PSMD13	PSMC4
PSMC4	PSMC5
YWHAG	BRAF
UBE2I	RANBP2
PLRG1	CDC5L
PSMD10	PSMC1
SMYD2	EPB41L3
EIF4A1	EIF4G1
YWHAB	PI4KB
UBAC1	RNF123
PSMD13	PSMC2
ACTR3B	ARPC1A
PTP4A2	CNNM3
PSMD6	PSMD11
YWHAG	EPB41L3
RNPS1	PRPF40A
ARRB2	NOLC1
YWHAG	EDC3
CDKN2C	CDK6
YWHAG	OSBPL3
STK24	PPP2R1A
PSMD6	PSMD3
YWHAG	CLASP1
PSMD6	PSMC1
PSMD10	PSMD3
PNKP	XRCC1
PPP4C	TIPRL
PSMD10	PSMC3
YWHAB	USP8
USF2	USF2
YWHAG	PPFIBP1
PSMD6	PSMC2
PSMD6	PSMC3
RUVBL2	C2orf44
CCNH	MNAT1
YWHAZ	SAMD4B
SNRNP40	EFTUD2
ARRB2	TCOF1
PPP4C	SMEK2
EIF3A	EIF3E
PPP1CB	PPP1R12A
YWHAB	EPB41L3
YWHAB	PARD3
PAAF1	PSMC3
ACTR3B	ACTR2
PSMC4	PSMD1
DYNLL1	DYNC1I2
FBXO4	SKP1
XRCC1	LIG3
EIF4A1	PDCD4
YWHAQ	PI4KB
PSMD13	PSMC5
ARRB1	NOLC1
YWHAG	TJP2
ARHGDIA	RHOA
LYAR	RPL23A
YWHAG	SAMD4B
CNBP	RPL3
CAMK2A	CAMK2D
AKTIP	HOOK1
PSMC4	PSMD10
PTP4A2	CNNM4
PAAF1	PSMD14
LYAR	MYBBP1A
PAK2	GIT1
UBE2M	NAE1
YWHAG	ERC1
STK24	PDCD10
PAAF1	PSMD7
PSMD10	PSMC2
02-Sep	07-Sep
PAAF1	PSMD10
PUF60	ELAC2
YWHAQ	SAMD4B
CDK4	CDC37
PNKP	MCM3
YWHAG	RABGEF1
CTNNBIP1	JUP
RAB11A	RAB11FIP1
STK24	STRN4
EIF3A	EIF3H
PSMD6	PSMC5
EIF2B1	EIF2B3
YWHAB	KLC1
YWHAB	MLLT4
ATG12	ATG5
ARHGDIA	RAC1
PSMD10	PSMD7
YWHAG	IRS2
ASF1B	CHAF1B
PSMD13	PSMD14
RNPS1	LUC7L
FIBP	C2CD5
STK24	MOB4
YWHAG	PARD3
YWHAQ	MPRIP
STK24	STK25
YWHAG	PAK4
OAZ2	AZIN1
PSMD10	PSMC6
PSMD13	PSMD7
RGS20	GLRX3
USF2	USF1
EEF1A2	EEF1B2
YWHAG	MARK2
ARHGDIA	RHOC
ACTR3B	ARPC4
RNPS1	SRPK1
ACTR3B	ARPC1B
RNPS1	PNN
CDK4	CDKN2A
EIF3A	EIF3I
EIF3A	EIF3F
RNPS1	U2AF2
YWHAB	RACGAP1
YWHAZ	EPB41L3
PLRG1	BCAS2
YWHAB	KIF23
YWHAG	RAI14
XRCC1	PNKP
YWHAG	ARAF
