Official Symbol Interactor A	Official Symbol Interactor B
CBS	CBS
BAK1	BCL2L1
RUNX1T1	CBFA2T2
AP2B1	AP1M2
STX11	SNAP23
U2AF1	U2AF2
RRAGA	RRAGC
EIF3C	EIF3G
AIMP2	AIMP2
CCND3	MCM10
BCL2L1	RAD9A
TRIM39	TRIM39
KRT81	KXD1
PLSCR1	CPSF6
CCDC85B	KANSL1
MVK	MVK
HMG20A	TESC
NOL3	NOL3
PCBD1	PCBD1
ACTB	CFL2
ACTB	ACTB
CCDC85B	TCEANC
HOXA9	TRIP6
PLOD3	RHOXF2
ACTG1	CFL2
GNAI2	MDFI
CPSF6	WWP1
MDFI	SIX1
RBL1	BEGAIN
MEF2BNB-MEF2B	TEX11
MAGEA11	CLUAP1
TRIP13	MAD2L1BP
EHMT2	PRRC2B
AP2B1	MEA1
ZFP36L1	MAPK14
CCDC85B	CHCHD3
PPP2R5D	PPFIA1
RBMX	KHDRBS2
MDFI	ZBTB25
ZNF165	CCDC130
RGR	KIAA1279
MDFI	IQUB
KCNRG	KCNRG
SFN	PLK4
RILPL2	RILPL2
PAFAH1B3	LNX1
RAD23A	SQSTM1
KRT15	RCOR3
KXD1	IFT20
PLSCR1	NEU4
ZMYND10	TSC22D4
KRT6A	CCDC85B
MRI1	MRI1
HNRNPC	HNRNPC
KRT15	USP2
GCC1	FBF1
FXR2	LCMT1
KRT17	CCDC85B
TNIP1	MAGEB18
EWSR1	ZNF165
SUFU	RCN3
PKN1	CCDC85B
HACL1	HACL1
STMN2	TEX11
ABLIM1	LDOC1
TRIM29	GCC1
NAGK	LNX1
SERTAD3	USHBP1
MDFI	RABL6
NECAB2	NECAB2
LIN37	TEX11
DRG1	RWDD1
UBE2D4	DTX2
PTS	PTS
TRIM37	PRC1
BET1	USHBP1
CCDC85B	C19orf25
MDFI	PGLS
ARR3	ZNF496
BNIP3	TMEM11
DPEP1	KIAA1279
STAC3	STAC3
HOOK2	CCDC33
COPS4	C19orf57
RABGEF1	KXD1
NMI	HHLA3
ALX1	IPO13
PLSCR1	TFG
RBPMS	SMUG1
MAGEA11	SH2D4A
NOC4L	USHBP1
MAGEA11	TCEA2
CHAC1	RHOXF2
KCTD17	KCTD17
GPS2	MAP3K7CL
EFEMP2	RHOXF2
PHC2	MCRS1
USHBP1	EXOC8
APIP	APIP
GAGE2E	GMCL1P1
AIMP2	C19orf57
DPY30	DPY30
SNAP23	NAPA
USP5	TADA3
DVL2	ZNF165
SUFU	PEX26
STX4	NAPA
DVL2	DVL2
TUBA3C	NMI
DVL3	PRPF3
CLNS1A	ITGA2B
TRAK2	KCNJ2
ATF4	POLR2C
GLRX	ATP7A
GLRX	ATP7B
XRCC4	NHEJ1
XRCC4	LIG4
BCL2L11	BCL2
BCL2L11	BCL2L1
BCL2L11	MCL1
BBC3	BCL2
BBC3	BCL2L1
BBC3	MCL1
BIK	BCL2L1
BAD	BCL2L1
BAD	BCL2
BAD	YWHAQ
PMAIP1	MCL1
MAFA	NEUROD1
MAFA	PDX1
PODXL	SLC9A3R2
AKIP1	PRKACA
CDK2	CDKN1B
DNMT3A	MYC
MYC	DNMT3A
DNMT3A	ZBTB17
BCL2	ITPR1
PML	TDG
STK11	CAB39
STK11	STRADA
APTX	XRCC1
XRCC1	APTX
APTX	PARP1
SGSM3	NF2
LIN9	RB1
ERBB4	STAT5A
NELFB	JUN
NELFB	FOS
TAF1D	POLB
EGFR	STAT5A
MIS12	DSN1
MIS12	CBX5
DSN1	MIS12
DSN1	CBX5
NSL1	MIS12
NSL1	DSN1
NSL1	CBX5
ZWINT	DSN1
RET	STAT3
EGFR	STAT3
ZAK	ZAK
RP9	U2AF1
MPRIP	PPP1R12C
TCP10L	MXD4
NF2	MED28
MED28	GRB2
HDAC4	ZBTB16
HDAC5	ZBTB16
HDAC6	ZBTB16
MTOR	RICTOR
MTOR	RPTOR
RPTOR	MTOR
RICTOR	MTOR
FKBP1A	MTOR
FKBP1A	RPTOR
MBD2	MBD3L1
MBD3L1	HDAC1
MBD3L1	HDAC2
MBD3L1	RBBP7
MBD3L1	RBBP4
MBD3L1	MTA1
MBD3L1	MTA2
MBD3L1	MBD2
MBD3L1	MBD3
MBD3L1	CHD3
YWHAQ	CRTC2
CRTC2	SIK2
LCP2	PIK3R1
LCP2	ITK
LCP2	NCK1
TERT	NCL
URI1	DMAP1
HDAC5	YWHAQ
HDAC5	PRKD1
ATM	RBBP8
CTNNB1	CTNND1
CTNNB1	JUP
GADD45A	GADD45A
FANCC	HSPA1A
FANCC	EIF2AK2
KMT2A	ASH2L
KMT2A	HCFC1
KMT2A	HCFC2
KMT2A	MEN1
ASH2L	KMT2A
HCFC1	KMT2A
HCFC2	KMT2A
MEN1	KMT2A
RBBP5	KMT2A
WDR5	KMT2A
KMT2A	RBBP5
KMT2A	WDR5
APC	CTNNA1
APC	CTNNB1
BRIP1	BRCA1
BRCA1	BRIP1
BRCA1	MAP3K3
BRCA2	HMG20B
MCL1	BAK1
TP53	BAK1
AKT1	AR
C11orf30	BRCA2
GSK3B	AXIN1
AXIN1	GSK3B
BRCA2	BRCA1
TRIP10	STAT3
CALM1	AR
AR	SMAD3
CTNNB1	AXIN1
AXIN1	CTNNB1
CTBP1	PNN
TRIP6	BCAR1
TP53BP1	RPA2
ATM	BRCA1
BCR	HCK
ATM	FANCD2
ATM	SMC1A
SMC1A	SMC3
BRCA1	SMARCA4
BRCA1	SMARCA2
BCL2L1	BAD
BAD	BCL2L1
MCL1	BAK1
BCL2	BAX
PTPN6	BCR
BCR	PTPN6
RASA1	DOK1
FES	BCR
BCR	FES
PSEN1	CTNNB1
RXRA	CTNNB1
PMAIP1	MCL1
BCL2L1	BAX
BAD	BCL2L1
NMI	BRCA1
BRCA1	MYC
BRCA1	NMI
MYC	NMI
FANCD2	BLM
TP53	BLM
TP53BP1	BLM
BLM	H2AFX
TP53BP1	H2AFX
BLM	TP53
TP53BP1	TP53
BLM	TP53BP1
BLM	FEN1
BRCA2	RAD51
BRCA2	RAD51
AURKA	BRCA1
BRCA1	POLR2A
POLR2A	MED21
BRCA1	MED21
BRCA1	POLR2A
BRCA1	TUBG1
BRCA1	FHL2
