Entrez Gene Interactor A	Entrez Gene Interactor B
51025	131118
131118	51025
10440	51025
3320	5894
3320	2064
3320	10598
3320	10728
3320	11140
3320	10963
51564	1499
1499	51564
51564	7531
51564	7533
51564	7534
1499	1003
29117	672
672	29117
672	4609
23133	11091
90326	3054
90326	8473
55145	3054
3054	55145
3054	8473
54617	81
54617	79913
4654	861
865	861
23569	3066
23569	7157
23309	55182
860	7088
83637	10401
10401	83637
10049	9759
9759	10049
3065	2436
2436	3065
3065	1026
4088	4089
1956	10013
3054	55723
84962	5914
5914	84962
3054	25942
2146	3720
2146	22823
3720	2146
3720	23512
22823	2146
22823	23512
302	6778
6778	302
546	3020
1026	1017
1026	1019
1026	1021
10524	23411
860	9759
9759	860
7157	6878
6878	7157
5591	326
6749	326
7153	326
4001	326
9688	326
4678	326
1655	326
6427	326
10514	326
10155	326
5885	326
8243	326
147040	3065
147040	8452
5970	22992
55257	10902
10902	55257
990	545
57697	2175
57697	80233
57697	2187
57697	2189
57697	55120
57697	2188
57697	91442
2175	80233
2175	2187
2175	2189
2175	55120
2175	2188
2175	91442
2175	57697
2475	57521
2475	9675
2475	253260
9675	2475
2475	64223
9675	9894
9894	9675
9675	472
9675	545
9675	5591
9675	23049
9675	8295
9894	472
9894	545
9894	5591
9894	23049
9894	8295
83933	3312
5077	83933
83933	10155
10155	83933
10155	5077
5077	10155
1655	3065
7157	26523
7157	10642
7157	10128
7157	152006
8517	3551
8517	793
8517	1017
8517	9616
8517	59343
8517	6857
392	387
5970	3065
3065	5970
5966	1387
5966	2033
9126	23244
1540	10013
2033	4851
2033	2099
2033	6662
6662	2033
2099	688
688	2099
57492	8453
57492	6601
57492	6599
57492	6597
57492	6921
9894	5591
9894	10856
9894	545
9894	9675
9894	472
9894	2475
9894	80185
128674	128674
7014	54386
7014	64858
144717	4952
150368	4952
4792	4790
4792	5970
4790	5970
4790	4792
114609	4615
9618	57154
57154	9618
5347	10010
10010	5347
10010	8517
8517	10010
2260	6774
6774	2260
2177	56852
2177	8658
8658	2177
545	4436
83990	641
641	83990
83990	672
672	6117
