Official Symbol Interactor A	Official Symbol Interactor B
MAP2K4	FLNC
GATA2	PML
RPA2	STAT3
ARF1	GGA3
ARF3	ARFIP2
ARF3	ARFIP1
APP	APPBP2
APLP1	DAB1
CITED2	TFAP2A
EP300	TFAP2A
APOB	MTTP
ARRB2	RALGDS
CSF1R	GRB2
PRRC2A	GRB2
SLC4A1	SLC4A1AP
BCL3	BARD1
ADRB1	GIPC1
BRCA1	ATF1
BRCA1	MSH2
BRCA1	BARD1
BRCA1	MSH6
ARVCF	CDH15
PSEN2	CAPN1
CAPN3	TTN
ITPR1	CA8
MAGI1	CTNNB1
RB1	CUX1
TSG101	CDKN1A
MCM5	MCM2
CDC7	MCM2
ORC2	MCM2
DBF4	MCM2
AKAP8	MCM2
MCM2	MCM2
RPA1	MCM2
ORC5	MCM2
MCM3	MCM2
YWHAZ	CDC25A
TRIP10	CDC42
CDKN3	CDK2
RBBP8	RBL1
CLTC	HGS
IGFBP3	COL1A1
TXN	COL1A1
ATF2	SMAD3
ATF2	SMAD4
CCND3	EIF3K
RALBP1	CCNB1
CSRP1	CSRP1
CSK	IGF1R
DCN	EGFR
SIM2	ARNT
SIM1	ARNT
HBEGF	ZBTB16
PCNA	GADD45A
EP300	EGR1
CREBBP	EGR1
NUMA1	EPB41
PLCG1	EEF1A1
KTN1	EEF1D
KDR	ANXA5
PPARGC1B	ESR1
SMARCA4	ESR1
DDX54	ESR1
ESR1	DNTTIP2
FGFR1	FDPS
SUMO1	FAS
FLNA	ITGB1
GABRG2	GABARAP
SLC2A2	KPNA2
SLC2A4	DAXX
GRIK2	SDCBP
GRIK2	PICK1
GRIK1	PICK1
GRIK1	SDCBP
CCNT1	GRN
RGS19	GNAZ
RGS19	GNAO1
RGS19	GNAI3
HSF2	UBE2I
LIMK1	NRG1
FGF7	HSPG2
XRN1	BAG6
HTT	SETD2
HAP1	HTT
HTT	ZDHHC17
HYPK	HTT
TRIP10	HTT
MEF2D	YWHAQ
TCF3	ID3
IGF1R	IRS1
YWHAE	IGF1R
PTK2	IRS1
MAPK8	IRS1
INSR	IRS1
IL1A	NDN
JAK2	PRMT5
JAK2	SOCS1
KRT18	DNAJB6
LMNA	LMNB1
LMNA	SREBF1
LMNA	NARF
MLLT4	BCR
BNIPL	BCL2
BNIP2	BCL2
SMN1	BCL2
TP53BP2	BCL2
RTN4	BCL2
BCL2	BECN1
NFKB1	LYL1
SKAP1	PTPRC
ALOX5	COTL1
VAV1	XRCC6
NCF4	XRCC6
XRCC5	XRCC6
MRE11A	XRCC6
CBX5	XRCC6
PIAS4	LEF1
MITF	LEF1
YBX1	SRSF9
ATF7IP	MBD1
CHAF1A	MBD1
MITF	PIAS3
MITF	PATZ1
MITF	UBE2I
ANP32A	MAP1B
MAP1B	ANP32A
MCM7	RB1
MCM7	DBF4
MCM7	CDC7
MCM7	ORC3
KMT2A	PPIE
KMT2A	PPP1R15A
KMT2A	KMT2A
MLLT4	RAP1GAP
MLLT4	PVRL1
MLLT4	PFN1
NEB	MYPN
NGFR	PRKACB
SNCAIP	SNCA
EPB41L1	NUMA1
MAP3K8	NFKB1
RELA	PIAS3
RELA	RNF25
RELA	PPP1R13L
HNRNPA1	FEN1
NOP2	MCRS1
ETS1	DAXX
PLXNA1	AKT1
AKT2	APPL1
ETS2	CDK10
SHANK2	CTTN
CTTN	WIPF1
CSF1R	SOCS1
SNW1	SKI
GLMN	MET
KDM5B	FOXG1
VAV1	EZH2
REL	PPP4C
OPRD1	GPRASP1
MYO1C	CBL
RAP1GDS1	RHOA
PAX5	TLE4
KDM5B	PAX9
PIK3R3	PIK3CA
SNX17	SELP
PKD1	PKD2
PKD2	PKD2
PKD2	TRPC1
KCNA4	DLG1
HUS1	PCNA
PTPRB	MAGI3
PRKAR1A	PRKAR1B
PRKAR1B	AKAP1
FER	TMF1
MAPK1	NEK2
HABP4	GNB2L1
NSMAF	GNB2L1
AR	GNB2L1
ITGB2	GNB2L1
GNB2L1	HABP4
PDPK1	PRKCZ
WWC1	PRKCZ
EP300	MAF
CD2AP	RAB4A
RABEP1	RAB5A
RIN3	RAB5B
PDE6D	RAP1A
RAP1GDS1	RAP1A
RGL2	RAP1B
BRCA2	RAD51
RAD51	RAD51AP1
DMC1	RAD51
HBP1	RB1
RB1	TRAP1
AATF	RB1
RB1	THOC1
RXRA	BRD8
ANK1	RHAG
LMO2	KDM5A
TAL1	LMO2
RPLP1	RPLP2
CYTH1	ARFRP1
SNRPA	SNRPA
ANK1	OBSCN
SOX9	NR5A1
NR5A1	NRIP1
NR5A1	NRIP1
CLU	CLU
CLU	TGFBR2
UNC13B	STX1A
CD27	SIVA1
FKBP1A	TGFBR1
