Official Symbol Interactor A	Official Symbol Interactor B
CLNS1A	ITGA2B
AATF	MAPT
ATF4	POLR2C
PLAU	SERPINE2
ID1	CASK
BCL2	BIK
BCL2	HRK
BCL2	BID
BCL2	PMAIP1
BCL2L1	BIK
BCL2L1	BID
BCL2L1	PMAIP1
BCL2L2	BAD
BCL2L2	BID
MCL1	BMF
MCL1	BAD
MCL1	BIK
MCL1	BID
BCL2A1	BAD
BCL2A1	BIK
MAFA	PDX1
MAFA	NEUROD1
C9orf89	BCL10
AKIP1	PRKACA
DNMT3A	MYC
MYC	DNMT3A
PML	TDG
SGSM3	NF2
LIN9	RB1
NELFB	JUN
NELFB	FOS
NUTF2	RAN
CCK	CCKBR
VPS37C	VPS28
VPS37C	TSG101
PPID	HSP90AB1
RP9	U2AF1
NCK1	MINK1
MED28	GRB2
ZBTB16	HDAC1
ZBTB16	HDAC3
ZBTB16	HDAC4
ZBTB16	HDAC5
ZBTB16	HDAC6
MBD3L1	MBD2
MBD3L1	MBD3
SIK2	CRTC2
SART3	LSM7
SART3	PRPF3
SART3	PRPF4
NCL	TERT
URI1	DMAP1
GADD45A	GADD45A
BLM	TOP3A
ASH2L	ASH2L
ASH2L	MEN1
ASH2L	RBBP5
ASH2L	WDR5
ASH2L	HCFC1
ASH2L	HCFC2
ASH2L	KMT2C
CDKN2A	CDK4
CDKN2A	CDK6
APC	CTNNB1
BRCA1	BRIP1
CTNNB1	PIK3R1
BRCA1	BARD1
BRCA1	MSH2
BRCA2	HMG20B
JAK1	STAT3
BRCA1	MSH6
MCL1	BAK1
TP53	BAK1
AKT1	AR
C11orf30	BRCA2
GSK3B	AXIN1
AXIN1	GSK3B
TRIP10	STAT3
CTNNB1	AXIN1
AXIN1	CTNNB1
CTBP1	PNN
NCOA1	FOS
NCOA1	JUN
NCOA1	JUN
NCOA1	NFKB1
NCOA6	THRB
NCOA6	CREBBP
NCOA6	ESR1
NCOA6	NR3C1
NCOA6	RARA
NCOA6	THRA
ATM	BRCA1
ATM	RBBP8
ATM	FANCD2
ATM	SMC1A
ATM	TP53
ATR	BRCA1
NCOA6	CREBBP
BRCA1	BARD1
BRCA1	H2AFX
BARD1	UBE2D1
BRCA1	UBE2D1
BARD1	BRCA1
BRCA1	BARD1
MCL1	BAK1
BCL2L1	BAK1
CTNNB1	AR
CSNK2B	BRCA1
BRCA1	UBE2D1
APC	TUBA4A
BRCA1	NMI
MYC	NMI
BLM	FEN1
AURKA	BRCA1
BRCA1	BRCA1
BRCA1	MSH3
BRCA1	NCOA2
BRCA1	NCOA3
BRCA1	RBBP8
BRCA1	TUBG1
BRCA1	FHL2
BRCA1	FHL2
BRCA1	ELK4
JUNB	BRCA1
JUND	BRCA1
BRCA1	JUN
CREBBP	BRCA1
EP300	BRCA1
BRCA1	RAD51
BRCA1	BRIP1
ATM	TP53
ATR	TP53
BRCA1	RBBP8
BLM	MLH1
BLM	MLH1
TOP3A	BLM
BRCA1	BARD1
BRCA1	UBE2D1
CDK1	FANCG
BCR	ERCC3
AR	CDK7
CHEK1	CDC25A
CHEK1	CSNK2A1
BRCA1	MRE11A
BCL3	NFKB1
NFKB1	NFKB1
GADD45G	PCNA
AR	AR
CTBP1	IKZF1
BLM	CHAF1A
MCL1	BAK1
MCL1	BID
BLM	TP53
NCOA6	NR1H2
BRCA1	RBBP8
CTBP1	RBBP8
DAXX	AR
MUC1	CTNNB1
AR	STAT3
ATM	TP53
PTK2B	TGFB1I1
GADD45A	CDK1
BRCA2	RAD51
NCOA4	AR
BRCA1	BARD1
BRCA2	BARD1
RBM39	ESR2
RBM39	ESR1
BRCA1	ESR1
BARD1	EWSR1
BARD1	EWSR1
SRC	BCAR1
BRCA1	BRCA1
BCL2L1	BAD
ABL1	BCR
GADD45A	PCNA
BRCA1	NCOA2
GSK3B	AR
GSK3B	MUC1
MDC1	H2AFX
CHEK2	BRCA1
C11orf30	CBX1
GSN	AR
LYN	MUC1
NCOA6	HIST2H3C
ASH2L	HIST3H3
BARD1	BRCA1
BARD1	CSTF1
MAD2L2	CDC20
BCAR1	SRC
CAV1	AR
BRCA1	BRIP1
BRCA1	BRIP1
BRCA1	RB1
BRCA1	RBL1
BRCA1	RBL2
BARD1	CSTF1
CDK1	GADD45A
GADD45A	CDKN1A
MAD2L1	MAD1L1
NBN	H2AFX
BAG1	AR
BRCA1	ATF1
TP53	TP53BP1
BRCA2	BCCIP
ABL1	ABL1
NCOA6	RXRA
MDM2	TP53
MUC1	CTNNB1
AR	NCOR2
CCND1	AR
AR	FOXO1
MDC1	MDM2
MDC1	POLR2A
BRCA2	KAT2B
RAD51D	BLM
BLM	XRCC2
BRCA2	SMAD3
NRIP1	CTBP1
NRIP1	CTBP2
YWHAZ	RAF1
BRCA1	BARD1
C11orf30	ZMYND11
BRCA1	RAD50
MYC	MAPK1
BRCA1	UBE2L3
GADD45A	PCNA
BARD1	BRCA1
GADD45A	PCNA
BRCA2	RPA1
RBBP8	RBBP8
NUFIP1	CCNT1
CCNT1	CDK9
TP53	TP53
BCAR1	CRKL
BRCA1	TP53
TP53	RPA1
ABL1	PIK3R1
CBL	PDGFRA
BRCA1	BRIP1
MARK3	RASGRF1
EGFR	CTNNB1
EGFR	CTNND1
EGFR	JUP
PLK1	BRCA2
MUC1	CTNNB1
SHC1	PIK3R1
XIAP	DIABLO
PAXIP1	TP53BP1
BRCA2	BUB1B
BRCA2	RAD51
RAD51D	XRCC2
RAD51D	XRCC2
BLM	ATM
BRCA1	RBBP7
BRCA1	RBBP7
BRCA1	RPL31
BRCA1	RPL31
BRCA1	NELFB
TP53BP1	H2AFX
BCL2L1	BAX
BCL2L1	BCL2
MDM2	CTBP1
BLM	RAD51
BLM	RPA1
BRCA1	BARD1
DCC	AR
BCL2L1	BAK1
BCL2L1	BCL2L11
BCL2L1	HRK
BRCA1	BARD1
CRKL	PXN
BAX	VDAC1
BCL2L1	VDAC1
SMARCA4	BRCA1
CTNNB1	TCF4
AR	CTNNB1
BCR	CRKL
FANCC	FANCA
BRCA2	RAD51
BRCA2	FLNA
BRCA1	TP53
CHEK1	XIAP
PTEN	AR
DYNLL1	TP53BP1
CTNNB1	APC
AXIN1	APC
APC	AXIN1
RB1	AR
BCL2L1	BAK1
HDAC1	CTBP1
HDAC9	CTBP1
BRCA1	AR
NCOA6	RXRA
SMAD3	AR
BRCA1	RELA
BLM	TERF2
TERF2	WRN
BLM	WRN
ATR	ABL1
ATM	ATM
ATR	ATM
PRKDC	ATM
ATM	BRCA1
ATR	BRCA1
ATM	CHEK1
ATR	CHEK1
PRKDC	CHEK1
ATM	EIF4EBP1
PRKDC	LIG4
ATM	MRE11A
ATM	NBN
ATR	NBN
ATM	RAD17
ATR	RAD17
ATM	RBBP8
ATR	RPA1
ATM	TP53
ATR	TP53
PRKDC	TP53
ATR	WRN
PRKDC	WRN
BCR	GRB2
ETV6	GRB2
AR	TGFB1I1
BID	BCL2
BRCA1	AKT1
ABL1	ABL2
ATM	BRCA1
ATM	BRCA1
CDK2	BRCA1
ABL1	RAD51
ATM	TP53BP1
NELFB	ESR1
TP53	TFAP2A
TFAP2A	APC
APC	APC
APC	APC
XPO1	APC
DLG3	APC
JUP	APC
CALM1	AR
CTNNB1	AR
FOXA1	AR
NCOR2	AR
ATF2	NCOA6
E2F1	NCOA6
RB1	NCOA6
GADD45B	MAP3K5
BARD1	BARD1
BRCA1	BARD1
APC	CTNNB1
RAD51D	BLM
LMO4	BRCA1
MAPRE2	APC
AR	CREBBP
MAD2L1	CDC20
GADD45G	CDKN1A
APC	CSNK2A1
GADD45A	GADD45GIP1
GADD45B	GADD45GIP1
GADD45G	GADD45GIP1
ABL1	CRKL
POLR2A	CTDP1
SIAH1	RBBP8
CHEK1	PRKDC
APC	MAPRE2
JUP	CDH1
MEN1	FANCD2
FANCA	FANCG
FANCA	FANCG
FANCA	FANCG
WRN	FEN1
POLR2A	GTF2B
GTF2E1	GTF2B
GTF2F1	GTF2B
KMT2C	HIST2H3C
NRIP1	HDAC5
CTBP2	MDM2
RBM39	JUN
APC	KIFAP3
AR	MAGEA11
GADD45B	MAP2K7
BLM	MLH1
BRCA1	MSH3
BARD1	MSH6
AR	NCOR1
NELFE	NELFA
NELFA	NELFB
NELFCD	NELFB
NELFE	NELFB
NELFA	NELFCD
NELFE	NELFCD
NELFA	NELFE
BRCA1	NUFIP1
MDM2	TP73
CTBP1	KAT2B
BRCA1	RAD51
DHX9	RELA
NELFA	POLR2A
BLM	RPA1
AR	SMAD3
NCOA6	SRC
GTF2B	TBP
POLR2A	TBP
BTAF1	TBP
GTF2E1	TBP
GTF2F1	TBP
GTF2H4	TBP
CTNNB1	HNF4A
GTF2B	TAF11
POLR2A	TAF11
GTF2E1	TAF11
GTF2F1	TAF11
POLR2A	GTF2E1
GTF2F1	GTF2E1
POLR2A	GTF2F1
GTF2B	GTF2H4
POLR2A	GTF2H4
GTF2E1	GTF2H4
