source	target
853353	856831
851776	850806
219333	91833
3320	2099
854252	853455
4214	5594
9817	10072
852819	851579
57617	27072
11350	12402
853397	854034
29116	3949
2960	2961
23133	8350
851415	856317
29945	10393
853585	856027
2543010	2540557
1956	54206
123169	54623
856422	851140
8766	10133
9040	54165
5886	4287
851255	856870
17127	17128
854977	855159
5515	51400
8450	1643
851415	852747
856862	851757
51343	6502
851678	852569
23097	9440
853252	856236
8878	7316
852549	850883
851203	852892
2494	8431
851696	852611
10735	9126
5048	1778
3178	51663
855463	851161
8945	5970
672	7322
853956	856012
853942	854282
854067	1466431
25844	84272
854791	854157
851424	851624
10818	5781
851339	851217
853148	854161
3661	2033
850760	854345
1956	1445
856267	853029
6195	5594
855828	856065
7428	2034
853503	850530
648	1912
854472	853392
2353	3726
852536	854748
855906	851653
855514	855897
8932	3066
7128	7189
855520	854999
54764	7316
55823	57617
11091	5929
851520	855700
6733	6733
855974	850409
851967	856742
852465	855500
2542200	2541652
855399	851255
7337	7337
814786	825648
998	84612
96764	23054
5631	5635
6478	6622
2099	3312
856518	854937
2678	2678
850767	850713
3837	5902
851928	853226
851332	856311
817553	818982
855144	854085
853098	851415
1024	5469
854940	851475
4281	11043
6647	9973
331	27429
4170	637
11059	2066
853178	854972
54602	4734
4722	4698
84333	6015
850840	851482
852109	852732
855180	856716
5708	134510
852497	851745
856303	856303
5743	7157
855981	851652
23621	26088
852492	856743
10987	64708
850554	856223
851379	853397
854249	856847
4056	4056
856422	856607
8312	2932
5071	55669
855489	853109
853340	855751
5683	5693
852549	856267
11336	60412
3783709	7874
5902	5901
10036	5111
5970	8651
856731	852834
9564	1398
853072	853876
890	5925
84246	400569
855499	853871
852059	853167
856889	853318
7337	7332
1956	9146
852399	853900
55143	3619
998	396
856267	853048
850863	856168
9817	8452
3320	2064
66894	20588
853896	851797
867	7316
123169	9646
55208	8453
853974	851452
57459	8932
853264	856360
856297	850760
4214	387
821016	827481
5594	2002
85403	22936
856709	852592
856382	850930
26994	11059
51107	23385
856481	854162
23097	112950
581	596
23291	7465
856654	850638
4690	5058
7428	9978
7088	7088
854017	856499
852499	852618
5518	5525
854150	852096
8945	4089
5925	367
852060	851125
1956	868
851745	852497
856208	851415
1499	4297
853192	854680
853728	851204
851142	851585
4722	374291
5682	5684
853450	853718
854778	855898
8454	6500
851533	854700
854898	855258
6598	6599
155871	5430
672	7283
23624	1956
850793	856130
850554	854328
51147	51147
5682	5698
9611	6907
1848	5595
378708	201254
10524	6944
852688	856689
112858	84520
855751	853298
4089	6498
8648	8856
853546	851967
852624	851842
855613	855730
851151	851406
6240	6241
5704	5700
856604	850435
9611	7421
150368	4952
852665	854933
856404	851521
855514	854221
11186	6788
6597	8289
850422	850919
854106	852860
8451	79016
856731	855362
854518	854519
8379	4085
3725	5599
22841	8766
856603	853335
850744	851723
851255	856222
855907	850995
55593	7157
851568	854283
856738	854085
852549	852060
855357	852371
51138	10980
79184	9577
850346	855583
7343	5925
943	7185
855492	856763
5584	84612
854273	852660
855828	854954
856594	851100
7704	25942
818581	843928
855132	855328
5516	29966
151987	55671
3190	10657
852059	851745
7013	8658
10614	125050
850520	855616
851217	852685
854119	854544
852814	853167
852814	854017
856418	856318
8408	9776
853266	851266
23054	7067
856315	851142
8314	171023
850760	855744
3065	23309
3398	6929
852766	852814
8451	8450
851744	856726
3638	267
10133	79735
96459	201163
11315	11315
856862	852290
3064	23390
850819	851424
10213	5706
9140	9474
856731	853036
854273	852230
9958	9733
851847	854843
7316	5071
855737	854283
64798	8945
852766	850744
856891	853161
4287	10273
4999	5001
25942	3065
2540845	2541599
1785	51429
853774	853774
85403	8178
851163	851520
853956	853674
852373	853167
854150	852283
3065	25855
855386	855964
672	10111
5371	3065
84108	6015
852373	855263
3014	4683
6502	1869
854424	851814
6595	25942
852013	852451
1432	8569
854353	850504
8837	843
855998	850636
852814	855276
856536	851431
3678	3688
6667	5970
851928	851928
852433	852110
851648	851567
5500	63898
55257	10933
10413	154796
854138	852987
854657	851957
3065	5931
856387	853667
6714	4193
9444	23543
1398	5295
9126	23244
55294	4609
851934	853364
2542757	2542757
55611	7316
850580	854353
84959	867
851962	856499
854827	855144
852373	851723
6726	6727
8517	59343
856435	852903
851532	852536
65082	57617
27258	57819
7186	9641
10477	64320
4055	7187
850962	850962
51160	137492
80700	79058
10075	10075
851831	850888
851723	851756
853133	855005
240	23406
852665	854102
852440	851752
5518	28227
839568	839568
854717	853458
856486	850981
852982	854776
852996	851903
855449	852618
377630	6615
8450	10987
890	6502
23741	5925
22318	20907
850818	851696
853377	853377
855463	852732
855116	850598
852028	852385
29945	8881
1058	4869
851461	856742
853871	853555
84661	84661
850419	850598
852088	856866
3054	8473
81847	142
2885	868
851112	854273
854937	850656
20907	20614
7874	29128
5713	5708
855237	853638
6923	6921
851756	852766
1161	2074
850623	852025
852779	856575
852757	853197
853376	852982
856863	856012
5684	5685
4735	989
3091	54583
10362	3066
850980	852501
854290	852607
8841	79718
4012	80351
850554	856830
855477	855357
8237	7874
850328	856736
2539164	2540784
25885	5434
57154	57154
853509	852025
1460	1459
4171	4174
7341	1616
331	54739
852582	854290
854405	853091
851984	853318
30827	23067
83737	29993
853499	853808
851041	854475
2146	23512
851903	856297
855583	854940
856891	856096
9694	284361
29945	29882
5894	3320
5586	26405
855661	851259
851263	851048
8945	9693
2885	5781
854158	855097
852294	850638
1432	7867
855399	853806
854034	851379
850995	854550
4089	4092
7186	7133
10273	7189
851000	852612
8660	5295
2203	2203
580	5932
852939	852468
853155	855245
823964	824408
9146	8027
1173	22848
5599	4214
4215	7189
851159	853318
855263	851723
852995	855335
5111	1786
2542749	2543580
25942	8819
3836	3837
856425	856847
4298	1025
852765	850793
851437	854347
80254	64770
5001	4999
853638	850713
856831	854976
850585	852453
856011	854428
32977	40388
854504	852406
60401	7187
83737	7332
5894	6788
219333	57599
4088	8850
853364	854418
25842	7290
84246	5469
854138	856466
1956	1499
850744	852373
851415	855470
3783746	9532
27185	81565
854387	851680
851503	855743
856746	853463
