source target sign
5886 4287 -
851671 855203 +
5335 1915 -
5335 238 +
5335 27040 -
5335 4914 +
853758 853758 -
856909 856674 +
9862 5469 -
93343 23607 +
850325 851076 +
850325 850325 -
4209 5598 +
25793 5683 +
25793 8454 +
25793 6500 -
25793 9491 -
8239 83737 -
51371 5693 +
851641 850712 -
5337 387 +
4170 637 -
4170 5366 +
4170 581 -
4170 578 -
4170 8239 -
856297 851903 -
855468 854940 -
852500 854979 +
4779 23764 +
7874 1616 -
7874 1786 +
7874 648 +
7874 7324 +
7874 8833 -
7874 10389 -
7874 8237 +
7874 2703390 +
998 5062 +
998 5058 -
998 7454 +
998 10188 +
998 392 +
855730 855730 +
855730 855613 +
855730 852995 +
855730 853956 +
855730 856012 -
853712 852880 +
853712 852834 -
853712 856731 +
853712 850613 -
853712 851557 +
853712 854735 -
853712 852003 +
898 1027 +
898 8452 +
898 55294 -
898 5925 -
468 8945 +
11059 23111 +
11059 7332 +
4088 2033 -
4088 8850 +
4088 4088 -
4088 23327 -
4088 54778 +
4088 55914 -
4088 367 +
4088 4087 -
4088 6498 -
4088 6497 -
4088 9372 -
4088 23592 +
11144 5888 +
851696 852611 +
851696 850792 -
851696 856571 -
851696 853846 -
851696 852194 -
853433 855136 -
853433 854353 -
855664 856723 +
855664 853956 -
5725 5725 +
51185 9978 +
851964 852421 +
27185 10989 -
27185 81565 +
851827 856486 -
851115 852294 -
851115 851488 +
851115 851934 +
120892 120892 -
851024 850358 +
851024 853539 -
851024 856507 -
4085 9184 -
4085 8379 -
4085 9587 +
4085 10537 +
4085 996 -
4085 4085 -
4085 29945 +
856449 852995 +
856449 853956 -
856449 855613 +
851752 850633 -
851752 851259 -
851752 851752 -
7486 7520 +
7486 5893 -
854677 855561 +
28227 5518 -
855907 854550 -
855907 853355 -
855907 850995 -
855907 854667 +
55208 8450 -
8826 5879 +
8826 998 -
853327 855950 -
853327 852295 -
853327 854203 +
853327 855701 -
613 2885 -
613 1173 +
613 1399 +
6882 6908 +
855101 856303 -
56616 331 -
56616 57448 +
56616 330 +
56616 79444 -
10482 23636 -
10482 4928 -
86 4609 +
86 6595 -
850613 856607 +
850613 850554 +
850613 851408 -
850613 851461 +
850613 856223 -
850613 856422 -
852453 853551 +
852453 850585 -
852453 855892 +
5518 55844 +
5518 5527 +
5518 29966 -
5518 5528 +
5518 5515 -
5518 5516 +
5518 5520 +
5518 8500 -
5518 5522 -
6602 6601 +
6602 57492 +
6602 5977 +
6602 6598 +
6602 6595 -
850894 856815 -
850894 854487 -
850894 851548 -
850894 850872 -
8900 6502 +
9987 3178 -
29924 9185 -
29924 2060 +
6788 11186 +
6788 83593 -
6788 5894 -
57223 151987 +
57223 5531 -
856134 855964 -
856134 850520 +
856134 855097 +
6774 2033 +
6774 10401 -
6774 6774 +
129685 9913 -
129685 6878 -
2067 2072 -
2067 85015 -
5695 51371 -
5695 5694 -
5695 5686 -
5695 5682 +
5695 5698 +
4110 367 +
55743 55743 -
9001 9001 +
9001 3064 +
6622 5071 -
6622 6622 -
6622 9627 +
6622 6477 -
6622 4137 +
6622 351 -
851924 854487 -
851924 853029 +
851924 856267 +
852810 852013 -
852810 853301 -
26574 5925 +
852230 850782 -
852230 855237 +
852230 850713 +
852397 851259 +
8883 9039 -
5692 5691 +
5692 5695 -
5692 5683 +
5692 5682 -
5692 5693 -
79139 55829 +
26523 57690 -
16706 5604 +
3619 9212 -
3619 55143 -
854290 854020 -
854290 852607 +
854290 851136 -
853373 856130 +
853373 852100 -
51586 1024 -
51586 6720 -
51586 219541 +
50813 9318 +
50813 2873 -
50813 51138 -
850808 851318 -
850808 855253 -
850808 850623 -
852091 852265 +
852091 852931 -
960 6714 -
855077 853513 +
850683 850803 +
6201 4193 -
851895 851255 +
851895 853871 +
851895 853806 +
851895 855399 -
851895 856870 -
5610 8575 -
5610 6895 +
5610 5610 -
5610 3609 +
852640 855648 -
855911 855925 -
1022 1022 +
1022 2068 +
1022 2965 -
1022 2071 +
1022 1017 +
1022 5430 -
3783746 3308 +
3783746 9532 -
1460 1457 +
1460 1460 +
1460 6125 +
1460 1459 +
852234 855520 -
856844 855066 -
855335 855269 +
855335 853956 -
855335 856723 -
855335 856449 +
855335 852439 -
855335 856463 -
9125 23019 -
10009 1500 -
79728 672 +
79728 10933 -
79728 9643 +
2494 8431 -
5829 2185 +
5829 5747 -
5829 5782 +
3315 207 +
3315 1410 +
3315 8550 +
850796 853160 -
850796 850435 +
855861 852881 -
5289 22863 +
856435 852424 -
856435 856659 +
856435 854509 -
856435 856148 -
855897 856843 -
51719 6794 +
5080 367 +
4097 4780 -
9318 10920 +
9318 8533 +
