Official Symbol Interactor A	Official Symbol Interactor B
Baz2a	Smarca5
Tead2	Yap1
Shc1	Inpp5d
Stx7	Stx6
Stx7	Vamp8
Ezh2	Suz12
Ezh2	Rbbp4
Ezh2	Mtf2
Ezh2	Jarid2
Ezh2	Aebp2
Eed	Jarid2
Eed	Suz12
Eed	Ezh2
Eed	Aebp2
Jarid2	Suz12
Jarid2	Ezh2
Jarid2	Aebp2
Jarid2	Eed
Prmt1	Chtop
Zfpm1	Gata1
Zfpm1	Ctbp1
Zfpm1	Ctbp2
Zfpm1	Kdm1a
Zfpm1	Mta2
Pou5f1	Esrrb
Pou5f1	Chd4
Pou5f1	Mta1
Pou5f1	Gatad2a
Pou5f1	Mta2
Pou5f1	Gatad2b
Pou5f1	Hdac1
Pou5f1	Mbd3
Pou5f1	Mta3
Pou5f1	Hdac2
Pou5f1	Rbbp7
Pou5f1	Smarcc1
Pou5f1	Smarca4
Pou5f1	Rnf2
Pou5f1	Rybp
Pou5f1	Kdm1a
Pou5f1	Zmym2
Pou5f1	Rcor2
Pou5f1	Sall4
Pou5f1	Sall1
Pou5f1	Zfp219
Pou5f1	Arid3b
Pou5f1	Wdr5
Pou5f1	Sox2
Pou5f1	Nacc1
Pou5f1	Hcfc1
Pou5f1	Hells
Pou5f1	Dpf2
Pou5f1	Esrrb
Pou5f1	Ctbp2
Pou5f1	Nr0b1
Pou5f1	Zfp143
Pou5f1	Rif1
Pou5f1	L1td1
Pou5f1	Akap8
Pou5f1	Msh2
Pou5f1	Ogt
Pou5f1	Frg1
Sall4	Mta2
Sall4	Sall1
Sall4	Nacc1
Sall4	Pou5f1
Sall4	Zfp143
Sall4	Esrrb
Nr0b1	Sall4
Nr0b1	Esrrb
Nr0b1	Sall1
Nr0b1	Wdr5
Nr0b1	Pou5f1
Nr0b1	Rif1
Tfcp2l1	Mta2
Tfcp2l1	Sall4
Tfcp2l1	Tfcp2
Tfcp2l1	Esrrb
Esrrb	Ep400
Esrrb	Mta2
Esrrb	Med1
Esrrb	Sall4
Esrrb	Nr0b1
Esrrb	Tfcp2l1
Esrrb	L3mbtl2
Esrrb	Pou5f1
Nanog	Sall1
Nanog	Sall4
Nanog	Rif1
Nanog	Trim28
Nanog	Nr0b1
Nanog	Nacc1
Nanog	Zfp281
Nanog	Esrrb
Nanog	Pou5f1
Nanog	Zmym2
Nanog	Hdac2
Nanog	Wapal
Nr0b1	Esrrb
Nr0b1	Sall4
Nr0b1	Rif1
Nacc1	Pou5f1
Nacc1	Sall4
Pou5f1	Rybp
Pou5f1	Zfp219
Pou5f1	Arid3b
Pou5f1	Hdac2
Pou5f1	Gatad2b
Pou5f1	Sp1
Pou5f1	Dpf2
Eed	Ezh2
Eed	Suz12
Eed	Aebp2
Eed	Jarid2
Eed	Mtf2
Ezh1	Suz12
Ezh1	Jarid2
Ezh1	Mtf2
Ezh2	Eed
Ezh2	Suz12
Ezh2	Rbbp4
Ezh2	Aebp2
Ezh2	Jarid2
Ezh2	Mtf2
Jarid2	Ezh1
Jarid2	Ezh2
Jarid2	Eed
Jarid2	Suz12
Jarid2	Aebp2
Jarid2	Mtf2
Mtf2	Ezh1
Mtf2	Ezh2
Mtf2	Eed
Mtf2	Suz12
Pou5f1	Actl6a
Pou5f1	Kdm1a
Pou5f1	Arid3b
Pou5f1	Chd4
Pou5f1	Ctbp2
Pou5f1	Cul4b
Pou5f1	Dnaja1
Pou5f1	Gatad2a
Pou5f1	Gatad2b
Pou5f1	Hcfc1
Pou5f1	Hdac1
Pou5f1	Hells
Pou5f1	Hnrnpl
Pou5f1	Hnrnpu
Pou5f1	Matr3
Pou5f1	Mbd3
Pou5f1	Msh6
Pou5f1	Mta1
Pou5f1	Mta2
Pou5f1	Mta3
Pou5f1	Kat7
Pou5f1	Ogt
Pou5f1	P4ha1
Pou5f1	Parp1
Pou5f1	Pou5f1
Pou5f1	Rcor2
Pou5f1	Rpa1
Pou5f1	Sall1
Pou5f1	Sall4
Pou5f1	Smarca4
Pou5f1	Smarca5
Pou5f1	Smarcc1
Pou5f1	Sp1
Pou5f1	Ssrp1
Pou5f1	Supt16
Pou5f1	Zfp219
Nanog	Esrrb
Nanog	Gatad2a
Nanog	Gatad2b
Nanog	Hdac1
Nanog	Hdac2
Nanog	Trim28
Nanog	Kdm1a
Nanog	Mta1
Nanog	Mta2
Nanog	Pou5f1
Nanog	Pml
Nanog	Rif1
Nanog	Sall4
Nanog	Sin3a
Smarca2	Smarcd1
Smarca2	Arid1b
Smarca4	Smarcb1
Smarca4	Smarce1
Smarca4	Smarcc1
Smarca4	Smarcc2
Smarca4	Arid1b
Smarca4	Arid1a
Sox2	Xpo4
Crem	Hira
Set	Hnrnpa2b1
Il1r1	Il1rap
Il1r1	Myd88
Il1r1	Irak4
Myd88	Lrrfip1
Myd88	Irak1
Cebpb	Med1
Isg15	Ldha
Isg15	Eno1
Isg15	Gpi1
Isg15	Acly
Isg15	Actb
Isg15	Myh9
Traf6	Actn4
Traf6	Actn1
Traf6	Wdr24
Traf6	Eef2
Traf6	Hsp90ab1
Traf6	Hsp90aa1
Traf6	Hspa5
Traf6	Hspa9
Traf6	Atp6v1a
Traf6	Hspa8
Traf6	Hspa2
Traf6	Pkm
Traf6	Atp5b
Traf6	Eef1a1
Traf6	Actr3
Traf6	Eno1
Traf6	Actb
Traf6	Aldoa
Traf6	Lgals3
Set	Hnrnpa2b1
Set	Cct2
Set	Pygm
Set	Eif2s1
Set	Csnk2a1
Rnf2	Ring1
Rnf2	Cbx7
Rnf2	Rbbp5
Rnf2	Hdac2
Rnf2	Skp1a
Rnf2	Cbx3
Rnf2	Wdr5
Rnf2	Pcgf2
Rnf2	Pcgf6
Rnf2	Yaf2
Rnf2	Kdm1a
Rnf2	L3mbtl2
Rnf2	Scmh1
Rnf2	Pcgf1
Rnf2	Bmi1
Rnf2	Phc1
Rnf2	Phc2
Rnf2	Cbx8
Rnf2	Mga
Rnf2	Rnf2
Rnf2	Kdm2b
Rnf2	Bcor
Kdm2b	Bcor
Kdm2b	Rnf2
Kdm2b	Csnk2a1
Kdm2b	Cbx3
Kdm2b	Skp1a
Kdm2b	Cbx8
Kdm2b	Pcgf1
Kdm2b	Ring1
Kdm2b	Bmi1
Kdm2b	Yaf2
Kdm2b	Ctbp1
Lmna	Sun2
Lmna	Sun1
Fancc	Gstp1
Leo1	Paf1
AF366264	Trp53
AF366264	Mdm2
Park2	Sh3gl2
Park2	Sh3gl3
Pfn2	Dnm1
Ikbkg	Rnf31
Ikbkg	Rbck1
Ikbkg	Hspa1b
Gli1	Sufu
Gli1	Smarcb1
Dmrt2	Hnrnpd
Dmrt2	Hnrnpm
Ywhae	Ctnnd1
Ywhae	Usp8
Tex19.1	Ubr2
Ccnd1	Cryab
Ccnd1	Cdk4
Ccnd1	Cdkn1a
Spi1	Sin3a
Spi1	Hdac2
Mecp2	Prmt6
Apoe	Set
Ctcf	Ubtf
Ctcf	Polr1a
Rlim	Zfp42
Zfand2a	Psmd1
Zfand2a	Psmd2
Zfand2a	Psmd7
Rnf2	Phc1
Rnf2	Phc2
Rnf2	Pcgf6
Rnf2	Ring1
Rnf2	Rnf2
Rnf2	Rybp
Rnf2	Bcor
Rnf2	Kdm2b
Rnf2	Hdac2
Rnf2	Mga
Rnf2	L3mbtl2
Rnf2	Dmap1
Rnf2	Rbbp5
Rnf2	Wdr5
Rnf2	Kdm1a
Rnf2	Csnk2a1
Suz12	Ezh2
Suz12	Eed
Suz12	Ezh1
Suz12	Phf19
Suz12	Mtf2
Suz12	Jarid2
Suz12	E130012A19Rik
Tcf3	Ube2i
Tcf3	Id3
Runx1	Cbfb
Runx1	Sin3a
Pcgf2	Rnf2
Pcgf2	Rybp
Pcgf2	Cbx7
Rybp	Ring1
Rybp	Rnf2
Rybp	Pcgf1
Rybp	Pcgf2
Cbx7	Pcgf2
Cbx7	Rnf2
Vezf1	Morf4l1
Pou5f1	Pou5f1
Pou5f1	Actl6a
Pou5f1	Akap8
Pou5f1	Arid3b
Pou5f1	Ash2l
Pou5f1	Chd4
Pou5f1	Ctbp2
Pou5f1	Ctnnb1
Pou5f1	Cul4b
Pou5f1	Dnaja1
Pou5f1	Dpf2
Pou5f1	Esrrb
Pou5f1	Frg1
Pou5f1	Gatad2a
Pou5f1	Gatad2b
Pou5f1	Hcfc1
Pou5f1	Hdac1
Pou5f1	Hells
Pou5f1	Hnrnpl
Pou5f1	Hnrnpu
Pou5f1	Kdm1a
Pou5f1	Kif11
Pou5f1	L1td1
Pou5f1	Matr3
Pou5f1	Mbd3
Pou5f1	Msh2
Pou5f1	Msh6
