Official Symbol Interactor A	Official Symbol Interactor B
Pcna	Rev1
Anapc2	Invs
Tceb1	Socs1
Grb2	Cbl
Pik3r1	Cbl
Grb2	Pik3r1
Clock	Per1
Clock	Per2
Clock	Cry1
Clock	Cry2
Arntl	Clock
Arntl	Per1
Arntl	Per2
Arntl	Cry1
Arntl	Cry2
Per1	Clock
Per1	Cry1
Per2	Clock
Per2	Cry1
Per2	Cry2
Cry1	Clock
Cry1	Per1
Cry1	Per2
Cry2	Clock
Cry2	Per2
Cry2	Per3
Gmcl1	Tsg101
Fgd1	Aoc1
Fgd1	Cttn
Scyl1	Gorab
Gorab	Scyl1
Tuba1a	Hsph1
Hdac1	Rb1
Rb1	Hdac1
Hdac1	Myod1
Smarca4	Arid1b
Arid1b	Smarca4
Myod1	Kat2b
Myod1	Hdac1
Cbl	Lck
Mlf1	Nrbp1
Mlf1	Ywhaz
Ctnnb1	Arhgap32
Arhgap32	Ctnnb1
Arhgap32	Dlg4
Tle4	Six3
Tek	Grb2
Tek	Grb7
Tek	Pik3r1
Fus	Srsf10
Fus	Srsf2
S100a4	Metap2
Sgcb	Sgca
Sgcb	Sgcg
Sgcb	Sgcd
Dag1	Sgcd
Bcl2l1	Bcl2l11
Traf2	Rb1cc1
Raf1	Hras
Pik3r1	Irs1
Tsc1	Tsc2
Pml	Mtor
Pik3r1	Irs2
Pcna	Polb
Ctla4	Ap2m1
Fzd8	Gopc
Fzd5	Gopc
Map2k7	Mapk8ip3
Snca	Tuba3a
Ifrd1	Sin3b
Pax3	Hira
Cd244	Sh2d1b1
Socs1	Trim8
Trim8	Socs1
Ube2l3	Rbck1
Ube2l3	Arih2
Prkce	Src
Ush1c	Cdh23
Ndn	E2f1
E2f1	Ndn
Tal1	Sin3a
Tal1	Hdac1
Sin3a	Hdac1
E2f1	Sp1
Hras	Rin1
Rin1	Ywhae
Abl1	Pxn
Pxn	Abl1
Ctnnbip1	Ctnnb1
Tgfb1i1	Git1
Parp2	Parp2
Mid1	Igbp1
Igbp1	Ppp2ca
Igbp1	Mid1
Stx7	Stx6
Stx7	Vamp8
Asap1	Reps2
Cdkn1a	Cdk4
Cdkn1a	Cdk2
Cdkn1a	Ccnd1
Uhrf1	Eme1
Eme1	Uhrf1
Stat1	Ubc
Npm1	Fbxw7
Tnf	Ripk1
Tnf	Tnfrsf1a
Ripk1	Ubc
Ntrk1	Sqstm1
Sqstm1	Ntrk1
Sqstm1	Trim30a
Mdm2	Rassf1
Mdm2	Trp53
Daxx	Mdm2
Daxx	Trp53
Pten	Ubc
Traf6	Ubc
Traf6	Cyld
Cyld	Sqstm1
Nfe2l2	Keap1
Nfe2l2	Mafk
Dapk3	Ube2d3
Trp53	Mdm2
Keap1	Nfe2l2
Nfe2l2	Ubc
Igf1r	Ubc
Traf6	Ubc
Ncor1	Dzip3
Trp53	Ubc
Pkd2	Ubc
Traf6	Cyld
Cyld	Sqstm1
Ripk1	Ubc
Ripk1	Ikbkg
Cbl	Flt1
Mapt	Hspa8
Trp53	Mdm2
Mdm2	Trp53
Tsc2	Tsc1
Tsc1	Tsc2
Cdk1	Nasp
Cdk1	Hspa2
Nasp	Cdk1
Nasp	Hspa2
Ccnb1	Cdk1
Ubc	Nfe2l2
Keap1	Nfe2l2
Ctnnb1	Tcf7l2
Mecp2	Atrx
Atrx	Mecp2
Atrx	Mecp2
Mecp2	Atrx
Jarid2	Eed
Suz12	Jarid2
Ezh2	Jarid2
Jarid2	Suz12
Jarid2	Ezh2
Suz12	Ezh2
Ncoa1	Ep300
Itsn1	Cbl
Tlr4	Bcl10
Bcl10	Malt1
Map3k7	Bcl10
Traf6	Irak1
Smad3	Smad4
Hdac1	Yy1
Tcerg1	Smn1
Smn1	Tcerg1
Rbpj	Notch1
Chtop	Prmt1
Tal1	Trim27
Crebzf	Esrra
Zfpm1	Gata1
Zfpm1	Mta2
Zfpm1	Kdm1a
Zfpm1	Ctbp1
Zfpm1	Ctbp2
Hnf4a	Nr0b1
Nr0b1	Hnf4a
Hmga1	Rb1
Rb1	Hmga1
Dnmt3l	Dnmt3a
Tcf7l2	Ctnnb1
Esrrb	Pou5f1
Pou5f1	Esrrb
Pou5f1	Mbd3
Pou5f1	Mta2
Pou5f1	Mta1
Pou5f1	Chd4
Mta2	Mbd3
Mta2	Mta1
Mta2	Chd4
Pou5f1	Sall4
Pou5f1	Kdm1a
Mta2	Pou5f1
Esrrb	Tfcp2l1
Esrrb	Ep400
Esrrb	Mta2
Esrrb	Sall4
Esrrb	Nr0b1
Esrrb	Med1
Nr0b1	Sall4
Nr0b1	Sall1
Nr0b1	Pou5f1
Nr0b1	Esrrb
Nr0b1	Wdr5
Tfcp2l1	Esrrb
Tfcp2l1	Mta2
Mta2	Esrrb
Mta2	Sall4
Nacc1	Sall4
Pou5f1	Sall1
Pou5f1	Wdr5
Wdr5	Pou5f1
Sall4	Nr0b1
Sall4	Sall1
Sall4	Tfcp2l1
Sall4	Esrrb
Sall4	Mta2
Sall4	Zfp143
Sall4	Nacc1
Nanog	Rif1
Nanog	Nr0b1
Nanog	Nacc1
Nanog	Zfp281
Nanog	Pou5f1
Rif1	Nanog
Nr0b1	Nanog
Nacc1	Nanog
Zfp281	Nanog
Pou5f1	Nanog
Mtf2	Jarid2
Mtf2	Eed
Mtf2	Ezh2
Jarid2	Mtf2
Jarid2	Eed
Jarid2	Ezh2
Eed	Mtf2
Eed	Jarid2
Eed	Ezh2
Ezh2	Mtf2
Ezh2	Jarid2
Ezh2	Eed
Jarid2	Ezh1
Jarid2	Suz12
Mtf2	Ezh1
Suz12	Jarid2
Pou5f1	Chd4
Pou5f1	Hdac1
Pou5f1	Sall4
Pou5f1	Kat7
Pou5f1	Parp1
Nanog	Sall4
Sall4	Nanog
Hdac2	Nanog
Nanog	Pou5f1
Nanog	Sin3a
Nanog	Pml
Nanog	Hdac2
Nanog	Mta1
Nanog	Mta2
Nanog	Mbd3
Hdac2	Pou5f1
Hdac2	Sin3a
Hdac2	Mta2
Nanog	Kdm1a
Sin3a	Nanog
Gatad2a	Nanog
Kdm1a	Nanog
Hdac1	Nanog
Pou5f1	Hdac2
Nanog	Sox2
Mta1	Nanog
Mta1	Mta2
Mta2	Hdac2
Clock	Arntl
Clock	Per1
Clock	Per2
Clock	Cry1
