Official Symbol Interactor A	Official Symbol Interactor B
Zeb1	Ctbp2
Anapc2	Invs
Zeb1	Ctbp2
Sufu	Lgals3
Lgals3	Sufu
Gmcl1	Tsg101
Fgd1	Cttn
Fgd1	Aoc1
Scyl1	Gorab
Hsph1	Tuba1a
Ikzf1	Chd3
Nsd1	Rxra
Rxra	Nsd1
Raver1	Vcl
Rpgr	Rpgrip1
Mlf1	Nrbp1
Mlf1	Ywhaz
Tsc1	Rdx
Ctnnb1	Arhgap32
Id2	Id2
Inadl	Grin2a
Inadl	Kcnj10
Inadl	Kcnj15
Inadl	Grin2b
Inadl	Grin2c
Inadl	Grin2d
Dlg4	Grin2a
Dlg4	Grin2b
Dlg4	Grin2d
Dlg4	Grin1
Tsnax	Golga3
Tsnax	Tsnaxip1
Tsnax	Sun1
Tsnax	Akap9
Six3	Aes
Tek	Grb2
Tek	Grb7
Tek	Grb14
Tek	Pik3r1
Id3	Myod1
Id3	Id4
Id3	Tcf12
Fus	Srsf10
Fus	Srsf2
S100a4	Metap2
Tsc1	Ezr
Cldn1	Mpdz
Pcna	Polb
Ctla4	Ap2m1
Fzd8	Gopc
Jun	Jun
Fos	Jun
Jun	Hhex
Ifrd1	Sin3b
Hira	Pax3
Hira	Pax7
Hira	H3f3b
Sh2d1b1	Cd244
Socs1	Trim8
Ube2l3	Rnf216
Ube2l3	Arih2
Ube2l3	Rbck1
Hras	Raf1
Hras	Rin1
Ywhae	Rin1
Tgfb1i1	Git1
Zfp128	Smad1
Smad1	Zfp128
Igbp1	Ppp2ca
Igbp1	Mid1
Reps2	Asap1
Traf6	Ecsit
Eme1	Uhrf1
Dapk3	Ube2d3
Ngly1	Amfr
Ppp1r15a	Kif3a
Bmi1	Dmap1
Tal1	Trim27
Nupr1	Ep300
Nupr1	Ddx5
Pparg	Men1
Apc	Ctnnb1
Arntl	Hif1a
Neurog2	Ascl1
Bcl6b	Bcl6
Brca1	Brca2
Brca2	Rad51
Cebpa	Ddit3
Cebpd	Rb1
Crebbp	Spi1
Crebbp	Trp53
Cry1	Timeless
Daxx	Dmap1
Dbp	Tef
Pcbd1	Hnf1a
Dnmt3a	Dnmt3l
Eed	Hdac1
Foxh1	Smad2
Foxh1	Nkx2-5
Gli3	Ski
Hif1a	Vhl
Ikbkg	Tnfaip3
Jun	Mafb
Ldb1	Lmo2
Mxd4	Max
Smad3	Myod1
Mafk	Nfe2l2
Ascl1	Tcf3
Myod1	Tcf3
Nfe2	Ash2l
Nfkb2	Rela
Nfya	Nr5a1
Kat2b	Ep300
Per1	Per1
Pitx2	Kat5
Rara	Nrip1
Rela	Ep300
Sox9	Nr5a1
Stat3	Stat3
Taf1a	Tbp
Taf1b	Tbp
Taf1c	Tbp
Tfcp2	Tfcp2l1
Tcf3	Tcf3
Tcf3	Ascl3
Ubtf	Polr1e
Tef	Tef
Timeless	Timeless
Tle1	Tle1
Trp53	Trp53
Trp53	Trp63
Trp53	Trp73
Jdp2	Jdp2
Tfap2d	Tfap2d
Ctbp2	Klf3
Fhl3	Ctbp2
Ctbp2	Ube2i
Stat6	Parp14
Gata4	Smad3
Gata4	Smad4
Cmtm2a	Ar
Glis2	Ctbp1
Eya1	Sharpin
Erg	Setdb1
Musk	Dvl1
Axin1	Rnf111
Myt1	Sin3b
Ar	Tcf21
Carm1	Mef2c
Carm1	Ncoa2
Tfap2a	Cited2
