Official Symbol Interactor A	Official Symbol Interactor B
Pcna	Rev1
Pcna	Rev1
Trappc3	Trappc1
Trappc3	Trappc1
Zeb1	Ctbp2
Anapc2	Invs
Anapc2	Invs
Tceb1	Socs1
Grb2	Cbl
Pik3r1	Cbl
Zeb1	Ctbp2
Grb2	Pik3r1
Grb2	Pik3r1
Dnajb3	Usp8
Dnajb3	Usp8
Clock	Per1
Clock	Per2
Clock	Cry1
Clock	Cry2
Arntl	Clock
Arntl	Per1
Arntl	Per2
Arntl	Cry1
Arntl	Cry2
Per1	Clock
Per1	Cry1
Per2	Clock
Per2	Cry1
Per2	Cry2
Cry1	Clock
Cry1	Per1
Cry1	Per2
Cry2	Clock
Cry2	Per2
Cry2	Per3
Sufu	Lgals3
Lgals3	Sufu
Sufu	Lgals3
Gmcl1	Tsg101
Gmcl1	Tsg101
Gmcl1	Tsg101
Fgd1	Cttn
Fgd1	Aoc1
Fgd1	Aoc1
Fgd1	Aoc1
Fgd1	Cttn
Scyl1	Gorab
Scyl1	Gorab
Gorab	Scyl1
Hsph1	Tuba1a
Hsph1	Tuba1a
Tuba1a	Hsph1
Baz2a	Smarca5
Baz2a	Smarca5
Hdac1	Rb1
Rb1	Hdac1
Hdac1	Myod1
Smarcd1	Smarca2
Smarca4	Arid1b
Arid1b	Smarca4
Ikzf1	Chd3
Myod1	Kat2b
Myod1	Hdac1
Rxra	Nsd1
Nsd1	Rxra
Rxra	Nsd1
Ikzf1	Chd3
Ikzf1	Smarca4
Ikzf1	Hdac2
Ikzf1	Hdac1
Ikzf1	Smarca4
Ikzf1	Chd3
Lrp8	Dab1
Vldlr	Dab1
Vcl	Raver1
Raver1	Vcl
Rpgrip1	Rpgr
Rpgr	Rpgrip1
Cbl	Lck
Tead2	Yap1
Tead2	Yap1
Mlf1	Nrbp1
Mlf1	Ywhaz
Mlf1	Nrbp1
Mlf1	Ywhaz
Tsc1	Rdx
Tsc1	Rdx
Tsc1	Ezr
Ctnnb1	Arhgap32
Ctnnb1	Arhgap32
Ctnnb1	Arhgap32
Arhgap32	Ctnnb1
Arhgap32	Dlg4
Dlg4	Arhgap32
Id2	Id2
Id2	Id2
Hspa5	Dnajc1
Inadl	Grin2a
Inadl	Kcnj10
Inadl	Kcnj15
Inadl	Grin2b
Inadl	Grin2c
Inadl	Grin2d
Dlg4	Grin2a
Dlg4	Grin2b
Dlg4	Grin2d
