Official Symbol Interactor A	Official Symbol Interactor B
Pcna	Rev1
Trappc3	Trappc1
Trappc3	Trappc1
Grb2	Pik3r1
Dnajb3	Usp8
Dnajb3	Usp8
Sufu	Lgals3
Gmcl1	Tsg101
Fgd1	Aoc1
Hsph1	Tuba1a
Baz2a	Smarca5
Smarcd1	Smarca2
Rxra	Nsd1
Ikzf1	Chd3
Ikzf1	Smarca4
Ikzf1	Hdac2
Ikzf1	Hdac1
Ikzf1	Smarca4
Ikzf1	Chd3
Lrp8	Dab1
Vldlr	Dab1
Vcl	Raver1
Rpgrip1	Rpgr
Tead2	Yap1
Tsc1	Rdx
Tsc1	Ezr
Ctnnb1	Arhgap32
Dlg4	Arhgap32
Id2	Id2
Hspa5	Dnajc1
Inadl	Kcnj10
Inadl	Kcnj15
Inadl	Grin2a
Inadl	Grin2b
Inadl	Grin2c
Inadl	Grin2d
Akap9	Tsnax
Golga3	Tsnax
Tsnaxip1	Tsnax
Sun1	Tsnax
Aes	Six3
Tle4	Six3
Tek	Grb2
Tek	Grb7
Tek	Grb14
Tek	Pik3r1
S100a4	Metap2
E2f1	Sp1
Dffa	Dffb
Cldn1	Mpdz
Ctla4	Ap2m1
Fzd8	Gopc
Fzd5	Gopc
Snca	Tuba3a
Hhex	Jun
Hira	Pax3
Hira	Pax7
Hira	H3f3b
Pax3	Hira
Efs	Ptk2
Ptk2	Efs
Src	Prkce
Shc1	Inpp5d
Eps15	Eps15
Eps15	Eps15
Ndn	E2f1
Tal1	Hdac1
Abl1	Rin1
Abl1	Rin1
Abl1	Pxn
Smad1	Zfp128
Zfp128	Smad1
Ecsit	Traf6
Uhrf1	Eme1
Npm1	Fbxw7
Trim30a	Sqstm1
Rassf1	Mdm2
Mdm2	Mdm2
Hspa2	Nasp
Nasp	Hspa2
Nasp	Hspa2
Cdk1	Hspa2
Cdk1	Nasp
Cdk1	Ccnb1
Grb2	Met
Mecp2	Atrx
Jarid2	Suz12
Jarid2	Eed
Ezh2	Eed
Suz12	Eed
Ncoa1	Ep300
Amfr	Ngly1
Ngly1	Vcp
Kif3a	Ppp1r15a
Tcerg1	Smn1
Bmi1	Dmap1
Prmt1	Chtop
Tal1	Trim27
Nupr1	Ep300
Nupr1	Ddx5
Ep300	Nupr1
Ddx5	Nupr1
Crebzf	Esrra
Nr0b1	Hnf4a
Rb1	Hdac1
Hmga1	Rb1
Pparg	Men1
Carm1	Ncoa3
Gmnn	Spata24
Spata24	Gmnn
Gmnn	Spata24
Ctbp2	Fhl3
Ctbp2	Ube2i
Ctbp2	Klf3
Jarid2	Ezh2
Pou5f1	Nanog
Ing2	H3f3a
Ing2	H3f3a
Sox2	Xpo4
Trp53bp1	Ncoa6
Pik3cb	Pcna
Pcna	Pik3cb
Creb3l4	Crem
Hdac1	Ubtf
Htt	Ago2
Htt	Ago2
H3f3a	Cbx2
H3f3a	Cbx7
Cbx7	H3f3a
Epc1	Srf
Smad4	Gata4
