source	target
MAX	AC093732
EBF1	RP11-685M7
CEBPB	AL163953
CTCFL	CTD-3224K15
EP300	RP11-411K7
USF1	NCRNA00167
YY1	RP11-142L1
ELF1	AC093391
JUND	RP13-942N8
FOXA1	RP5-1177I5
E2F1	AP000697
YY1	RP11-6F2
CCNT2	AC128709
MYC	RP11-307C12
CEBPB	AC020928
RFX5	LL22NC03-86G7
TCF4	RP11-197P3
NR2C2	CTC-358I24
USF2	RP11-286H14
POU2F2	EMG1
GTF2F1	RP11-506H20
EGR1	AC005301
HNF4A	RP11-718B12
TBP	RP1-148H17
USF1	RP11-503N18
FOXA1	MIR203
MYC	RP11-220I1
RXRA	RP4-756H11
EP300	AC016697
YY1	RP11-669N7
YY1	RP11-420G6
GATA2	CTC-276P9
ZZZ3	EMG1
TCF4	RNU12
GTF2F1	RP4-613A2
POLR3A	CR786580
EGR1	RP11-84A14
EP300	RP11-479G22
E2F1	RP11-500G22
SPI1	RP11-645N11
GABPA	RP11-206L10
ELF1	SNHG9
CEBPB	AL132780
HDAC2	RP11-121A14
ELF1	RP13-685P2
ZEB1	MIR1292
RAD21	CTD-2001E22
FOSL1	RP11-18M17
SIN3A	RP11-348A11
WRNIP1	CTD-2003C8
RAD21	RP4-811H24
MAFK	RP11-792D21
CTCF	AC017099
SMC3	AC078852
E2F4	RP1-101K10
GATA2	AC017099
ELF1	AC009299
E2F4	RP11-881M11
TAF7	CTD-2192J16
NRF1	AP006216
CHD2	U73166
MAX	NCRNA00221
POU2F2	WI2-925H4
SMARCB1	SNOU13
EP300	CTD-2003C8
CCNT2	AL590365
TAF1	RP11-81H14
CCNT2	RP1-7G5
GTF2F1	NCRNA00263
TBP	RP11-366M4
CEBPB	AL662800
CTCF	AC069271
SP2	RP11-692D12
JUND	SNORA70
CTCF	AC064834
HDAC2	RP11-379F12
TAF1	RP11-314A20
SP2	RP11-81H14
SPI1	MIR1204
CTCF	AC145207
JUN	AC145123
CTCFL	AC005740
TBP	AC005726
MEF2C	RP11-525A16
ZNF263	RP11-220I1
RAD21	AC005013
PBX3	HOTAIRM1
USF1	CTD-2230D16
GTF2F1	RP11-525A16
BCL11A	CTD-2275D24
JUN	AC007403
JUND	NCRNA00188
USF2	AC004510
CTCFL	RP11-431K24
MAFK	RP1-257A7
PAX5	RP4-555L14
IRF4	RP11-447M12
GATA3	RP11-509J21
TFAP2A	RP11-462L8
RAD21	RP5-1121H13
CHD2	RP13-392I16
MEF2A	U7
EGR1	RP11-357H14
FOS	AC007686
MAX	AMZ2P1
RAD21	AC091736
USF1	RP11-68L18
E2F6	CTA-215D11
RAD21	AP001055
YY1	AC091633
GABPA	AC073957
STAT3	RP11-319E12
MYC	RP5-864K19
EGR1	RP11-17G12
MAX	RP11-206L10
TAF1	RP4-545K15
MEF2A	RP11-203M5
MYC	RP11-755F10
TAF1	SEC22B
MAX	RP11-418J17
RAD21	AC012506
MYC	NCRNA00240
NRF1	MIR760
RFX5	RP4-794H19
EP300	UCA1
HDAC2	RP11-542B15
RAD21	AC009163
BRCA1	RNY4
TBP	RP11-285G1
CEBPB	AC098617
SP1	RP3-487J7
JUND	MIR26A2
SPI1	RP11-430H10
E2F6	AC061992
MYC	SNOU13
MAFK	AC079305
POLR3A	C1ORF211
HNF4G	CTD-2192J16
TAF1	AL139123
RFX5	RP11-408H1
CTCF	U52111
HDAC2	AC016735
FOS	Y_RNA
PAX5	RP11-17G12
EGR1	RP11-500G22
EBF1	CTA-941F9
STAT3	AC025171
MAFK	AP001442
YY1	AC012146
SMC3	RP1-40E16
EBF1	WHAMML1
ELF1	NEAT1
HDAC2	AC023137
PAX5	RP11-115J16
E2F1	RP11-758P17
CEBPB	AC023818
E2F1	CTD-2013N24
POU2F2	Z83851
MYC	RP11-519G16
RAD21	RP11-84A19
EP300	RP11-141A19
TCF12	RP1-180E22
EGR1	RP11-148K1
PAX5	U73166
SMC3	RP11-382A18
EGR1	RP11-121A14
USF2	RP1-257A7
TFAP2C	CTC-529P8
FOXA1	RP11-319I23
WRNIP1	RP11-727A23
CTCF	RP11-290M5
HMGN3	RP11-867G23
GTF2F1	U1
ZBTB7A	C4ORF10
ZNF263	NCRNA00154
IRF4	RP11-522I20
CTCF	RP11-182N22
