source 	 target 
EF2	EF1
PVT	SPVR
PDER	VB10
PVNL	PVV
DB06	AVBL
DBWMR2	DBWMR1
SPCL	PCAL
VBWML20	VBWMR21
DGLL6	DGLL7
VD09	PVM
MI	PM4D
DBWML23	DX3
DD04	DD05
MC3V	PM8
VBWMR21	VBWMR22
DVF	DD04
PM4D	MI
PDC	AVKL
AVAR	PVCL
AVKR	PVPR
AIMR	ASJR
DA09	AVAR
AIBL	RIGR
AWBR	AUAR
AVAR	VB08
VBWMR18	VBWML19
M4	M4
AVAL	DA08
PVQR	CA06
URXL	CEPDL
VB06	VB05
VB05	DB03
VA09	DA06
VB11	PDC
AVBL	PVNL
PCCL	PCBL
PM3VL	MC1DL
OLQVR	CEPVR
AVBR	RIBR
RIBL	AVBL
PQR	AVAL
VBWMR18	VBWML18
PVCR	PLML
R2BL	PLML
PDA	PVQR
PVWL	PQR
HYP	DA08
AVAR	AVDL
PHBR	PHAR
PM7VL	PM8
CA06	CP06
SAAVR	SMBVL
PVR	PLML
DGLL6	VBWML23
EF2	R6AL
PVCR	VB06
PDEL	PLMR
CP01	CP04
PVPL	SPVR
PQR	PVPR
AOBR	GECR
MC1DL	PM4VL
R4AR	R4AL
AIAL	ADFL
R7BR	R4BL
DBWMR15	DBWMR16
AILL	DGLL5
AVAL	VA04
IL2R	AFDR
EF2	R2AL
CP04	CA05
VBWML12	VBWML13
DVC	SPVR
DB06	AVAL
VBWMR8	VBWML9
AVAL	DA01
VBWML23	VBWMR22
VBWMR16	VBWMR17
AVG	AVBR
PVPL	CP05
AVEL	OLQDR
AVL	RIR
PDER	PLMR
VSPR	SPH
M2L	PM5VL
DGLR3	DGLR2
VA09	DA08
DD05	VD09
PM6VR	MC3V
PVX	VA12
HOA	PCAL
PM4D	M3L
RIML	RIS
VB09	PDER
PCAR	HOA
PHAR	PHAL
DVB	CP01
M4	PM5VL
POLL	VBWML22
PVWR	PQR
AVFR	PQR
DVF	HOA
CA06	CA05
R7BL	R4AL
R1BR	R2AR
VA12	VA10
DBWML12	DBWML11
PHAR	AVG
MC2DL	MC3DL
URAVR	CEPVR
PLMR	PDER
DBWML21	DBWML22
DA02	VA06
DB06	VB10
DVA	AVBL
VBWML22	DBWML22
AVAL	HYP
