source target
I1L 	 I2L         
I1L 	 I2L         
I1L 	 M3L         
I1L 	 MCR         
I1L 	 NSML        
I1L 	 pm4vl       
I1R 	 I2R         
I1R 	 I3          
I1R 	 MCR         
I1R 	 NSMR        
I1R 	 pm3vr       
I1R 	 pm4vr       
I2L 	 I1L         
I2L 	 I4          
I2L 	 M2L         
I2R 	 I1R         
I2R 	 M1          
I2R 	 M2R         
I2R 	 MCR         
I2R 	 NSMR        
I3 	 I1R         
I3 	 M1          
I3 	 MI          
I3 	 pm4d        
I3 	 pm5d        
I4 	 I2L         
I4 	 M2R         
I4 	 M4          
I4 	 pm5vl       
I5 	 M2L         
I5 	 M2R         
I5 	 M5          
I6 	 M4          
M1 	 I2R         
M1 	 I3          
M1 	 pm5d        
M2L 	 I2L         
M2L 	 I5          
M2L 	 M4          
M2L 	 MCL         
M2L 	 pm4vl       
M2L 	 pm5vl       
M2R 	 I2R         
M2R 	 I4          
M2R 	 I5          
M2R 	 M3R         
M2R 	 MCR         
M2R 	 MI          
M2R 	 pm5d        
M3L 	 I1L         
M3L 	 NSMR        
M3L 	 pm4d        
M3L 	 pm5d        
M3L 	 pm5vl       
M3R 	 M2R         
M3R 	 NSMR        
M3R 	 pm4vr       
M3R 	 pm5d        
M3R 	 pm5vr       
M4 	 I4          
M4 	 I6          
M4 	 M2L         
M4 	 M4          
M4 	 M5          
M4 	 pm5d        
M4 	 pm5vl       
M4 	 pm5vr       
M5 	 I5          
M5 	 M4          
M5 	 M5          
M5 	 pm5vl       
M5 	 pm6vr       
MCL 	 M2L         
MCR 	 I1L         
MCR 	 I1R         
MCR 	 I2R         
MCR 	 M2R         
MI 	 I3          
MI 	 M2R         
MI 	 pm4d        
NSML 	 I1L         
NSML 	 NSMR        
NSMR 	 I1R         
NSMR 	 I2R         
NSMR 	 M3L         
NSMR 	 M3R         
NSMR 	 NSML        
NSMR 	 pm5d        
pm1d 	 pm2d        
pm1vl 	 pm2vl       
pm1vr 	 pm2vr       
pm2d 	 pm1d        
pm2d 	 pm3d        
pm2vl 	 pm1vl       
pm2vl 	 pm3vl       
pm2vr 	 pm1vr       
pm2vr 	 pm3vr       
pm3d 	 pm2d        
pm3d 	 pm4d        
pm3d 	 mc1dl       
pm3d 	 mc1dr       
pm3vl 	 pm2vl       
pm3vl 	 pm4vl       
pm3vl 	 mc1dl       
pm3vl 	 mc1v        
pm3vr 	 I1R         
pm3vr 	 pm2vr       
pm3vr 	 pm4vr       
pm3vr 	 mc1v        
pm4d 	 I3          
pm4d 	 M3L         
pm4d 	 MI          
pm4d 	 pm3d        
pm4d 	 pm5d        
pm4d 	 mc1dl       
pm4d 	 mc1dr       
pm4vl 	 I1L         
pm4vl 	 M2L         
pm4vl 	 pm3vl       
pm4vl 	 pm5vl       
pm4vl 	 mc1dl       
pm4vl 	 mc1v        
pm4vr 	 I1R         
pm4vr 	 M3R         
pm4vr 	 pm3vr       
pm4vr 	 pm5vr       
pm4vr 	 mc1dr       
pm4vr 	 mc1v        
pm5d 	 I3          
pm5d 	 M1          
pm5d 	 M2R         
pm5d 	 M3L         
pm5d 	 M3R         
pm5d 	 M4          
pm5d 	 NSMR        
pm5d 	 pm4d        
pm5d 	 pm6d        
pm5d 	 mc2dl       
pm5d 	 mc2dr       
pm5vl 	 I4          
pm5vl 	 M2L         
pm5vl 	 M3L         
pm5vl 	 M4          
pm5vl 	 M5          
pm5vl 	 pm4vl       
pm5vl 	 pm6vl       
pm5vl 	 mc2dl       
pm5vl 	 mc2v        
pm5vr 	 M3R         
pm5vr 	 M4          
pm5vr 	 pm4vr       
pm5vr 	 pm6vr       
pm5vr 	 mc2dr       
pm5vr 	 mc2v        
pm6d 	 pm5d        
pm6d 	 mc3dl       
pm6d 	 mc3dr       
pm6vl 	 pm5vl       
pm6vl 	 mc3dl       
pm6vl 	 mc3v        
pm6vr 	 M5          
pm6vr 	 pm5vr       
pm6vr 	 mc3dr       
pm6vr 	 mc3v        
pm7d 	 pm8         
pm7d 	 mc3dl       
pm7d 	 mc3dr       
pm7vl 	 pm8         
pm7vl 	 mc3dl       
pm7vl 	 mc3v        
pm7vr 	 pm8         
pm7vr 	 mc3dr       
pm7vr 	 mc3v        
pm8 	 pm7d        
pm8 	 pm7vl       
pm8 	 pm7vr       
pm8 	 mc3dl       
pm8 	 mc3dr       
pm8 	 mc3v        
mc1dl 	 pm3d        
mc1dl 	 pm3vl       
mc1dl 	 pm4d        
mc1dl 	 pm4vl       
mc1dl 	 mc2dl       
mc1dr 	 pm3d        
mc1dr 	 pm4d        
mc1dr 	 pm4vr       
mc1dr 	 mc2dr       
mc1v 	 pm3vl       
mc1v 	 pm3vr       
mc1v 	 pm4vl       
mc1v 	 pm4vr       
mc2dl 	 pm5d        
mc2dl 	 pm5vl       
mc2dl 	 mc1dl       
mc2dl 	 mc3dl       
mc2dr 	 pm5d        
mc2dr 	 pm5vr       
mc2dr 	 mc1dr       
mc2dr 	 mc3dr       
mc2v 	 pm5vl       
mc2v 	 pm5vr       
mc3dl 	 pm6d        
mc3dl 	 pm6vl       
mc3dl 	 pm7d        
mc3dl 	 pm7vl       
mc3dl 	 pm8         
mc3dl 	 mc2dl       
mc3dr 	 pm6d        
mc3dr 	 pm6vr       
mc3dr 	 pm7d        
mc3dr 	 pm7vr       
mc3dr 	 pm8         
mc3dr 	 mc2dr       
mc3v 	 pm6vl       
mc3v 	 pm6vr       
mc3v 	 pm7vl       
mc3v 	 pm7vr       
mc3v 	 pm8         
ADFL 	 AIAL        
ADFL 	 ADAL        
ADFR 	 AFDR        
ADFR 	 RIH         
ADFR 	 RIPR        
ADLL 	 ADLR        
ADLR 	 ADLL        
ADLR 	 RMGR        
ASEL 	 ASJL        
ASGL 	 AIML        
ASHL 	 RICL        
ASIL 	 ASIR        
ASIR 	 ASIL        
ASIR 	 ASKR        
ASIR 	 OLLR        
ASIR 	 AIAR        
ASIR 	 AIMR        
ASJL 	 ASEL        
ASJL 	 EF2         
ASJR 	 AIMR        
ASKL 	 ASKR        
ASKL 	 AIML        
ASKL 	 RMGL        
ASKL 	 AVFL        
ASKL 	 PVQL        
ASKR 	 ASIR        
ASKR 	 ASKL        
ASKR 	 AIMR        
ASKR 	 PVQR        
ASKR 	 EF3         
AWAL 	 AIAL        
AWAL 	 AIZL        
AWAR 	 AIAR        
AWBL 	 RMGL        
AWBR 	 AUAR        
AFDL 	 AFDR        
AFDR 	 ADFR        
AFDR 	 AFDL        
AFDR 	 IL2R        
IL1DR 	 IL1R        
IL1DR 	 CEPDR       
IL1L 	 IL1VL       
IL1L 	 IL2L        
IL1L 	 URBL        
IL1R 	 IL1DR       
IL1R 	 IL1VR       
IL1VL 	 IL1L        
IL1VL 	 IL1VR       
IL1VL 	 IL2VL       
IL1VL 	 RMDDL       
IL1VR 	 IL1R        
IL1VR 	 IL1VL       
IL1VR 	 CEPVR       
IL1VR 	 RMED        
IL1VR 	 URAVL       
IL2DL 	 CEPDL       
IL2DR 	 URXR        
IL2DR 	 URADR       
IL2L 	 IL1L        
IL2L 	 OLLL        
IL2L 	 RMGL        
IL2L 	 URBL        
IL2R 	 AFDR        
IL2R 	 RMGR        
IL2R 	 RMEL        
IL2R 	 RMER        
IL2VL 	 IL1VL       
IL2VL 	 CEPVL       
OLQDL 	 OLLL        
OLQDL 	 CEPDL       
OLQDL 	 RMDDR       
OLQDL 	 RMDR        
OLQDR 	 OLLR        
OLQDR 	 AVEL        
OLQDR 	 CEMDR       
OLQVL 	 OLLL        
OLQVL 	 RIGL        
OLQVL 	 AVER        
OLQVR 	 CEPVR       
OLQVR 	 RIBR        
OLQVR 	 RIGR        
OLQVR 	 RMDDR       
OLQVR 	 CEMVR       
OLLL 	 IL2L        
OLLL 	 OLQDL       
OLLL 	 OLQVL       
OLLL 	 OLLR        
OLLL 	 RIGL        
OLLR 	 ASIR        
OLLR 	 OLQDR       
OLLR 	 OLLL        
OLLR 	 RIGR        
CEPDL 	 IL2DL       
CEPDL 	 OLQDL       
CEPDL 	 URXL        
CEPDL 	 CEMDL       
CEPDR 	 IL1DR       
CEPDR 	 URXR        
CEPDR 	 RIH         
CEPDR 	 CEMDR       
CEPVL 	 IL2VL       
CEPVL 	 CEPVL       
CEPVL 	 AIYL        
CEPVL 	 RIH         
CEPVL 	 URAVL       
CEPVL 	 CEMVL       
CEPVR 	 IL1VR       
CEPVR 	 OLQVR       
CEPVR 	 RIH         
CEPVR 	 URAVR       
ALML 	 AVM         
ALML 	 PVR         
ALMR 	 AVM         
ALMR 	 PVR         
AVM 	 ALML        
AVM 	 ALMR        
AVM 	 AVDL        
PVM 	 PVM         
PVM 	 PDEL        
PVM 	 PDER        
PVM 	 AVKL        
PVM 	 DVA         
PVM 	 PVR         
PVM 	 DB03        
PVM 	 VD09        
PVM 	 CA06        
PLML 	 PDEL        
PLML 	 PDER        
PLML 	 PVR         
PLML 	 PVCR        
PLML 	 AVAL        
PLML 	 AVAR        
PLML 	 AVDL        
PLML 	 AVDR        
PLML 	 VA09        
PLML 	 R1AL        
PLML 	 R2AL        
PLML 	 R2BL        
PLMR 	 PDEL        
PLMR 	 PDER        
PLMR 	 PHCR        
PLMR 	 PVNL        
PLMR 	 PVR         
PLMR 	 PVCR        
PLMR 	 AVAL        
PLMR 	 LUAR        
PLMR 	 VA09        
PLMR 	 VB08        
PLNR 	 PVNR        
FLPL 	 SDQR        
FLPL 	 RIH         
FLPL 	 RIVR        
SDQR 	 FLPL        
SDQR 	 RIVL        
SDQR 	 RIVR        
PVDL 	 PVDR        
PVDL 	 AVG         
PVDL 	 PVCR        
PVDL 	 AVAR        
PVDL 	 VA10        
PVDL 	 PVZ         
PVDR 	 PVDL        
PVDR 	 PDER        
PVDR 	 DVC         
PVDR 	 PVCR        
PVDR 	 AVAL        
PVDR 	 VD09        
PVDR 	 R6BR        
BAGL 	 RIR         
URXL 	 CEPDL       
URXL 	 ALA         
URXL 	 RMGL        
URXL 	 CEMDL       
URXR 	 IL2DR       
URXR 	 CEPDR       
URXR 	 RMFR        
URXR 	 RMGR        
URXR 	 CEMDR       
URYDR 	 RIGR        
URYDR 	 AVAR        
URYVR 	 CEMVR       
AQR 	 AVKL        
PQR 	 PHAL        
PQR 	 AVFR        
PQR 	 AVG         
PQR 	 PVNL        
PQR 	 PVPL        
PQR 	 PVPR        
PQR 	 PVT         
PQR 	 PVWL        
PQR 	 PVWR        
PQR 	 AVAL        
PQR 	 AVAR        
PQR 	 AVBR        
PQR 	 AVDL        
PQR 	 AVDR        
