source target
UniProt-A0A075B6P5	UniProt-A0A075B6P5
UniProt-A0AVF1	UniProt-Q8N4P2
UniProt-A0AVF1	UniProt-Q8N4P2
UniProt-A0AVF1	UniProt-Q9NWB7
UniProt-A0AVF1	UniProt-Q9NWB7
UniProt-A0AVF1	UniProt-Q9UG01
UniProt-A0AVF1	UniProt-Q9UG01
UniProt-A0AVT1	UniProt-P0CG47
UniProt-A0AVT1	UniProt-P0CG47
UniProt-A0AVT1	UniProt-P0CG48
UniProt-A0AVT1	UniProt-P0CG48
UniProt-A0FGR8	UniProt-A0FGR9
UniProt-A0JLT2	UniProt-O95402
UniProt-A0JLT2	UniProt-Q15648
UniProt-A0JLT2	UniProt-Q6P2C8
UniProt-A0JLT2	UniProt-Q96G25
UniProt-A0JLT2	UniProt-Q96RN5
UniProt-A0JLT2	UniProt-Q9H204
UniProt-A0JLT2	UniProt-Q9NWA0
UniProt-A0JLT2	UniProt-Q9NX70
UniProt-A0JLT2	UniProt-Q9ULK4
UniProt-A0JLT2	UniProt-Q9Y2X0
UniProt-A2RRP1	UniProt-Q6NUQ1
UniProt-A5D8V6	UniProt-Q99816
UniProt-A5LHX3	UniProt-Q14997
UniProt-A5PLN9	UniProt-P0DI81
UniProt-A5PLN9	UniProt-Q7Z392
UniProt-A5PLN9	UniProt-Q96Q05
UniProt-A5YKK6	UniProt-Q92600
UniProt-A5YKK6	UniProt-Q9H9A5
UniProt-A6NGU5	UniProt-A6NGU5
UniProt-A8K855	UniProt-Q6IPM2
UniProt-A8MT69	UniProt-Q13352
UniProt-O00139	UniProt-O14980
UniProt-O00139	UniProt-O43683
UniProt-O00139	UniProt-O75122
UniProt-O00139	UniProt-O95229
UniProt-O00139	UniProt-P30622
UniProt-O00139	UniProt-P36873
UniProt-O00139	UniProt-P42677
UniProt-O00139	UniProt-P43034
UniProt-O00139	UniProt-P46060
UniProt-O00139	UniProt-P49454
UniProt-O00139	UniProt-P49792
UniProt-O00139	UniProt-P53350
UniProt-O00139	UniProt-Q02224
UniProt-O00139	UniProt-Q12834
UniProt-O00139	UniProt-Q15691
UniProt-O00139	UniProt-Q2NKX8
UniProt-O00139	UniProt-Q562F6
UniProt-O00139	UniProt-Q5FBB7
UniProt-O00139	UniProt-Q7L7X3
UniProt-O00139	UniProt-Q7Z460
UniProt-O00139	UniProt-Q8N4N8
UniProt-O00139	UniProt-Q8NI77
UniProt-O00139	UniProt-Q8WVK7
UniProt-O00139	UniProt-Q8WYP5
UniProt-O00139	UniProt-Q96BD8
UniProt-O00139	UniProt-Q96EA4
UniProt-O00139	UniProt-Q9BPU9
UniProt-O00139	UniProt-Q9GZM8
UniProt-O00139	UniProt-Q9NQS7
UniProt-O00139	UniProt-Q9NXR1
UniProt-O00139	UniProt-Q9P258
UniProt-O00139	UniProt-Q9Y266
UniProt-O00139	UniProt-Q9Y6D9
UniProt-O00141	UniProt-Q96PU5
UniProt-O00141	UniProt-Q9H0M0
UniProt-O00161	UniProt-P51809
UniProt-O00161	UniProt-P63027
UniProt-O00161	UniProt-P63027
UniProt-O00161	UniProt-Q12846
UniProt-O00161	UniProt-Q12846
UniProt-O00161	UniProt-Q12846
UniProt-O00161	UniProt-Q12846
UniProt-O00161	UniProt-Q15836
UniProt-O00161	UniProt-Q9BV40
UniProt-O00161	UniProt-Q9BV40
UniProt-O00170	UniProt-P08238
UniProt-O00170	UniProt-P08238
UniProt-O00170	UniProt-P08238
UniProt-O00170	UniProt-Q15185
UniProt-O00170	UniProt-Q15185
UniProt-O00170	UniProt-Q15185
UniProt-O00182	UniProt-Q8TDQ0
UniProt-O00186	UniProt-Q12846
UniProt-O00187	UniProt-O00187
UniProt-O00189	UniProt-Q9Y587
UniProt-O00189	UniProt-Q9Y587
UniProt-O00206	UniProt-Q9Y2C9
UniProt-O00213	UniProt-P45983
UniProt-O00220	UniProt-P50591
UniProt-O00220	UniProt-Q9UBN6
UniProt-O00230	UniProt-P30872
UniProt-O00230	UniProt-P30874
UniProt-O00230	UniProt-P31391
UniProt-O00230	UniProt-P32745
UniProt-O00230	UniProt-P35346
UniProt-O00231	UniProt-A5LHX3
UniProt-O00231	UniProt-O00232
UniProt-O00231	UniProt-O00232
UniProt-O00231	UniProt-P61289
UniProt-O00231	UniProt-P61289
UniProt-O00231	UniProt-Q06323
UniProt-O00231	UniProt-Q06323
UniProt-O00231	UniProt-Q14997
UniProt-O00231	UniProt-Q92530
UniProt-O00231	UniProt-Q92530
