source target sign
UNIPROT-P21579 UNIPROT-Q05940 +
UNIPROT-P21579 UNIPROT-P20336 +
UNIPROT-P21579 UNIPROT-Q9P2U7 -
UNIPROT-P21579 UNIPROT-Q9H598 +
UNIPROT-P21579 UNIPROT-P63027 -
UNIPROT-P21579 UNIPROT-Q16572 +
UNIPROT-O14810 UNIPROT-P60880 +
UNIPROT-O14810 UNIPROT-Q16623 +
UNIPROT-P07942 UNIPROT-Q8IXL6 +
UNIPROT-P07942 UNIPROT-P11047 -
UNIPROT-P07942 UNIPROT-Q9Y6N6 +
UNIPROT-O43237 UNIPROT-P63167 -
UNIPROT-O43237 UNIPROT-Q96FJ2 -
UNIPROT-O43187 UNIPROT-Q9Y4K3 -
UNIPROT-O15169 UNIPROT-P49841 +
UNIPROT-O15169 UNIPROT-Q9NTX7 -
UNIPROT-O15169 UNIPROT-Q9H2K2 -
UNIPROT-O15169 UNIPROT-P35222 +
UNIPROT-O15169 UNIPROT-O95271 +
UNIPROT-O15169 UNIPROT-P25054 +
UNIPROT-O15169 UNIPROT-P48729 +
UNIPROT-O15169 UNIPROT-Q5JTC6 +
UNIPROT-O15169 UNIPROT-Q9HAU4 -
UNIPROT-P29320 UNIPROT-P12931 +
UNIPROT-P29320 UNIPROT-P06241 -
UNIPROT-P29320 UNIPROT-P07948 +
UNIPROT-P29320 UNIPROT-P07947 -
UNIPROT-P04049 UNIPROT-P12931 -
UNIPROT-P04049 UNIPROT-O00141 -
UNIPROT-P04049 UNIPROT-Q96BR1 +
UNIPROT-P04049 UNIPROT-Q9HBY8 +
UNIPROT-P04049 UNIPROT-Q9H0M0 -
UNIPROT-P04049 UNIPROT-Q6TCH7 -
UNIPROT-P04049 UNIPROT-Q96PU5 +
UNIPROT-P10314 UNIPROT-P30101 -
UNIPROT-P10314 UNIPROT-P61769 +
UNIPROT-P30466 UNIPROT-P30101 +
UNIPROT-P30466 UNIPROT-P61769 -
UNIPROT-O15265 UNIPROT-O75529 -
UNIPROT-O15265 UNIPROT-Q16594 -
UNIPROT-O15265 UNIPROT-O75486 +
UNIPROT-O15265 UNIPROT-Q96BN2 +
UNIPROT-O15265 UNIPROT-Q9Y4A5 +
UNIPROT-O15265 UNIPROT-O94864 +
UNIPROT-O15265 UNIPROT-O75528 -
UNIPROT-O15265 UNIPROT-Q92830 +
UNIPROT-O15265 UNIPROT-Q9NPA8 +
UNIPROT-O15265 UNIPROT-Q9Y6J9 +
UNIPROT-O15265 UNIPROT-Q9H0E3 +
UNIPROT-O15265 UNIPROT-Q12962 +
UNIPROT-O15265 UNIPROT-Q8NEM7 +
UNIPROT-O15265 UNIPROT-Q86TJ2 -
UNIPROT-O15265 UNIPROT-Q96ES7 -
UNIPROT-O15265 UNIPROT-Q9UPT9 +
UNIPROT-O15265 UNIPROT-Q9HBM6 +
UNIPROT-O15265 UNIPROT-Q16514 -
UNIPROT-O15265 UNIPROT-Q14CW9 +
UNIPROT-O43493 UNIPROT-Q8IXL6 +
UNIPROT-O14672 UNIPROT-P52798 -
UNIPROT-O14672 UNIPROT-P52803 -
UNIPROT-O14672 UNIPROT-P52797 -
UNIPROT-O14672 UNIPROT-Q8IXL6 -
UNIPROT-O14672 UNIPROT-P20827 +
UNIPROT-O14672 UNIPROT-O43921 +
UNIPROT-P02679 UNIPROT-Q8IXL6 +
UNIPROT-O43251 UNIPROT-P31943 +
UNIPROT-O43251 UNIPROT-P52597 -
UNIPROT-P30484 UNIPROT-P30101 -
UNIPROT-P30484 UNIPROT-P61769 -
UNIPROT-O00399 UNIPROT-Q9ULI4 -
UNIPROT-O43805 UNIPROT-Q8TEP8 -
UNIPROT-O43805 UNIPROT-P04350 -
UNIPROT-O43805 UNIPROT-Q86XR8 +
UNIPROT-O43805 UNIPROT-Q5TB80 -
UNIPROT-O43805 UNIPROT-P06493 +
UNIPROT-O43805 UNIPROT-Q5JTW2 +
UNIPROT-O43805 UNIPROT-Q5T7B8 +
UNIPROT-O43805 UNIPROT-P07437 +
UNIPROT-O43805 UNIPROT-O75935 -
UNIPROT-O43805 UNIPROT-A8K8P3 +
UNIPROT-O43805 UNIPROT-Q8NHQ1 +
UNIPROT-O43805 UNIPROT-Q5BJF6 -
UNIPROT-O43805 UNIPROT-Q66GS9 -
UNIPROT-O43805 UNIPROT-Q8TCU4 -
UNIPROT-O43805 UNIPROT-Q9HC77 +
UNIPROT-O43805 UNIPROT-Q96MT8 +
UNIPROT-O43805 UNIPROT-Q7Z7A1 -
UNIPROT-O43805 UNIPROT-Q15051 +
UNIPROT-O43805 UNIPROT-Q8IW35 -
UNIPROT-O43805 UNIPROT-Q7Z460 +
UNIPROT-O43805 UNIPROT-P51955 +
UNIPROT-O43805 UNIPROT-Q71U36 -
UNIPROT-O43805 UNIPROT-Q96SN8 -
UNIPROT-O43805 UNIPROT-P23258 +
UNIPROT-O43805 UNIPROT-O15078 -
UNIPROT-O43805 UNIPROT-Q86SQ7 +
UNIPROT-O43805 UNIPROT-O94986 +
UNIPROT-O43805 UNIPROT-O43303 +
UNIPROT-O43805 UNIPROT-O95684 +
UNIPROT-O43805 UNIPROT-Q9UPV0 +
UNIPROT-O43805 UNIPROT-Q14203 -
UNIPROT-O43805 UNIPROT-Q8NHV4 -
UNIPROT-O43805 UNIPROT-O00444 +
UNIPROT-O43805 UNIPROT-P53350 +
UNIPROT-O43805 UNIPROT-Q9NXR1 -
UNIPROT-O43805 UNIPROT-Q9BV73 +
UNIPROT-O43805 UNIPROT-Q15154 +
UNIPROT-O43805 UNIPROT-Q9UPN4 -
UNIPROT-O43805 UNIPROT-Q9P209 +
UNIPROT-O43805 UNIPROT-Q8TAP6 +
UNIPROT-O43805 UNIPROT-P68371 +
UNIPROT-O43805 UNIPROT-Q9Y2I6 -
UNIPROT-O43805 UNIPROT-P41208 -
UNIPROT-O43805 UNIPROT-P68366 -
UNIPROT-O43805 UNIPROT-Q13561 -
UNIPROT-O43805 UNIPROT-Q9BYV8 -
UNIPROT-O43541 UNIPROT-Q9HCE7 -
UNIPROT-P10826 UNIPROT-P19793 +
UNIPROT-P10826 UNIPROT-P28702 +
UNIPROT-P10826 UNIPROT-Q15648 +
UNIPROT-O43157 UNIPROT-P08581 +
UNIPROT-P09382 UNIPROT-Q8IXL6 +
UNIPROT-O60674 UNIPROT-Q6UWB1 -
UNIPROT-O60674 UNIPROT-O14492 +
UNIPROT-O60674 UNIPROT-Q9NRF2 -
UNIPROT-O60674 UNIPROT-Q99650 -
UNIPROT-O60674 UNIPROT-P51692 +
UNIPROT-O60674 UNIPROT-Q9UQQ2 +
UNIPROT-O60674 UNIPROT-P40763 -
UNIPROT-O60674 UNIPROT-P42229 -
UNIPROT-O60674 UNIPROT-P40189 +
UNIPROT-O60674 UNIPROT-P16471 -
UNIPROT-O60674 UNIPROT-P42702 +
UNIPROT-O60674 UNIPROT-P42224 +
UNIPROT-O60674 UNIPROT-Q5VWK5 +
UNIPROT-P10275 UNIPROT-Q9BXU7 -
UNIPROT-P10275 UNIPROT-Q02790 -
UNIPROT-P10275 UNIPROT-Q15648 +
UNIPROT-P10275 UNIPROT-Q15185 +
UNIPROT-O95084 UNIPROT-Q8IXL6 -
UNIPROT-P07766 UNIPROT-P09693 -
UNIPROT-O75400 UNIPROT-Q9BUJ2 -
UNIPROT-O75400 UNIPROT-Q15287 -
UNIPROT-O75400 UNIPROT-O75554 -
UNIPROT-O75400 UNIPROT-Q9HCG8 +
UNIPROT-O75400 UNIPROT-Q8IX12 +
UNIPROT-O75400 UNIPROT-Q8WU68 +
UNIPROT-O75400 UNIPROT-Q15637 +
UNIPROT-O75400 UNIPROT-Q86V81 -
UNIPROT-O75400 UNIPROT-Q8IWZ8 -
UNIPROT-O95486 UNIPROT-O75396 +
