source target
Ath_C2120 Ath_C2186
Ath_C2120 Ath_C2121
Ath_C2186 Ath_C2130
Ath_C2186 Ath_C0886
Ath_C2186 Ath_C0883
Ath_C2186 Ath_C0880
Ath_C2186 Ath_C0717
Ath_C2186 Ath_C0716
Ath_C2186 Ath_C0713
Ath_C2186 Ath_C0772
Ath_C2186 Ath_C0796
Ath_C2186 Ath_C1189
Ath_C2186 Ath_C1163
Ath_C2186 Ath_C2060
Ath_C2186 Ath_C2066
Ath_C2186 Ath_C0021
Ath_C2186 Ath_C0035
Ath_C2186 Ath_C0001
Ath_C2186 Ath_C0090
Ath_C2186 Ath_C0280
Ath_C2186 Ath_C0471
Ath_C2186 Ath_C1908
Ath_C2186 Ath_C0389
Ath_C2186 Ath_C1898
Ath_C1064 Ath_C1963
Ath_C1064 Ath_C1242
Ath_C1963 Ath_C1850
Ath_C1963 Ath_C0047
Ath_C1084 Ath_C1944
Ath_C1084 Ath_C0485
Ath_C1944 Ath_C1831
Ath_C1944 Ath_C0005
Ath_C1469 Ath_C1565
Ath_C1565 Ath_C1412
Ath_C1565 Ath_C0008
Ath_C1565 Ath_C0009
Ath_C2147 Ath_C2150
Ath_C2147 Ath_C0008
Ath_C2147 Ath_C1242
Ath_C1378 Ath_C1641
Ath_C1378 Ath_C0004
Ath_C1075 Ath_C1941
Ath_C1075 Ath_C0019
Ath_C1075 Ath_C0018
Ath_C1075 Ath_C0012
Ath_C1075 Ath_C0209
Ath_C1075 Ath_C0468
Ath_C1941 Ath_C0001
Ath_C1941 Ath_C1937
Ath_C2221 Ath_C0793
Ath_C2221 Ath_C0799
Ath_C2221 Ath_C2255
Ath_C2221 Ath_C1972
Ath_C2221 Ath_C1971
Ath_C2221 Ath_C1970
Ath_C2221 Ath_C1969
Ath_C2221 Ath_C1968
Ath_C2221 Ath_C1967
Ath_C2221 Ath_C2310
Ath_C2221 Ath_C2312
Ath_C2221 Ath_C2322
Ath_C2221 Ath_C0161
Ath_C2221 Ath_C0012
Ath_C2221 Ath_C0010
Ath_C2221 Ath_C0011
Ath_C2221 Ath_C0376
Ath_C2221 Ath_C1835
Ath_C2221 Ath_C1836
Ath_C2221 Ath_C1834
Ath_C2221 Ath_C1839
Ath_C2221 Ath_C1838
Ath_C2221 Ath_C1849
Ath_C2221 Ath_C0342
Ath_C2221 Ath_C0507
Ath_C2221 Ath_C0412
Ath_C0793 Ath_C2222
Ath_C0793 Ath_C0799
Ath_C0793 Ath_C0714
Ath_C0793 Ath_C0931
Ath_C0793 Ath_C0001
Ath_C0793 Ath_C0003
Ath_C0793 Ath_C0006
Ath_C0885 Ath_C2130
Ath_C0885 Ath_C0886
Ath_C0885 Ath_C0001
Ath_C2130 Ath_C2121
Ath_C2130 Ath_C2148
Ath_C2130 Ath_C2280
Ath_C2130 Ath_C0790
Ath_C2130 Ath_C0087
Ath_C2130 Ath_C0096
Ath_C2130 Ath_C0040
Ath_C2130 Ath_C0014
Ath_C2130 Ath_C0011
Ath_C2130 Ath_C0006
Ath_C2130 Ath_C0003
Ath_C2130 Ath_C0297
Ath_C2130 Ath_C0156
Ath_C2130 Ath_C0195
Ath_C2130 Ath_C1248
Ath_C2130 Ath_C0113
Ath_C2130 Ath_C0374
Ath_C2130 Ath_C0558
Ath_C2222 Ath_C0649
Ath_C2222 Ath_C2113
Ath_C2222 Ath_C2221
Ath_C2222 Ath_C0877
Ath_C2222 Ath_C1091
Ath_C2222 Ath_C1248
Ath_C2222 Ath_C0129
Ath_C2222 Ath_C0111
Ath_C2222 Ath_C0147
Ath_C2222 Ath_C0078
Ath_C2222 Ath_C0049
Ath_C2222 Ath_C0023
Ath_C2222 Ath_C0024
Ath_C2222 Ath_C0011
Ath_C2222 Ath_C0013
Ath_C2222 Ath_C0384
Ath_C2222 Ath_C1837
Ath_C2222 Ath_C0258
Ath_C2222 Ath_C0597
Ath_C2222 Ath_C0468
Ath_C2149 Ath_C2157
Ath_C2149 Ath_C0018
Ath_C2149 Ath_C0012
Ath_C0882 Ath_C2130
Ath_C0882 Ath_C0883
Ath_C0882 Ath_C0001
Ath_C1137 Ath_C1889
Ath_C1137 Ath_C0001
Ath_C1137 Ath_C0006
Ath_C1889 Ath_C1076
Ath_C1889 Ath_C1888
Ath_C1889 Ath_C0012
Ath_C2188 Ath_C2119
Ath_C2188 Ath_C0001
Ath_C2188 Ath_C0006
Ath_C1135 Ath_C1887
Ath_C1135 Ath_C0006
Ath_C1887 Ath_C1136
Ath_C1887 Ath_C0006
Ath_C0746 Ath_C2277
Ath_C0746 Ath_C0280
Ath_C2277 Ath_C2231
Ath_C2277 Ath_C0001
Ath_C2277 Ath_C0013
Ath_C1136 Ath_C0006
Ath_C1136 Ath_C0704
Ath_C0799 Ath_C0714
Ath_C0799 Ath_C0931
Ath_C0799 Ath_C1191
Ath_C0799 Ath_C0001
Ath_C1127 Ath_C1879
Ath_C1127 Ath_C1242
Ath_C1879 Ath_C1242
Ath_C1879 Ath_C1882
Ath_C2065 Ath_C2265
Ath_C2065 Ath_C2299
Ath_C2065 Ath_C0556
Ath_C2071 Ath_C2259
Ath_C2071 Ath_C0511
Ath_C1792 Ath_C1215
Ath_C1792 Ath_C1794
Ath_C1792 Ath_C1802
Ath_C1792 Ath_C0011
Ath_C1792 Ath_C0005
Ath_C1792 Ath_C0004
Ath_C1792 Ath_C1071
Ath_C1792 Ath_C2098
Ath_C1215 Ath_C0012
Ath_C1215 Ath_C0185
Ath_C1128 Ath_C1880
Ath_C1128 Ath_C1883
Ath_C1128 Ath_C1242
Ath_C1880 Ath_C1242
Ath_C1880 Ath_C1882
Ath_C1794 Ath_C1215
Ath_C1794 Ath_C0010
Ath_C1794 Ath_C1071
Ath_C0879 Ath_C2130
Ath_C0879 Ath_C0880
Ath_C0879 Ath_C0890
Ath_C0879 Ath_C0001
Ath_C0879 Ath_C0006
Ath_C1883 Ath_C1242
Ath_C1883 Ath_C1884
Ath_C1743 Ath_C1269
Ath_C1743 Ath_C1590
Ath_C1269 Ath_C0010
Ath_C1269 Ath_C1315
Ath_C1269 Ath_C1407
Ath_C1315 Ath_C1699
Ath_C1315 Ath_C1517
Ath_C1315 Ath_C1520
Ath_C1315 Ath_C1523
Ath_C1315 Ath_C0011
Ath_C1315 Ath_C1505
Ath_C1315 Ath_C1507
Ath_C1315 Ath_C1511
Ath_C1315 Ath_C1514
Ath_C1699 Ath_C1700
Ath_C1699 Ath_C0006
Ath_C2094 Ath_C2224
Ath_C2094 Ath_C2017
Ath_C2094 Ath_C2036
Ath_C2224 Ath_C1233
