source target sign
8081 16936 +
8081 2010 +
8081 17020 +
55660 30634 +
57177 34401 +
57177 55704 +
57177 56648 +
57177 57154 +
57177 52758 +
57177 56101 +
57177 57522 +
57177 57521 +
57177 11838 +
57177 30885 +
57177 57147 +
57177 56140 +
57177 57178 +
57177 57179 +
57177 56751 +
57177 2784 +
72276 28711 +
72276 40830 +
72276 71963 +
72276 5739 +
72276 40862 +
72276 28423 +
72276 2293 +
72276 247 +
72276 65987 +
58626 16863 +
58626 49429 +
58626 32216 +
57521 56102 +
57521 11700 +
40040 16805 +
40040 59992 +
36678 5760 +
111690 1776 +
122628 14437 +
122628 4775 +
122628 3321 +
75319 14907 +
75319 2737 +
75319 2293 +
75319 3171 +
185 8616 -
76912 36825 +
18368 3984 -
70089 21032 +
61970 2293 +
61970 61971 +
61970 5728 +
61970 13147 +
27026 2363 +
31545 20600 +
31545 11445 +
31545 16795 +
31545 20590 +
31545 17222 +
31545 77168 +
31545 5423 +
31545 13732 +
31545 2737 +
31545 63081 +
31545 28778 +
31545 39141 +
31545 5528 +
62049 12043 -
109819 3054 +
3977 38556 -
3977 1891 +
3977 110067 -
3977 247 +
3977 17041 +
17163 270 +
17163 5611 +
17163 1037 +
19660 36331 -
48951 28981 +
118614 127391 +
118614 1349 +
90794 9778 +
68539 41920 +
68539 58665 +
118698 21642 +
118698 16351 +
118698 57078 +
118698 16993 +
118698 3176 +
118698 11445 +
118698 26168 +
118698 105045 +
118698 4992 +
118698 16933 +
118698 1566 +
118698 77253 +
118698 2268 +
118698 92155 +
118698 2579 +
118698 1451 +
2042 42776 -
2042 46393 +
2042 13106 +
2042 7529 -
2042 18647 -
2042 11629 +
2042 5123 +
2042 121998 +
2042 39758 -
2042 57862 +
2042 9829 -
35763 25225 +
102727 11611 +
43409 38556 -
10300 167 +
10300 10302 +
104674 2293 +
1943 1498 +
1943 554 +
1943 1947 +
1943 967 +
1943 1949 +
3320 1303 +
3320 3141 +
4029 4900 +
4029 2293 +
4029 52479 +
4029 12964 +
4029 39988 +
4029 24463 +
4029 12116 +
4029 3219 +
4029 15285 +
4029 13732 +
4029 1497 +
4029 3176 +
86542 57 +
17375 1075 +
17375 966 +
17375 8081 +
17375 130229 -
17375 11445 +
17375 17063 +
17375 80874 -
17375 117300 +
17375 123713 -
17375 97487 +
17375 16936 +
17375 27264 +
17375 14437 +
17375 125261 -
17375 33990 +
12317 39870 +
12317 247 +
12317 5739 +
12317 9310 +
12317 2293 +
12317 14904 +
25646 39945 -
25646 5591 -
25646 16537 -
25646 42584 -
25646 5105 +
25646 3854 +
22120 49214 +
22120 109015 +
22120 5703 -
126798 2857 +
32229 2297 -
32229 10970 -
