condition	gene_symbol
ADENO5-E1B19K	TMEM30A
ADENO5-E1B19K	RP2
ADENO5-E1B19K	SRPR
ADENO5-E1B19K	RAB18
ADENO5-E1B19K	NDUFA4
ADENO5-E1B19K	TMEM43
ADENO5-E1B19K	STIM1
ADENO5-E1B19K	EMD
ADENO5-E1B19K	SRPRB
ADENO5-E1B19K	MLEC
ADENO5-E1B19K	CSPP1
ADENO5-E1B19K	SEC61B
ADENO5-E1B19K	ATP2A2
ADENO5-E1B19K	GNB1
ADENO5-E1B19K	ABAT
ADENO5-E1B19K	ESYT2
ADENO5-E1B19K	MOGS
ADENO5-E1B19K	PREB
ADENO5-E1B19K	SCAMP4
ADENO5-E1B19K	CDCP1
ADENO5-E1B19K	TMEM165
ADENO5-E1B19K	GLIPR1
ADENO5-E1B19K	BAX
ADENO5-E1B19K	TMX3
ADENO5-E1B19K	PRAF2
ADENO5-E1B19K	MTCH2
ADENO5-E1B19K	ABHD12
ADENO5-E1B19K	DNAJC1
ADENO5-E1B19K	IKBIP
ADENO5-E1B19K	ATP1A1
ADENO5-E1B19K	ITGA3
ADENO5-E1B19K	PBXIP1
ADENO5-E1B19K	SCARB2
ADENO5-E1B19K	DDOST
ADENO5-E1B19K	DFFA
ADENO5-E1B19K	ENG
ADENO5-E1B19K	FAS
ADENO5-E1B19K	TMPO
ADENO5-E1B19K	IMMT
ADENO5-E1B19K	ITGB1
ADENO5-E1B19K	CNP
ADENO5-E1B19K	VAPA
ADENO5-E1B19K	SORT1
ADENO5-E1B19K	S100A6
ADENO5-E1B19K	VKORC1
ADENO5-E1B19K	LAMTOR1
ADENO5-E1B19K	GNG2
ADENO5-E1B19K	RFTN1
ADENO5-E1B19K	MBOAT7
ADENO5-E1B19K	MPZL1
ADENO5-E1B19K	PGRMC1
ADENO5-E1B19K	CSPG4
ADENO5-E1B19K	BSG
ADENO5-E1B19K	MXRA8
ADENO5-E1B19K	RAB5C
ADENO5-E1B19K	RAP1A
ADENO5-E1B19K	PTTG1IP
ADENO5-E1B19K	SACM1L
ADENO5-E1B19K	IGF2R
ADENO5-E1B19K	EFCAB5
ADENO5-E1B19K	CARD10
ADENO5-E1B19K	GLIPR2
ADENO5-E1B19K	SPNS1
ADENO5-E1B19K	ANKRD13A
ADENO5-E1B19K	MYOF
ADENO5-E1B19K	SQRDL
ADENO5-E1B19K	CSRP2
ADENO5-E1B19K	TPP1
ADENO5-E1B19K	PPM1B
ADENO5-E1B19K	PTK7
ADENO5-E1B19K	USMG5
ADENO5-E1B19K	RTN4
ADENO5-E1B19K	TAPBP
ADENO5-E1B19K	SEC22B
ADENO5-E1B19K	SDHA
ADENO5-E1B19K	PGRMC2
ADENO5-E1B19K	STT3A
ADENO5-E1B19K	GJA1
ADENO5-E1B19K	NCEH1
ADENO5-E1B19K	PPM1A
ADENO5-E1B19K	PDGFRB
ADENO5-E1B19K	RAB34
ADENO5-E1B19K	MMP14
ADENO5-E1B19K	MARCKS
ADENO5-E1B19K	CD44
ADENO5-E1B19K	SLC2A1
ADENO5-E1B19K	BAK1
ADENO5-E1B19K	PDLIM4
ADENO5-E1B19K	TMEM55A
ADENO5-E1B19K	ERGIC1
ADENO5-E1B19K	NPTN
ADENO5-E1B19K	SLC9A3R2
ADENO5-E1B19K	GPX8
ADENO5-E1B19K	RDH14
ADENO5-E3GP19K	ATP2A2
ADENO5-E3GP19K	TRPV2
ADENO5-E3GP19K	FN1
ADENO5-E4ORF1	LOX
ADENO5-E4ORF1	ABL1
ADENO5-E4ORF1	RBMS1
ADENO5-E4ORF1	CCT6A
ADENO5-E4ORF1	IGF2BP2
ADENO5-E4ORF1	RBPMS
ADENO5-E4ORF1	DDX6
ADENO5-E4ORF1	SQRDL
ADENO5-E4ORF1	IGF2BP3
ADENO5-E4ORF1	MAGED1
ADENO5-E4ORF1	IGF2BP1
ADENO5-E4ORF1	ATXN2
ADENO5-E4ORF1	FAM195B
ADENO5-E4ORF1	HSD17B4
ADENO5-E4ORF1	UPF1
ADENO5-E4ORF1	LARP4
ADENO5-E4ORF1	CCT3
ADENO5-E4ORF1	CCT5
ADENO5-E4ORF1	ELAVL1
ADENO5-E4ORF1	RBMS2
ADENO5-E4ORF1	HSPB6
ADENO5-E4ORF1	FUBP3
EBV-BALF1	F2R
EBV-BALF1	RFTN1
EBV-BALF1	ATP2B4
EBV-BALF1	EPN1
EBV-BALF1	KIRREL
EBV-BALF1	PTPRK
EBV-BALF1	SDF4
EBV-BALF1	SERPINE2
EBV-BALF1	CHRM2
EBV-BALF1	PNPLA6
EBV-BALF1	TMEM55A
EBV-BALF1	CDCP1
EBV-BALF1	PLXNB2
EBV-BALF1	YWHAH
EBV-BALF1	PALM
EBV-BALF1	LAYN
EBV-BALF1	TRAM1
EBV-BALF1	MBOAT7
EBV-BALF1	DNAJC16
EBV-BALF1	FKBP1A
EBV-BALF1	ATP2A2
EBV-BALF1	SNX3
EBV-BALF1	KANK2
EBV-BALF1	QPCTL
EBV-BALF1	NOTCH2
EBV-BALF1	PSMD1
EBV-BALF1	P4HB
EBV-BALF1	TNFRSF10B
EBV-BALF1	DNAJB4
EBV-BALF1	SPARC
EBV-BALF1	MYOF
EBV-BALF1	ERBB2
EBV-BALF1	LOX
EBV-BALF1	PDLIM4
EBV-BALF1	PTK7
EBV-BALF1	CTNND1
EBV-BALF1	PLOD2
EBV-BALF1	FN1
EBV-BALF1	LAPTM4A
EBV-BALF1	ANXA6
EBV-BALF1	CLCN7
EBV-BALF1	S1PR3
EBV-BALF1	ATP2C1
EBV-BALF1	PTPRF
EBV-BALF1	IL6ST
EBV-BALF1	FAT1
EBV-BALF1	SLAIN2
EBV-BALF1	SLC20A1
EBV-BALF1	IFNGR1
EBV-BALF1	RCN2
EBV-BALF1	DLG1
EBV-BALF1	PDXDC1
EBV-BALF1	SURF4
EBV-BALF1	ABCA1
EBV-BALF1	LRP10
EBV-BALF1	PDCD6IP
EBV-BALF1	TMEM59
EBV-BALF1	ATP13A3
EBV-BALF1	PSMC4
EBV-BALF1	ADCY9
EBV-BALF1	ERC1
