source	target
E2F2	RTP4
NFIC	IL6
SP1	KRT5
MYC	KCNH8
TCF7L2	JUP
MYB	PTCRA
USF2	B2M
ETS1	IFNG
SP1	PGC
MYC	SLC39A8
STAT5A	ERBB4
TFAP2A	PPP4C
RXRB	PDPK1
IRF7	SPP1
POU2F1	AKR1C3
SP1	CCND2
E2F1	TMX2
ARNTL	CRY2
MYB	SH2D3C
ATF1	SLC19A1
FLI1	MMP9
TCF7	BIRC5
STAT4	JAK1
IKBKG	NFKB2
TP53	LIG1
CREB1	ADRB2
MAML1	RBPJ
APC	TBL1X
ARNTL	RORA
NOTCH3	JAG1
EGR1	hsa-miR-596
RARA	CETP
ETS2	BRCA1
NFATC4	TNF
JUN	hsa-miR-155
RELA	CSF3
MYC	DAP3
USF2	MYH9
GLI1	PRKACA
ETS2	TRB@
MYB	hsa-miR-148a
MYC	NR1D1
ETS1	HMOX1
CREB1	PENK
TFAP2A	HIP1
ABL1	EPHA5
NOTCH4	DLL3
ATF2	MAPK11
AR	POU5F1
HTT	AP2S1
NFIC	AMELY
SMAD4	MAPK3
ATF4	MAPKAPK2
TFAP2A	CD58
MYC	NCBP2
AR	PTGER2
POU2F1	NAT1
SP3	PFKP
MYC	ABCB6
E2F4	CSE1L
RXRG	HMGCS2
STAT1	REV3L
FOS	MAPK8
E2F2	SNX19P2
FOS	NTS
RELA	HDAC2
CEBPA	CYP3A7
MYC	RPS6
SP1	GJA1
CREB1	PTGS2
ETS1	MSR1
USF1	CTSB
E2F1	TBC1D16
E2F4	ADRBK2
SMAD3	hsa-miR-145
RARB	MIF
E2F1	INHBE
NFIC	F13A1
STAT1	PPP2CB
MYC	CDK4
MYC	PPT2
RARG	SLC5A5
ETV4	MEP1B
TFDP1	SMAD2
WT1	TERT
E2F1	MRPS23
NFIC	CYP27B1
E2F2	ADD3
PPARA	GATA3
CEBPE	NOL3
ATF4	CREBBP
SP1	USF2
E2F1	ACSM5
USF1	CCND1
ZBTB16	CCNA1
HIF1A	GBE1
ATF1	ACHE
MYC	MST1
TP53	BAX
PGR	CHGA
SP1	SMAD2
NR2E1	hsa-miR-9
RARB	CDKN1B
SP1	CD5
NFIC	COL3A1
NOTCH3	NUMB
EGR1	FN1
NFKB1	TNF
SMAD4	ART4
IRF9	STAT4
MYB	GATA1
CEBPA	CCND1
SOX10	hsa-miR-338
STAT3	KIAA0146
ATF2	NT5E
STAT1	BCL6
EPAS1	FLT1
E2F4	SUV39H1
E2F1	NOL3
POU2F1	NIF3L1
CREB1	TRH
RXRA	APOC3
SMAD4	SMAD1
E2F1	ERH
SPI1	TYROBP
MYF5	hsa-miR-206
SMAD4	AREG
ETS1	MGAT5B
CREB1	TNFRSF8
SP1	ITGAL
SMAD1	ID1
SMAD4	HNF4A
ESR2	STAT5A
MYC	PIAS2
CEBPB	GADD45G
HOXA10	IGFBP1
