miRNA	Target Gene  # filtered 'homo sapiens' from http://mirtarbase.mbc.nctu.edu.tw/cache/download/6.1/miRTarBase_WE_MP.xls
hsa-miR-92a-3p	ITGA5
hsa-miR-373-3p	ADAM9
hsa-miR-373-3p	ARHGEF3
hsa-miR-373-3p	BAZ1A
hsa-miR-1-3p	OAT
hsa-miR-1-3p	OAT
hsa-miR-1-3p	OSBPL7
hsa-miR-1-3p	ARHGAP29
hsa-miR-1-3p	PDCD4
hsa-miR-1-3p	PDCD4
hsa-miR-1-3p	CDK14
hsa-miR-1-3p	PGM2
hsa-miR-1-3p	MTMR12
hsa-miR-1-3p	MTMR12
hsa-miR-1-3p	MTX1
hsa-miR-1-3p	MTX1
hsa-miR-1-3p	MXD4
hsa-miR-1-3p	NETO2
hsa-miR-1-3p	NETO2
hsa-miR-1-3p	PNP
hsa-miR-1-3p	PNP
hsa-miR-1-3p	PNP
hsa-miR-1-3p	CCSAP
hsa-miR-1-3p	XPNPEP3
hsa-miR-1-3p	LRRC8A
hsa-miR-1-3p	LRRC8A
hsa-miR-1-3p	LRRC8A
hsa-miR-1-3p	LZTFL1
hsa-miR-1-3p	MMD
hsa-miR-1-3p	MMD
hsa-miR-1-3p	DHX15
hsa-miR-1-3p	DHX15
hsa-miR-1-3p	DDX5
hsa-miR-1-3p	DDX5
hsa-miR-1-3p	FAM57A
hsa-miR-1-3p	FAM57A
hsa-miR-1-3p	TNS4
hsa-miR-1-3p	CLCN3
hsa-miR-1-3p	CHSY1
hsa-miR-1-3p	CHST11
hsa-miR-1-3p	SLC44A1
hsa-miR-1-3p	SLC44A1
hsa-miR-1-3p	IFT52
hsa-miR-1-3p	CAP1
hsa-miR-1-3p	CAP1
hsa-miR-1-3p	SRXN1
hsa-miR-1-3p	SRXN1
hsa-miR-1-3p	AXL
hsa-miR-1-3p	AXL
hsa-miR-1-3p	BLCAP
hsa-miR-1-3p	BLCAP
hsa-miR-1-3p	ARHGEF18
hsa-miR-1-3p	ARHGEF18
hsa-miR-1-3p	ARF4
hsa-miR-1-3p	ARF4
hsa-miR-1-3p	ARF3
hsa-miR-1-3p	ARCN1
hsa-miR-1-3p	ARCN1
hsa-miR-1-3p	ARCN1
hsa-miR-1-3p	ANKRD29
hsa-miR-1-3p	ADAR
hsa-miR-1-3p	ADAR
hsa-miR-1-3p	ADAR
hsa-miR-1-3p	ACPL2
hsa-miR-1-3p	ACPL2
hsa-miR-155-5p	TP53INP1
hsa-miR-155-5p	TP53INP1
hsa-miR-155-5p	TP53INP1
hsa-miR-155-5p	TP53INP1
hsa-miR-373-3p	RPIA
hsa-miR-373-3p	RNF149
hsa-miR-373-3p	PCGF5
hsa-miR-373-3p	MKRN1
hsa-miR-373-3p	KLHL12
hsa-miR-373-3p	LMNB1
hsa-miR-373-3p	PDIK1L
hsa-miR-373-3p	UBXN1
hsa-miR-373-3p	PHC2
hsa-miR-155-5p	BACH1
hsa-miR-155-5p	BACH1
hsa-miR-155-5p	BACH1
hsa-miR-155-5p	TAB2
hsa-miR-155-5p	TAB2
hsa-miR-197-3p	PIPOX
hsa-miR-197-3p	RAD51
hsa-miR-197-3p	PEX13
hsa-miR-197-3p	CPNE6
hsa-miR-197-3p	HNF4A
hsa-miR-197-3p	WDR6
hsa-miR-197-3p	ABCC3
hsa-miR-197-3p	USO1
hsa-miR-197-3p	ZNF302
hsa-miR-197-3p	FBXW7
hsa-miR-373-3p	GPSM2
hsa-miR-373-3p	C9orf78
hsa-miR-373-3p	CD24
hsa-miR-373-3p	CD83
hsa-miR-373-3p	CDK19
hsa-let-7b-5p	E2F5
hsa-let-7b-5p	LIN28B
hsa-miR-451a	MIF
hsa-miR-124-3p	ATP6V0E1
hsa-miR-124-3p	ATP6V0E1
hsa-miR-124-3p	VAMP3
hsa-miR-124-3p	VAMP3
hsa-miR-124-3p	VAMP3
hsa-miR-373-3p	GLTP
hsa-miR-373-3p	GBAS
hsa-miR-373-3p	SLC35F6
hsa-miR-373-3p	CFL2
hsa-miR-373-3p	CMTM4
hsa-miR-373-3p	TMEM9B
hsa-miR-1-3p	EML4
hsa-miR-1-3p	FBLN2
hsa-miR-1-3p	RBM47
hsa-miR-1-3p	RBM47
hsa-miR-1-3p	C1orf56
hsa-miR-1-3p	C12orf49
hsa-miR-1-3p	C12orf49
hsa-miR-1-3p	GCH1
hsa-miR-1-3p	GNPDA2
hsa-miR-1-3p	GNPDA2
hsa-miR-1-3p	H3F3B
hsa-miR-1-3p	H3F3B
hsa-miR-1-3p	HPS4
hsa-miR-1-3p	HPS4
hsa-miR-1-3p	IP6K2
hsa-miR-1-3p	IP6K2
hsa-miR-1-3p	INPP5F
hsa-miR-1-3p	INPP5F
hsa-miR-1-3p	CNOT6
hsa-miR-1-3p	KLHL42
hsa-miR-1-3p	KLHL42
hsa-miR-1-3p	KIAA1598
hsa-miR-1-3p	KIF2A
hsa-miR-1-3p	KIF2A
hsa-miR-1-3p	KIF2A
hsa-miR-1-3p	LASP1
hsa-miR-1-3p	LASP1
hsa-miR-1-3p	CERS2
hsa-miR-1-3p	LIN7C
hsa-miR-210-3p	FGFRL1
hsa-miR-124-3p	RAVER2
hsa-miR-15a-5p	WIPF1
hsa-miR-15a-5p	VPS45
hsa-miR-15a-5p	UGP2
hsa-miR-15a-5p	UGDH
hsa-miR-15a-5p	HSP90B1
hsa-miR-15a-5p	TIA1
hsa-miR-15a-5p	SLC35B3
hsa-miR-15a-5p	SLC35A1
hsa-miR-15a-5p	SKAP2
hsa-miR-15a-5p	RNASEL
hsa-miR-15a-5p	RHOT1
hsa-miR-15a-5p	RAD51C
hsa-miR-15a-5p	PRIM1
hsa-miR-15a-5p	PNN
hsa-miR-15a-5p	PMS1
hsa-miR-15a-5p	PHKB
hsa-miR-15a-5p	PDCD6IP
hsa-miR-15a-5p	OSGEPL1
hsa-miR-15a-5p	OMA1
hsa-miR-15a-5p	NT5DC1
hsa-miR-15a-5p	MSH2
hsa-miR-15a-5p	MCL1
hsa-miR-15a-5p	FAM69A
hsa-miR-15a-5p	C2orf74
hsa-miR-15a-5p	FAM122C
hsa-miR-15a-5p	JUN
hsa-miR-15a-5p	HSPA1A
hsa-miR-15a-5p	HSDL2
hsa-miR-15a-5p	HRSP12
hsa-miR-15a-5p	C17orf80
hsa-miR-15a-5p	HERC6
hsa-miR-15a-5p	HDHD2
hsa-miR-15a-5p	HACE1
hsa-miR-15a-5p	H3F3B
hsa-miR-15a-5p	GTF2H1
hsa-miR-15a-5p	GOLPH3L
hsa-miR-15a-5p	GOLGA5
hsa-miR-15a-5p	ECHDC1
hsa-miR-15a-5p	CREBL2
hsa-miR-15a-5p	CEP63
hsa-miR-15a-5p	CENPJ
hsa-miR-15a-5p	CDC14B
hsa-miR-15a-5p	CARD8
hsa-miR-15a-5p	TMEM251
hsa-miR-15a-5p	ANAPC16
hsa-miR-15a-5p	ASXL2
hsa-miR-200a-3p	ZEB1
hsa-miR-124-3p	MAGT1
hsa-miR-124-3p	LAMC1
hsa-miR-124-3p	LAMC1
hsa-miR-124-3p	LAMC1
hsa-miR-124-3p	CD164
hsa-miR-124-3p	CD164
hsa-miR-124-3p	CD164
hsa-miR-124-3p	ACAA2
hsa-miR-124-3p	ACAA2
hsa-miR-124-3p	ACAA2
hsa-miR-124-3p	SUCLG2
hsa-miR-124-3p	GAS2L1
hsa-miR-124-3p	SERP1
hsa-miR-124-3p	SERP1
hsa-miR-124-3p	SERP1
hsa-miR-124-3p	SURF4
hsa-miR-124-3p	SLC16A1
hsa-miR-124-3p	SLC16A1
hsa-miR-124-3p	SLC16A1
hsa-miR-124-3p	ELOVL5
hsa-miR-195-5p	WEE1
hsa-miR-212-3p	MECP2
hsa-miR-200c-3p	TUBB3
hsa-miR-124-3p	PODXL
hsa-miR-124-3p	PODXL
hsa-miR-124-3p	PLP2
hsa-miR-124-3p	PLP2
hsa-miR-124-3p	PLOD3
hsa-miR-124-3p	PLOD3
hsa-miR-124-3p	ECI2
hsa-miR-124-3p	ECI2
hsa-miR-124-3p	PGM1
hsa-miR-124-3p	PGM1
hsa-miR-124-3p	PGRMC2
hsa-miR-124-3p	PGRMC2
hsa-miR-124-3p	PHF19
hsa-miR-124-3p	PHF19
hsa-miR-373-3p	NUPL1
hsa-miR-373-3p	PRC1
hsa-miR-373-3p	RELA
hsa-miR-373-3p	PACRGL
hsa-miR-373-3p	MICA
hsa-miR-373-3p	TEX30
hsa-miR-373-3p	LUC7L2
hsa-miR-373-3p	C12orf23
hsa-miR-373-3p	ANKRD13B
hsa-miR-373-3p	FYCO1
hsa-miR-373-3p	CENPF
hsa-miR-200c-3p	FN1
hsa-miR-141-3p	BAP1
hsa-miR-140-5p	CSK
hsa-miR-140-5p	MMP13
hsa-miR-140-5p	FGF2
hsa-miR-199a-5p	CCNL1
hsa-miR-199a-5p	CCNL1
hsa-miR-143-3p	COX2
hsa-miR-101-3p	COX2
hsa-miR-212-3p	WT1
hsa-miR-212-3p	BRCA1
hsa-miR-125b-5p	CBFB
