source target sign
HSA-MIR-126-3P SOX2 -
HSA-MIR-126-3P ADAM9 -
HSA-MIR-126-3P KRAS +
HSA-MIR-126-3P TWF2 +
HSA-MIR-126-3P BCL2 -
HSA-MIR-126-3P PIK3CG +
HSA-MIR-126-3P IGFBP2 -
HSA-MIR-126-3P MERTK +
HSA-MIR-126-3P PITPNC1 +
HSA-MIR-126-3P TOM1 -
HSA-MIR-126-3P DNMT1 +
HSA-MIR-126-3P TWF1 -
HSA-MIR-1908-5P DNAJA4 -
HSA-MIR-1908-5P APOE +
HSA-MIR-10B-3P CCNA2 +
HSA-MIR-10B-3P BUB1 +
HSA-MIR-10B-3P PLK1 +
HSA-MIR-124-3P GNRHR +
HSA-MIR-124-3P HS1BP3 -
HSA-MIR-124-3P NEK9 -
HSA-MIR-124-3P PHF19 -
HSA-MIR-124-3P TUBA3D +
HSA-MIR-124-3P TSEN54 -
HSA-MIR-124-3P ACAT2 +
HSA-MIR-124-3P ARHGAP29 +
HSA-MIR-124-3P ENAH +
HSA-MIR-124-3P THOC6 -
HSA-MIR-124-3P ATP8B2 +
HSA-MIR-124-3P ZBTB2 -
HSA-MIR-124-3P CAPN11 -
HSA-MIR-124-3P TUBB4A +
HSA-MIR-124-3P CCDC39 +
HSA-MIR-124-3P ELOVL5 -
HSA-MIR-124-3P TLR3 -
HSA-MIR-124-3P IL1R1 +
HSA-MIR-124-3P MRPL49 +
HSA-MIR-124-3P IMPACT +
HSA-MIR-124-3P IFIT3 -
HSA-MIR-124-3P PRPH -
HSA-MIR-124-3P COL1A1 +
HSA-MIR-124-3P MAP3K4 -
HSA-MIR-124-3P UNC5D -
HSA-MIR-124-3P RHOA +
HSA-MIR-124-3P GCA -
HSA-MIR-124-3P DUS4L +
HSA-MIR-124-3P TMEM104 +
HSA-MIR-124-3P TUBB6 +
HSA-MIR-124-3P ZHX3 +
HSA-MIR-124-3P KCNK18 +
HSA-MIR-124-3P FAM63B +
HSA-MIR-124-3P ADCY9 -
HSA-MIR-124-3P GAR1 +
HSA-MIR-124-3P FAM65B -
HSA-MIR-124-3P RBM28 +
HSA-MIR-124-3P PAPSS2 -
HSA-MIR-124-3P CDC42EP3 -
HSA-MIR-124-3P DFFB +
HSA-MIR-124-3P CEPT1 +
HSA-MIR-124-3P TRIM29 -
HSA-MIR-124-3P FAM19A2 -
HSA-MIR-124-3P HTATIP2 -
HSA-MIR-124-3P GABBR2 -
HSA-MIR-124-3P NXN +
HSA-MIR-124-3P STC2 +
HSA-MIR-124-3P CDK2 -
HSA-MIR-124-3P TNFRSF11B +
HSA-MIR-124-3P LDLRAP1 -
HSA-MIR-124-3P PARP14 +
HSA-MIR-124-3P UHMK1 +
HSA-MIR-124-3P FSTL1 -
HSA-MIR-124-3P CYR61 +
HSA-MIR-124-3P GUK1 +
HSA-MIR-124-3P TRAIP +
HSA-MIR-124-3P DEPDC1 -
