miRNA	Target Gene  # filtered 'mus musculus' from http://mirtarbase.mbc.nctu.edu.tw/cache/download/6.1/miRTarBase_WE_MP.xls
mmu-miR-140-5p	Ppp3cb
mmu-miR-140-5p	Tor1aip2
mmu-miR-140-5p	Rbbp6
mmu-miR-140-5p	Agxt2l2
mmu-miR-486a-5p	Pax7
mmu-miR-206-3p	Pax7
mmu-miR-206-3p	Pax7
mmu-miR-124-3p	Itgb1
mmu-miR-124-3p	Itgb1
mmu-miR-124-3p	Ptpn12
mmu-miR-181a-5p	Bcl2
mmu-miR-181a-5p	Cd69
mmu-miR-181a-5p	Tcra
mmu-miR-181a-5p	Egr1
mmu-miR-181a-5p	Tox
mmu-miR-181a-5p	Runx1
mmu-miR-1a-3p	Hand2
mmu-miR-1a-3p	Irx5
mmu-let-7c-5p	Myc
mmu-let-7c-5p	Myc
mmu-miR-155-5p	Maf
mmu-miR-124-3p	Ctdsp2
mmu-miR-124-3p	Ctdsp2
mmu-miR-124-3p	Cers2
mmu-miR-124-3p	Cers2
mmu-miR-124-3p	Nek9
mmu-miR-124-3p	Tsku
mmu-miR-133a-3p	Rhoa
mmu-miR-133a-3p	Nelfa
mmu-miR-133a-3p	Cdc42
mmu-miR-140-5p	D030056L22Rik
mmu-miR-124-3p	Fcho2
mmu-miR-124-3p	Ptbp1
mmu-miR-124-3p	Ptbp1
mmu-miR-124-3p	Ptbp1
mmu-miR-124-3p	Cd164
mmu-miR-124-3p	Cd164
mmu-miR-124-3p	Lamc1
mmu-miR-124-3p	Lamc1
mmu-miR-124-3p	Cebpa
mmu-miR-124-3p	Tom1l1
mmu-miR-124-3p	Arfip1
mmu-miR-124-3p	Sypl
mmu-miR-124-3p	Sypl
mmu-miR-124-3p	Hadhb
mmu-miR-124-3p	B4galt1
mmu-miR-124-3p	B4galt1
mmu-miR-124-3p	Stx2
mmu-miR-124-3p	Mapk14
mmu-miR-124-3p	Mapk14
mmu-miR-140-5p	Ifit2
mmu-miR-140-5p	Sbk1
mmu-miR-140-5p	Srr
mmu-miR-140-5p	Cxcl12
mmu-miR-140-5p	Zfand1
mmu-miR-140-5p	Cenpl
mmu-miR-140-5p	Fosb
mmu-miR-140-5p	Kcnk2
