source target sign
MMU-MIR-29A-3P COL1A2 +
MMU-MIR-29A-3P COL3A1 -
MMU-MIR-29A-3P IFNAR1 +
MMU-MIR-29A-3P ELN +
MMU-MIR-29A-3P COL1A1 +
MMU-MIR-29A-3P FBN1 -
MMU-MIR-200A-3P ST3GAL3 +
MMU-MIR-200A-3P PKD1 +
MMU-MIR-20B-5P HIF1A -
MMU-MIR-20B-5P VEGFA -
MMU-MIR-7B-5P FOS +
MMU-MIR-30D-5P BDNF -
MMU-MIR-486A-5P PTEN -
MMU-MIR-486A-5P PAX7 +
MMU-MIR-30A-5P TNRC6A -
MMU-MIR-30A-5P EGFR -
MMU-MIR-30A-5P ABCB1B +
MMU-MIR-30A-5P AK1 -
MMU-MIR-30A-5P INHBA +
MMU-MIR-30A-5P BDNF +
MMU-MIR-133A-3P HDAC4 +
MMU-MIR-133A-3P PRDM16 -
MMU-MIR-133A-3P NELFA -
MMU-MIR-133A-3P SRF +
MMU-MIR-133A-3P CDC42 -
MMU-MIR-133A-3P RHOA -
MMU-MIR-133A-3P KCNMB1 -
MMU-MIR-133A-3P POLA1 +
MMU-MIR-24-3P SMAD5 +
MMU-MIR-24-3P SMAD4 +
MMU-MIR-24-3P SMAD3 +
MMU-MIR-135A-5P NR3C2 -
MMU-MIR-132-3P PTBP2 -
MMU-MIR-132-3P RFX4 +
MMU-MIR-210-3P SHH -
MMU-MIR-210-3P ACVR1B +
MMU-MIR-210-3P TCF7L2 +
MMU-MIR-200B-3P ZEB1 +
MMU-MIR-200B-3P MAPK14 +
MMU-MIR-200B-3P PKD1 -
MMU-MIR-200B-3P ZEB2 -
MMU-MIR-141-3P MAPK14 +
MMU-MIR-141-3P SLC25A3 -
MMU-MIR-497A-5P ELN +
MMU-MIR-150-5P CBL +
MMU-MIR-150-5P MYD88 -
MMU-MIR-150-5P EGR2 +
MMU-MIR-150-5P PRDM16 -
MMU-MIR-150-5P PPARGC1A +
MMU-MIR-155-5P INPP5D +
MMU-MIR-155-5P MAF -
MMU-MIR-155-5P BACH1 +
MMU-MIR-155-5P WBP1L -
MMU-MIR-155-5P LCOR -
MMU-MIR-155-5P NR1H3 +
MMU-MIR-155-5P TAB2 +
MMU-MIR-155-5P MEF2A -
MMU-MIR-155-5P MIER3 +
MMU-MIR-155-5P IKBKE +
MMU-MIR-155-5P TSPAN14 +
MMU-MIR-155-5P JARID2 -
MMU-MIR-155-5P SGK3 -
MMU-MIR-155-5P ZNRF3 +
MMU-MIR-155-5P PMAIP1 -
MMU-MIR-155-5P CSNK1G2 -
MMU-MIR-155-5P ARID4A +
MMU-MIR-155-5P RORA -
MMU-MIR-155-5P GSK3B +
MMU-MIR-155-5P ETS1 -
MMU-MIR-155-5P ZFP236 +
MMU-MIR-155-5P ZFP652 +
