pre post
Phso2L  Phso1L
PVR ALNR
hyp PVR
[AS11]  PDB
r28 hyp
Phso2L  Phso1L
Phso2R  Phso1R
Phso1L  PhshL
hyp Phso2R
PVR ALNR
Phso1L  PhshL
hyp Phso2L
Phso1R  PhshR
PLNR    PLMR
hyp PDB
hyp Phso2L
hyp Phso2L
hyp Phso1L
hyp PDB
[AS11]  PDB
hyp Phso2R
hyp Phso1L
PLNL    PHCL
Phso1R  PhshR
Phso1L  PhshL
r28 ALNL
hyp Phso2R
hyp PHCL
Phso2L  PhshL
hyp PVR
Phso2L  PhshL
hyp PhshL
PVR ALNR
hyp Phso2L
hyp PhshL
PVR ALNR
r28 ALNL
PVR ALNR
hyp PVR
hyp Phso2L
hyp Phso1R
r28 hyp
hyp Phso1R
PHCL    PHAL
hyp PLML
hyp PLNR
hyp PhshR
hyp PDB
hyp PVR
hyp Phso1R
hyp PhshL
r28 hyp
PVR ALNR
hyp Phso1R
hyp PQR
r28 hyp
hyp PVR
PVR ALNR
hyp g0
hyp PhshL
hyp PHBL
hyp PLML
hyp g0
hyp PHBR
hyp Phso1R
hyp PhshR
hyp PVR
hyp PhshR
r28 hyp
hyp ALNL
PhshL   PLML
b28 PHBL
PhshR   PVNR
Phso1L  PhshL
hyp PLML
PHCR    PHBR
r28 hyp
hyp PVR
PhshR   PVNR
PVWR    PVR
PVR ALNR
PVR ALNR
PVR ALNR
PVNL    PQR
hyp PhshR
PVR ALNR
hyp PhshR
hyp PhshR
PVNL    PQR
PLNL    PHBL
PLNL    PHAL
PVR ALNR
hyp PHAL
PLNL    PHCL
hyp PHAR
hyp g0
hyp PVWR
hyp PVR
hyp gx
PVR PVCR
hyp PVWL
PVR PVNR
hyp DA09
PVR PVNR
hyp ALNL
PVR PVCR
hyp DVC
r30 gx
PLNR    PHAR
hyp PDA
hyp PDB
hyp PDB
hyp PDB
RID DA09
RID PDB
DA09    DA08
DA09    DA08
DA09    DA08
PDA DA08
PDA DA09
hyp PDB
[AS11]  RID
PDA DD06
[VD13]  PDB
hyp RID
hyp RID
PDA AVL
PHCR    AVG
DVA DA09
DVC DVB
PVR LUAR
hyp PVWL
PDA AVL
PHCR    AVAL
AVJR    AVAL
PDA DA09
DVC DVA
PVR LUAR
PVR DA09
PHCR    AVAL
PVNL    AVAL
PVNR    AVJR
AVJR    AVHL
PVCR    PHCR
PHCL    AVAL
hyp PVWL
PVCR    DA09
PVCR    DA09
PDA DA09
PVR DA09
PVCL    AVFL
DA09    AVL
PHCR    AVAL
PDB PDA
PHCR    DA09
LUAR    AVJL
PHBL    AVHR
hyp AVJL
hyp AVHR
PHCR    DA09
PHAR    AVG
LUAL    AVHL
hyp PDB
hyp PVWL
PDB AVJL
hyp PDB
PVNL    PVCL
PHBL    AVHR
PVR DA09
hyp PVWL
PDB DB07
DA09    AVL
PDB PDA
PVWR    AVJL
PHCR    AVJR
PDA DA09
VD13    DA09
VD13    AVL
PVNL    AVHL
PVCL    PHBL
LUAR    AVJR
DVA DA09
DVB DA08
VD13    DA09
AVJR    AVAR
PVR PDB
PHCR    AVAR
hyp AVHR
PVR LUAR
DVA DA09
VA12    PHCL
LUAR    AVAR
PVPL    AVL
VD13    PVPL
hyp AVKR
AVAL    AS10
PDER    DVA
VD11    AVL
hyp AS10
AVDL    AVAL
AVDR    AVAR
AVDL    AVAR
AVJL    AVDR
VD11    DVC
PVNL    AVJL
PVCL    DA08
hyp PVPL
PVCR    PVCL
PVPR    PQR
PVPL    AVKR
PVT DD06
PVCR    PVCL
VA11    PVCR
VA10    AVAL
AVHL    AS10
PQR AVDR
VA10    DB07
AVDR    AVAR
hyp DA08
hyp AVKR
VA11    PVCR
PVPR    DVC
DB07    AS10
AVDR    AVAR
hyp bl15
PVCL    DA08
PVWR    PVWL
PVWR    PVQR
PVCL    DA08
DB07    AVBR
DB07    AVHL
AVDR    AVAR
PVPL    AVKR
PVCR    PVCL
VB11    PVCR
VA12    AS10
AVKL    AS10
DB07    AVBL
DVC AVG
AVAR    AS10
DB07    AVHL
PVCR    PVCL
PVNL    AVBR
DB07    AVBL
DB07    AVBR
PVR DVA
DB07    AVHL
PVPR    DVC
hyp PVQL
PVQL    PVPL
bl15    VB11
DB07    AVBL
DD06    AVL
PVPL    DVB
VA10    DA08
PVPR    DVC
PVPL    AVKR
DB07    AVBL
DVA DB07
AVJR    AVG
PVPL    AVKR
PVT PVNR
bl15    VB11
PVCL    AVAR
PVR PDB
hyp AVHL
PVCL    AVAR
PVCR    PDER
PVCL    AVAR
VD11    DD06
AVFR    AVFL
PVCR    PDER
PVCR    DA07
PVQR    PVQL
VD13    PVPL
VD13    PDB
hyp AVHL
hyp AVHL
PVCL    AVAR
PVR PDEL
VA12    PVCL
VB11    AVAL
PVT PVQR
hyp VB11
DVB DA08
VD13    PVPL
hyp AVHL
PVPR    PVNR
bl15    PVR
VB11    AVBR
AVDL    AVAL
AVAR    AVAL
PVR PDEL
VA12    PVCL
VB11    AVBL
PVNR    DVC
VB11    AVAL
AVDR    AVAR
VA12    PVCL
VD11    DD06
VB11    AVBL
VA12    PVCL
PVT AVAR
PVPL    AVKR
PVQL    PVPL
hyp AVKR
VB11    AVBL
VA11    AVAR
PVQL    PVPL
PVPL    AVKR
PVNL    LUAL
VD11    AVAR
PVCL    DA07
VA10    DA08
PVWL    PVCL
hyp DVA
hyp PVQL
AVHR    AVHL
