regulator 	 regulated 	 sign
fis	dps	-	strong
ntrc	glnq	-	strong
arca	ssb	-	strong
crp	dcur	+	strong
argp	gdha	+	strong
ihf	hypc	+	strong
basr	qsec	+	strong
fadr	fabd	+	strong
ihf	yial	+	strong
mara	zwf	+	strong
ydeo	hyac	+	strong
flhdc	flio	+	strong
gadw	gada	-	strong
nanr	nanc	-	strong
phob	phnm	+	strong
fur	fhub	-	strong
narp	nrfa	+	strong
pdhr	cyoc	-	strong
ntrc	rpoe	+	strong
crp	xsea	-	strong
glpr	glpb	-	strong
nagc	glms	+	strong
gals	galk	-	strong
h-ns	lrp	-	strong
fliz	mdtf	-	strong
sutr	cyse	-	strong
sutr	sutr	-	strong
crp	mtla	+	strong
crp	lsra	+	strong
puur	puup	-	strong
arac	arac	+	strong
h-ns	gspj	-	strong
hypt	cydb	+	strong
zrar	zras	+	strong
mqsa	csgd	-	strong
cpxr	mzra	+	strong
soxs	waay	+	strong
mpra	emra	-	strong
fis	ssrs	+	strong
crp	gltf	-	strong
fnr	moea	-	strong
lrp	rrlc	-	strong
dan	ttdt	+	strong
oxyr	rimk	-	strong
fliz	yhid	-	strong
fnr	ydht	+	strong
nanr	yhch	-	strong
flhdc	fliq	+	strong
trpr	arol	-	strong
iscr	hyac	-	strong
fis	ilet	+	strong
h-ns	rcsd	-	strong
cpxr	motb	-	strong
flhdc	flig	+	strong
phop	bord	+	strong
agar	kbaz	-	strong
tyrr	fola	+	strong
csgd	csgd	+	strong
agar	agaa	-	strong
ihf	hycb	+	strong
ihf	paaa	+	strong
fnr	fnrs	+	strong
dcur	dcub	+	strong
crp	dada	+	strong
atoc	atob	+	strong
h-ns	chia	-	strong
blur	ymga	-	strong
adiy	gltb	+	strong
cysb	cysp	+	strong
gade	gadb	+	strong
ihf	hyce	+	strong
csgd	ycct	+	strong
crp	agav	+	strong
fis	nuon	+	strong
crp	casa	-	strong
ihf	hyca	+	strong
oxyr	ybjc	-	strong
mode	ccmc	+	strong
oxyr	oxyr	-	strong
arca	hyaa	+	strong
h-ns	gspl	-	strong
ihf	paab	+	strong
fnr	narj	+	strong
crp	cdd	+	strong
phob	phne_2	+	strong
flhdc	yecr	+	strong
crp	maze	+	strong
lrha	lrha	+	strong
crp	gpsa	+	strong
fliz	hdea	-	strong
tyrr	mtr	+	strong
flhdc	flij	+	strong
yefm	yefm	-	strong
soxs	pqib	+	strong
narl	ogt	+	strong
mcbr	mcba	-	strong
dica	ydfx	-	strong
phob	phnh	+	strong
csgd	flij	-	strong
fliz	gade	-	strong
dcur	frdc	+	strong
h-ns	gsph	-	strong
lrp	lysp	+	strong
argp	yfae	+	strong
ihf	hycd	+	strong
ompr	ompc	+	strong
crp	araj	+	strong
uvry	luxs	+	strong
phob	ugpb	-	strong
fur	sufs	-	strong
fadr	fadj	-	strong
fis	mazg	+	strong
basr	qseb	+	strong
ihf	lyxk	+	strong
iscr	napb	-	strong
iscr	sufc	+	strong
fhla	fhla	+	strong
flhdc	glti	+	strong
ihf	sgbu	+	strong
narl	dcur	-	strong
lexa	ruvb	-	strong
cpxr	efeu_1	-	strong
iscr	iscr	-	strong
cysb	ssua	-	strong
pdhr	cyoa	-	strong
cra	pgk	-	strong
fis	rrsa	+	strong
mqsa	csgg	-	strong
oxyr	ychf	-	strong
zur	znua	-	strong
soxs	soxs	-	strong
glrr	glmy	+	strong
crp	glpd	+	strong
