source target sign
ISCR NAPH -
ISCR SUFA +
ISCR NAPD -
ISCR NAPF -
ISCR ISCR -
ISCR ISCS -
ISCR RNLB -
ISCR HYAF -
ISCR NAPB -
ISCR NAPC -
ISCR NFUA -
ISCR NAPA -
ISCR ERPA -
ISCR ISCA -
ISCR NAPG -
ISCR HYAB -
ISCR SUFS +
ISCR YDIU +
ISCR ISCU -
ISCR SUFC +
ISCR SUFE +
ISCR RNLA -
ISCR HYAE -
ISCR HYAC -
ISCR SUFB +
ISCR SUFD +
ISCR HYAA -
ISCR HYAD -
MQSA CSGE -
MQSA CSGF -
MQSA MQSR -
MQSA CSGG -
MQSA RPOS -
MQSA MQSA -
MQSA CSGD -
MQSA CSPD -
ARGP NRDA +
ARGP RECF +
ARGP LYSP +
ARGP DAPD +
ARGP NRDB +
ARGP LYSC +
ARGP GDHA +
ARGP LYSA +
ARGP YFAE +
ARGP DNAN +
ARGP DNAA +
YEDW YEDX +
LRP FIMD +
LRP GLTT -
LRP FIMI +
LRP GLTU -
LRP FIMH +
LRP CADA +
LRP FAU -
LRP MICF -
LRP OPPA -
LRP GABD +
LRP LYSP +
LRP CADB +
LRP RRLC -
LRP DADX -
LRP FIMF +
LRP OPPB -
LRP GABT +
LRP DADA -
LRP ARGO +
LRP OSMY -
LRP AIDB -
LRP OPPD -
LRP LHGO +
LRP SSRS -
LRP RRSB -
LRP OSMC +
LRP RRSC -
LRP SERA +
LRP OPPF -
LRP CSID +
LRP FIMG +
LRP FIMA +
LRP RRFC -
LRP OPPC -
LRP RRFB -
LRP LIVJ -
LRP FIMC +
LRP RRLB -
LRP GABP +
GLPR GLPF -
GLPR GLPK -
GLPR GLPA -
GLPR GLPQ -
GLPR GLPB -
GLPR GLPT -
GLPR GLPC -
GLPR GLPX -
GLPR GLPD -
DCUR FRDB +
DCUR DPIB +
DCUR DPIA +
DCUR FRDD +
DCUR DCUB +
DCUR DCTA +
DCUR FUMB +
DCUR FRDC +
DCUR FRDA +
EVGA GADF +
EVGA MDTF +
EVGA GADE +
EVGA MDTE +
CPXR TSR -
CPXR EFEU_2 -
CPXR CPXP +
CPXR FTNB +
CPXR MARA +
CPXR CPXQ +
CPXR MOTA -
CPXR MOTB -
CPXR DGCZ +
CPXR MARR +
CPXR YEBE +
CPXR ACRD +
CPXR MDTB +
CPXR MDTD +
CPXR CSGG -
CPXR YCCA +
CPXR CPXR +
CPXR BAES +
CPXR CSGD -
CPXR RDOA +
CPXR DSBA +
CPXR CHEA -
CPXR EFEU_1 -
CPXR YQJA +
CPXR AROG +
CPXR BAER +
CPXR MDTC +
CPXR CPXA +
CPXR HHA +
CPXR RPRA +
CPXR LDTD +
CPXR SPY +
CPXR CSGF -
CPXR MDTA +
CPXR CHEW -
CPXR CSGE -
CPXR TOMB +
CPXR LDTC +
CPXR CYAR -
CPXR MZRA +
CPXR PPIA +
CPXR MARB +
FUR RNPB -
FUR GSPD -
FUR GSPF -
FUR PYRC -
FUR GSPI -
FUR FHUA -
FUR ENTS +
FUR GARP -
FUR FUR -
FUR YDFN -
FUR OPPA -
FUR TFAQ -
FUR GARR -
FUR FHUC -
FUR SUFB -
FUR OPPC -
FUR FHUD -
FUR OPPB -
FUR FHUB -
FUR OPPF -
FUR OPPD -
FUR FEPD -
FUR GSPC -
FUR SUFS -
FUR GARL -
FUR GSPL -
FUR FEPG -
FUR GSPM -
FUR SUFC -
FUR GSPG -
FUR SUFE -
FUR GSPJ -
FUR GSPK -
FUR GSPH -
FUR GARK -
FUR FTNA +
FUR GSPO -
FUR NOHA -
FUR SUFD -
FUR GSPE -
FUR SUFA -
FUR CRL -
FUR FEPC -
OXYR SUFA +
OXYR TRXC +
OXYR AHPC +
OXYR FUR +
OXYR OXYS +
OXYR HCR +
OXYR YBJN -
OXYR SUFB +
OXYR ISRC -
OXYR YCHF -
OXYR OXYR -
OXYR FHUF -
OXYR HCP +
OXYR UOF +
OXYR AHPF +
OXYR HEMH +
OXYR NFSA -
OXYR SUFS +
OXYR SUFC +
OXYR SUFE +
OXYR RIMK -
OXYR YBJC -
OXYR KATG +
OXYR DSBG +
OXYR FLU -
OXYR SUFD +
OXYR GRXA +
NTRC GLNH -
NTRC RELA +
NTRC GLNL +
NTRC GLNQ -
NTRC GLNG +
NTRC RSEC +
NTRC RPOE +
NTRC RSEB +
NTRC RSEA +
NTRC GLNP -
NTRC GLNA +
MATA ECPR +
MATA FLHD -
MATA FLIZ -
MATA FLHC -
MATA ECPA +
MATA FLIC -
MATA FLIA -
MATA TCYJ -
PUTA PUTP -
PUTA PUTA -
FIS RNPB +
FIS RRFH +
FIS MARA +
FIS ALAT +
FIS HUPB -
FIS RRLD +
FIS RRFG +
FIS THRT +
FIS NUOG +
FIS OSME -
FIS RRSE +
FIS MAZE +
FIS PROP +
FIS BGLB -
FIS NRFF -
FIS GLTW +
FIS NUOL +
FIS FAU +
FIS THRV +
FIS GLTU +
FIS GLYT +
FIS NRFA -
FIS NRFD -
FIS RRFA +
FIS TYRU +
FIS NRFE -
FIS ILET +
FIS RRFE +
FIS OGT -
FIS TOPA -
FIS NRDA +
FIS PTSG -
FIS NDH -
FIS YEAR -
FIS MAZF +
FIS RRLG +
FIS MAZG +
FIS SSRS +
FIS NUOA +
FIS RRLA +
FIS YOAG -
FIS RRFD +
FIS NUOE +
FIS NRFB -
FIS NRDB +
FIS RRLH +
FIS ADHE +
FIS HNS +
FIS RRLE +
FIS MARB +
FIS RRSD +
FIS ALAU +
FIS NUOC +
FIS NUON +
FIS RRSC +
FIS ILEU +
FIS NUOI +
FIS RRLC +
FIS TUFB +
FIS NRFC -
FIS BGLF -
FIS NUOJ +
FIS CRP -
FIS FIS -
FIS NUOF +
FIS GLTV +
FIS GYRA -
FIS YFAE +
FIS CBPA -
FIS NUOB +
FIS DPS -
FIS RRFB +
FIS RRLB +
FIS NUOH +
FIS NUOM +
FIS RRSA +
FIS HUPA +
FIS NRFG -
FIS ALAV +
FIS BGLG -
FIS THRU +
FIS GLTT +
FIS DUSB -
FIS RRSB +
FIS RRSG +
FIS CBPM -
FIS RRFF +
FIS RRFC +
FIS RRSH +
FIS MARR +
FIS NUOK +
FIS QUEA +
FIS GYRB -
FIS ILEV +
FLHDC FLIL +
FLHDC FLIJ +
FLHDC GLTJ +
FLHDC FLIH +
FLHDC FLGB +
FLHDC FLGH +
FLHDC SROC +
FLHDC FLGK +
FLHDC FLGE +
FLHDC FLGL +
FLHDC FLGG +
FLHDC FLGI +
FLHDC FLGD +
FLHDC FLIF +
FLHDC YECR +
FLHDC FLIS +
FLHDC FLGC +
FLHDC FLIA +
FLHDC FLIK +
FLHDC FLIQ +
FLHDC TCYJ +
FLHDC FLII +
FLHDC FLIN +
FLHDC FLHA +
FLHDC FLIZ +
FLHDC FLIM +
FLHDC FLGF +
FLHDC FLIP +
FLHDC FLGJ +
FLHDC FLIG +
FLHDC GLTK +
FLHDC FLIR +
FLHDC FLHE +
FLHDC FLIE +
FLHDC FLID +
FLHDC FLIO +
FLHDC GLTI +
FLHDC FLIT +
FLHDC FLHB +
FLHDC GLTL +
PURR PURA -
PURR PYRC -
NANR NANA -
NANR YJHB -
NANR NANM -
NANR NANK -
NANR YHCH -
NANR NANC -
NANR YJHC -
NANR NANE -
NANR FIMB +
NANR NANS -
NANR NANT -
RCSAB FLHC -
RCSAB FLHD -
FHLA HYCG +
FHLA HYPE +
FHLA FHLA +
FHLA HYCB +
FHLA HYCD +
FHLA HYCC +
FHLA FDHF +
FHLA HYPA +
FHLA HYPB +
FHLA HYCA +
FHLA HYPF +
FHLA HYCF +
FHLA HYDN +
FHLA HYCE +
FHLA HYCI +
FHLA HYCH +
FHLA HYPD +
FHLA HYPC +
LRHA LRHA +
LRHA FLHC -
LRHA FLHD -
LRHA FIME +
SOXR FUMC +
SOXR SOXR -
SOXR SOXS +
BAER ACRD +
DNAA NRDA +
DNAA DNAA -
DNAA NRDB +
DNAA GUAA -
DNAA RECF -
DNAA ALDA -
DNAA YJEV -
DNAA POLA +
DNAA YFAE +
DNAA GUAB -
DNAA DNAN +
HDFR FLHC -
HDFR GLTB +
HDFR GLTD +
HDFR FLHD -
HDFR GLTF +
NARL YDHY -
NARL PFLB -
NARL NARH +
NARL OGT +
