source target sign
CUSR CUSF +
CUSR CUSS +
CUSR CUSC +
CUSR CUSB +
CUSR CUSA +
CUSR CUSR +
GADX GADC +
GADX BTUB -
GADX GADA +
GADX GADX +
GADX MURI -
GADX GADB +
PHOP MGTA +
PHOP HDED +
PHOP HDEA +
PHOP YHID +
PHOP NAGA +
PHOP BORD +
PHOP HDEB +
PHOP TRER -
PHOP SLYB +
PHOP MGRB +
PHOP IRAM +
PHOP GADW +
PHOP HEML +
PHOP MGTL +
CPXR BAER +
CPXR YQJA +
CPXR LDTC +
CPXR MDTC +
CPXR CPXQ +
CPXR RPRA +
CPXR CPXP +
CPXR HHA +
CPXR PPIA +
CPXR MOTA -
CPXR EFEU_1 -
CPXR FTNB +
CPXR CHEA -
CPXR MDTB +
CPXR CYAR -
CPXR RDOA +
CPXR TSR -
CPXR CSGE -
CPXR YEBE +
CPXR CSGG -
CPXR MZRA +
CPXR MOTB -
CPXR YCCA +
CPXR LDTD +
CPXR TOMB +
CPXR MDTA +
CPXR CHEW -
CPXR DGCZ +
CPXR CSGD -
CPXR CSGF -
CPXR MARB +
CPXR DSBA +
CPXR CPXA +
CPXR MARA +
CPXR CPXR +
CPXR ACRD +
CPXR BAES +
CPXR SPY +
CPXR MARR +
CPXR AROG +
CPXR MDTD +
CPXR EFEU_2 -
CRP CSPE +
CRP NANE +
CRP MAZE +
CRP UGPA +
CRP CDD +
CRP LSRK +
CRP GCVT +
CRP LSRG +
CRP COMR -
CRP ARAG +
CRP ARAC +
CRP SGBU +
CRP GUAB +
CRP ARGG +
CRP DUSB -
CRP PAAJ +
CRP LYXK +
CRP MDTE -
CRP DADX +
CRP CYTR -
CRP CSRC -
CRP LSRA +
CRP MTLA +
CRP RPSO -
CRP YHCH +
CRP PAAZ +
CRP DEOD +
CRP KBAZ +
CRP PAAB +
CRP PAAF +
CRP HFQ -
CRP MTLR +
CRP MCAS +
CRP HFLX -
CRP ARAJ +
CRP ARAA +
CRP CASE -
CRP ENVZ +
CRP ILVB +
CRP PAAG +
CRP GLGC +
CRP LSRB +
CRP GCVP +
CRP SECB +
CRP GLPG +
CRP PRPD +
CRP LSRD +
CRP PPIA -
CRP OMPR +
CRP PRPB +
CRP GCVH +
CRP PAAE +
CRP PAAC +
CRP HUPA +
CRP GUAA +
CRP FLHD +
CRP YIAL +
CRP YIAM +
CRP RBFA -
CRP ARAH +
CRP UGPQ +
CRP FIS -
CRP AGAV +
CRP MALT +
CRP ASCF +
CRP LSRC +
CRP HUPB +
CRP AGAA +
CRP GLTD -
CRP GLPR +
CRP RSEC +
CRP FUMC +
CRP GADF -
CRP UGPE +
CRP ARAB +
CRP NANK +
CRP FLHC +
CRP PNP -
CRP BHSA -
CRP LSRR +
CRP YIAO +
CRP GLPE +
CRP ARAD +
CRP RSEA +
CRP DCUR +
CRP YIAK +
CRP PAAD +
CRP DCTA +
CRP DEOB +
CRP GLTF -
CRP CYAA -
CRP RIMP -
CRP GLGA +
CRP ARAF +
CRP TAM +
CRP SGBE +
CRP PAAK +
CRP CAS2 -
CRP PAAI +
CRP PRPC +
CRP PAAH +
CRP INFB -
CRP GPSA +
CRP PCK +
CRP LACA +
CRP SGBH +
CRP CASB -
CRP ILVN +
CRP TRXA -
CRP MTLD +
CRP HFLK -
CRP LSRF +
CRP NUSA -
CRP RSEB +
CRP RELA +
CRP YIAN +
CRP DEOC +
CRP CASC -
CRP GLGP +
CRP PRPR +
CRP RPOE +
CRP UDP +
CRP METY -
CRP LACI +
CRP MHPR +
CRP MDTF -
CRP NANT +
CRP UGPC +
CRP HPT +
CRP FADL +
